,3prime,tAI,max_5_UTR_length,TCGA-A2-A0T6,TCGA-A2-A0T6.1
SEC14L1,2986.0,0.420320088,665.0,0.138913,-0.397190498
SEC22A,2559.0,0.422343815,79.0,-0.208293,-0.010977681
SEC24B,1221.0,0.400931805,155.0,0.577117,0.308936378
SEC24D,2115.0,0.386600041,297.0,0.189347,0.135902349
SEC61B,270.0,0.404562259,76.0,-0.533088,-0.32536081
SEMA3F,960.0,0.38837398,318.0,-0.498746,-0.455601206
SEMA4A,755.0,0.412797256,345.0,0.601361,0.178109942
SEMA4D,2318.0,0.393173667,572.0,0.178977,-0.347165313
SERPINA1,1707.0,0.420489385,573.0,-0.909248,0.635627081
SERPINB8,2096.0,0.38524815,520.0,0.819007,0.708371767
SETMAR,321.0,0.414235412,398.0,-0.521303,0.377337572
SEZ6L2,540.0,0.431800162,245.0,-0.235885,-0.628610075
SF1,2419.0,0.374481437,721.0,0.113229,0.049895116
SF3B2,563.0,0.453902675,40.0,-0.062262,-0.083640679
SFXN4,500.0,0.402513841,45.0,-0.655656,-0.252390435
SH3BP1,433.0,0.395530944,313.0,-0.19006,-0.2527979
SH3PXD2B,4870.0,0.420952884,171.0,0.774491,0.294886139
SHMT1,4335.0,0.394510245,509.0,-0.134598,0.44371602
SIGLEC1,1590.0,0.42099348,0.0,0.185568,-0.124837852
SIPA1,2933.0,0.437718847,296.0,0.224378,0.020590914
SIRPA,3027.0,0.429235057,360.0,0.078692,-0.241661657
SKP1,8791.0,0.433886974,179.0,0.154422,0.147573803
SLBP,3046.0,0.391438372,553.0,-0.509287,-0.434120639
SLC25A10,1929.0,0.386184273,191.0,-0.816079,-0.023487874
SLC25A19,477.0,0.386093473,224.0,-0.900423,-0.691440331
SLC25A20,787.0,0.382641976,199.0,-0.028783,-0.616214694
SLC25A3,504.0,0.383836987,354.0,-0.144429,-0.423931359
SLC25A40,2688.0,0.363984785,375.0,-0.043556,-0.341905223
SLC25A42,2156.0,0.366871382,156.0,-0.154858,0.302277155
SLC25A6,450.0,0.487227384,137.0,-0.125154,-0.657946638
SLC27A3,163.0,0.439664345,91.0,-0.021274,0.190130323
SLC39A10,2661.0,0.346494338,214.0,0.366149,0.132081325
SLC43A3,838.0,0.382351997,447.0,-0.08566,-0.568918006
SLC44A1,8291.0,0.4365497,264.0,0.787697,0.079472305
SLC9A3R1,709.0,0.400889529,235.0,-1.063084,-0.831952885
SMAP2,1225.0,0.404145004,415.0,0.418794,-0.110955631
SMC1A,5954.0,0.490702048,340.0,0.100798,0.066827337
SMG5,1363.0,0.383248033,540.0,-0.460638,-0.085558704
SMS,2660.0,0.417677888,252.0,0.02058,0.619999814
SMYD3,223.0,0.378821529,130.0,1.153422,0.061662914
SNRNP200,676.0,0.454045162,132.0,0.080897,-0.087011558
SNRPC,474.0,0.427936125,450.0,-0.874192,-0.044913403
SNRPD1,4386.0,0.384326147,161.0,-0.635447,0.311668118
SNRPN,279.0,0.390283395,1145.0,0.21485,0.141849341
SNX24,5071.0,0.338464018,185.0,0.328739,0.450661329
SNX30,6144.0,0.426743352,148.0,1.103719,0.418506172
SNX33,5086.0,0.383330712,96.0,0.125742,0.100798393
SOD1,353.0,0.438546885,148.0,-0.541216,0.041255209
SOD2,13436.0,0.435065133,1828.0,0.313414,0.27284525
SP110,3922.0,0.401738483,258.0,0.198716,-0.65335742
SPC24,1691.0,0.381793277,320.0,-2.524641,-0.893692366
SPC25,540.0,0.373816265,131.0,-3.198256,-0.782343143
SPCS1,3333.0,0.417439524,205.0,-0.240874,-0.84090845
SPI1,383.0,0.406748349,223.0,0.519625,0.181933458
SPRYD4,1406.0,0.430591965,75.0,0.021977,-0.056253184
SQSTM1,1485.0,0.412192979,360.0,-0.329829,-0.679757936
SRC,2671.0,0.437602812,449.0,-0.677741,-0.176142437
SRGAP2,3018.0,0.377689891,542.0,0.948901,0.366230081
SRI,5365.0,0.424260151,79.0,-0.026008,0.502952177
SRP19,2645.0,0.430943803,189.0,-0.226358,-0.607431375
SRPRB,1784.0,0.427990824,285.0,-0.680993,-0.523476505
SRR,1392.0,0.393840903,354.0,0.25431,0.231217026
SRXN1,2099.0,0.37663928,185.0,-0.452348,-0.403047518
SS18L2,777.0,0.45997865,208.0,-0.335235,0.111255031
SSH1,5298.0,0.373517564,146.0,0.670337,0.023441418
SSH3,2595.0,0.376349937,178.0,-0.138669,0.549574808
SSR2,592.0,0.425839932,80.0,-0.298069,-0.436518385
SSR3,3698.0,0.388415977,156.0,-0.330098,-0.997936741
SSR4,87.0,0.444947593,150.0,-0.939593,-0.179119337
SSRP1,422.0,0.394601844,267.0,-0.174304,-0.170082619
SSU72,400.0,0.445120823,325.0,-0.338861,-0.111611315
ST13,3666.0,0.439823793,468.0,-0.537696,-0.413887762
ST14,553.0,0.454138745,193.0,-0.33051,-0.575386378
ST3GAL4,594.0,0.39537481,557.0,-0.300058,0.048527396
STARD10,1682.0,0.427301627,944.0,-1.223706,-0.249913099
STAT1,3294.0,0.408136156,388.0,0.271771,-0.742291736
STAT2,1791.0,0.409862748,203.0,0.183703,0.02835898
STAT6,1168.0,0.380869476,499.0,0.038908,0.468147711
STMN1,1138.0,0.394107416,364.0,-1.044357,-1.211495439
STOM,2222.0,0.387137797,117.0,0.802004,0.190748817
STOML2,531.0,0.456962681,143.0,-0.277869,-0.541629613
STX11,4481.0,0.457080677,192.0,0.9603,0.015466205
STX3,5058.0,0.403902965,547.0,-0.337608,-0.277876339
STX7,14891.0,0.417568039,327.0,0.170571,-0.412478099
STX8,107.0,0.378438911,150.0,-0.043812,0.440213412
SUCLG1,223.0,0.43877655,193.0,-0.432113,-0.127014132
SUFU,3380.0,0.361614756,191.0,0.563337,0.590862616
SUMF1,999.0,0.37076871,37.0,0.223063,-0.073915707
SUPT4H1,1112.0,0.438747077,103.0,-0.063292,0.487591803
SURF2,1720.0,0.440503417,48.0,-0.500408,-0.461323745
SURF4,2281.0,0.385472445,476.0,-0.152167,-0.243634628
SURF6,4908.0,0.42467207,78.0,-0.391375,-0.306549348
SVIP,4195.0,0.357937352,217.0,-0.011851,-0.07094496
SYTL1,80.0,0.364244725,197.0,-0.292745,0.433695801
TACC3,165.0,0.385699108,155.0,-1.763387,-0.560435699
TADA2B,3064.0,0.464060586,151.0,0.475196,0.036970007
TAF12,689.0,0.435926756,522.0,-0.142781,-0.178566128
TAP2,5256.0,0.374969764,175.0,-0.343592,-0.804552184
TATDN2,2040.0,0.415810908,581.0,0.015577,-0.393986866
TBC1D20,3109.0,0.435441414,148.0,0.008339,0.392449703
TBC1D9B,1396.0,0.395340616,37.0,0.298809,0.261773912
TBCC,556.0,0.434161456,73.0,-0.692601,0.278878106
TCEAL3,260.0,0.368171822,262.0,0.352062,-0.644376534
TCEAL4,3020.0,0.432120515,489.0,-0.000108,-0.127046423
TCOF1,1640.0,0.41523122,108.0,-0.317982,-0.328639116
TDP1,1721.0,0.418036689,317.0,-0.342455,0.097895931
TDRD7,242.0,0.375852104,234.0,0.133988,-0.094387468
TDRKH,973.0,0.419795099,182.0,0.667018,0.209330258
TEP1,2777.0,0.379550228,40.0,0.162846,-0.003132647
TFE3,1431.0,0.379068139,541.0,0.072958,0.322745944
TFEB,621.0,0.429366592,302.0,-0.015277,0.091488868
THADA,112.0,0.415199561,352.0,0.277934,0.023417409
THBD,2144.0,0.448063145,160.0,0.693214,-0.494438472
THUMPD1,2715.0,0.455087735,225.0,0.15625,0.010159926
THYN1,205.0,0.377954149,484.0,-0.038224,0.108400617
TIMM50,3932.0,0.424829064,722.0,0.11017,-0.536498553
TIMM8B,2046.0,0.447942532,30.0,-0.119133,-0.285338774
TK2,3965.0,0.360054507,593.0,0.44492,0.016097337
TLE1,571.0,0.374791795,1295.0,-0.234525,0.046222268
TM9SF2,2020.0,0.372522209,233.0,0.281758,-0.737876249
TMED3,1710.0,0.439016102,188.0,0.039989,-0.275974098
TMED9,708.0,0.44685712,67.0,-0.286521,-0.057412226
TMEM126A,52.0,0.406087664,295.0,-0.324676,0.039122369
TMEM199,2431.0,0.370998168,90.0,-0.014634,-0.73696972
TMEM63A,1407.0,0.385482014,622.0,0.063976,-0.205453185
TMOD1,2050.0,0.392927141,213.0,-0.160412,0.330198719
TMSB10,278.0,0.470652003,95.0,-0.76903,-0.334978843
TNFAIP2,2079.0,0.44214387,131.0,-0.099756,-0.637696065
TNFAIP3,1995.0,0.416242917,370.0,1.300964,0.217648383
TNFAIP8L2,497.0,0.440670719,126.0,0.536564,-0.146270136
TNIP1,770.0,0.448321216,241.0,0.031481,0.185927579
TNK2,822.0,0.420245651,543.0,-0.205937,-0.090914388
TNPO2,2070.0,0.408799881,358.0,0.287821,0.271027117
TNRC18,1316.0,0.449521205,349.0,0.546501,-0.126661438
TOMM5,518.0,0.441712708,107.0,-0.489898,-0.664894908
TOP2A,1003.0,0.364102812,159.0,-2.340528,-1.192088601
TOR1A,3160.0,0.446121485,77.0,-0.107054,0.018557528
TPD52L2,1600.0,0.385071878,138.0,-0.334496,-0.105667869
TPI1,620.0,0.479135356,527.0,-0.469992,0.698352264
TPM1,757.0,0.403626605,257.0,0.045909,0.309927884
TRAF1,7433.0,0.438949906,572.0,0.590126,-0.24124744
TRAF3,5716.0,0.386659664,353.0,0.213607,0.514937343
TRAF6,6100.0,0.426668941,381.0,0.303211,0.061616795
TRAPPC3,634.0,0.441060625,519.0,-0.247818,-0.321098021
TRAPPC5,42.0,0.453352607,241.0,-0.354724,0.220821597
TRAPPC6B,2539.0,0.437369008,335.0,0.022706,0.309968371
TRAPPC9,3079.0,0.431357199,134.0,0.188867,-0.00940647
TRIM11,3522.0,0.453298916,255.0,-0.170305,-0.028626958
TRIM13,5308.0,0.419190719,763.0,-0.077564,-0.305110797
TRIM14,3117.0,0.369225689,165.0,-0.008133,0.087189807
TRIM22,1215.0,0.424423711,379.0,0.297701,-0.123262386
TRIM26,1431.0,0.384319522,565.0,-0.04225,-0.161324063
TRIM27,2956.0,0.441704825,359.0,-0.309192,-0.224122729
TRIM41,1657.0,0.454716896,737.0,0.21354,0.41270234
TRIM5,2312.0,0.426412011,303.0,-0.272583,0.140241982
TRIP12,3739.0,0.40441217,297.0,0.523602,-0.048363693
TRIP13,2852.0,0.433721983,145.0,-1.486116,-0.832091418
TRMT5,3660.0,0.405137655,572.0,0.072498,-0.006571882
TRUB2,4655.0,0.434714666,759.0,-0.136707,-0.113307536
TSFM,1390.0,0.429356434,57.0,-0.461847,-0.321973913
TSPAN14,15147.0,0.398868986,305.0,-0.281141,-0.184914454
TSPYL1,7303.0,0.373212405,287.0,-0.050428,-0.37071229
TSR2,1366.0,0.464925113,443.0,-0.176384,-0.069246472
TTC39C,3394.0,0.378954091,452.0,0.80945,0.381296586
TTC7A,2213.0,0.393400181,1272.0,-0.222272,-0.307812419
TTPAL,5319.0,0.425556123,145.0,-0.082448,0.274034975
TUBA1C,110.0,0.451729991,576.0,-0.764289,-0.212883303
TUBA4A,644.0,0.402818439,556.0,0.172192,0.243559934
TUBB,1030.0,0.390058461,509.0,-0.321125,-0.049747041
TUBB6,2302.0,0.468445054,1139.0,0.34902,0.411052934
TUBGCP4,1934.0,0.368175973,296.0,0.365371,0.170543458
TUSC1,1294.0,0.429789613,537.0,-0.020606,0.014208014
TXNL4A,3129.0,0.472736328,466.0,-0.559133,-0.120150944
TYMP,18.0,0.429537249,376.0,-0.197255,-0.530117521
TYMS,581.0,0.364557025,159.0,-1.761846,-0.911290258
TYROBP,168.0,0.417048036,81.0,0.506702,-0.805706215
UBAP2L,353.0,0.367068802,167.0,0.13572,-0.053047891
UBE2B,4002.0,0.405496028,420.0,0.027297,0.612743727
UBE2L3,2365.0,0.455573936,198.0,-0.752597,-0.193363435
UBE2L6,703.0,0.431638779,653.0,-0.211453,-0.492980155
UBE4B,1283.0,0.418913915,688.0,-0.411851,0.0
UBR4,797.0,0.387393976,4.0,0.471039,0.131948929
UBTF,2209.0,0.400105612,296.0,0.256853,-0.121335739
UBXN1,220.0,0.422601268,194.0,-0.030452,0.035626819
UCK2,4043.0,0.447469338,640.0,-0.372245,-0.032961984
UGGT1,5935.0,0.374564832,178.0,0.095537,-0.128710278
UHRF1BP1,5130.0,0.373569339,234.0,0.13744,-0.356750959
UNC45A,377.0,0.475530537,1022.0,0.085234,-0.088011027
UNG,1024.0,0.368897526,209.0,-0.494648,-0.112043154
UNK,1388.0,0.447315534,42.0,0.051693,-0.376560898
UQCR11,4379.0,0.470309826,75.0,-0.119119,0.355291481
UQCRC1,129.0,0.462829321,45.0,-0.34503,0.088162882
UQCRH,193.0,0.365128489,320.0,-0.437807,-0.191927703
UROD,171.0,0.391539164,133.0,-0.121053,0.338039639
UROS,3849.0,0.422413435,266.0,-0.005315,0.21127468
USP18,580.0,0.434940763,338.0,-0.952911,-0.746605618
USP39,571.0,0.39295741,223.0,-0.158125,-0.191901206
UTP6,2466.0,0.429918331,83.0,-0.090023,-0.050004955
VAC14,489.0,0.396517204,827.0,-0.405271,0.03779185
VAMP8,451.0,0.398153421,156.0,-0.516339,-0.778203315
VASP,824.0,0.388921088,342.0,-0.082806,-0.092484627
VAT1,1456.0,0.406330787,120.0,-0.082598,0.491095646
VDAC3,475.0,0.440388181,210.0,-0.43836,-0.075672034
VDR,3209.0,0.450036866,401.0,0.382093,-0.730796935
VGLL4,2489.0,0.432812067,506.0,0.350409,0.176402942
VIM,431.0,0.411136971,462.0,0.665379,0.405055021
VLDLR,6202.0,0.388727284,416.0,0.038201,0.168622694
VPS28,291.0,0.476756313,109.0,-0.372054,0.084188475
VPS33B,559.0,0.447669729,583.0,-0.222201,0.055675475
VPS39,2053.0,0.440628838,173.0,0.319627,0.309426132
VPS52,2870.0,0.393546356,887.0,0.013161,0.25808801
WASF2,4090.0,0.365213822,245.0,0.355158,-0.10074627
WBP2,1040.0,0.392225719,515.0,-0.43419,0.081634727
WDFY2,7044.0,0.36603015,340.0,0.550787,0.39349982
WDR1,1039.0,0.393247178,368.0,0.093996,0.089177988
WDR36,3619.0,0.40459335,117.0,0.393367,-0.118833649
WDR37,8068.0,0.365587877,173.0,0.13113,0.239089871
WDR4,293.0,0.380589271,581.0,-0.63392,-0.155786216
WDR47,1216.0,0.402106333,376.0,0.296754,0.062856858
WDR48,1924.0,0.419028298,472.0,0.343729,0.138314886
WDR5,1979.0,0.401607191,171.0,-0.203598,0.123877006
WDR54,97.0,0.394793766,128.0,-0.281336,0.11496782
WDR61,197.0,0.411764619,310.0,0.044707,0.473945271
WDR77,4184.0,0.412330102,139.0,-0.319683,-0.083991822
WDR91,4946.0,0.380864599,823.0,0.126261,0.268788283
WDR92,2520.0,0.427217839,117.0,0.318612,0.366210885
YTHDF1,1279.0,0.384821843,294.0,-0.335227,-0.456285516
YTHDF3,3082.0,0.406652071,509.0,0.411863,-0.169007195
YY1,5192.0,0.440120149,480.0,-0.000819,-0.6336108
ZBED1,2221.0,0.457533868,282.0,0.402564,-0.142038487
ZBTB8OS,1087.0,0.406816332,276.0,-0.428709,-0.156330881
ZC3H12A,768.0,0.421626239,1056.0,0.52016,0.027225001
ZC3H4,2169.0,0.436042942,38.0,0.099531,0.05498302
ZCCHC10,81.0,0.361883573,67.0,0.303652,0.394523951
ZCCHC2,2006.0,0.404185753,0.0,-0.019754,-0.247103962
ZFP36L1,2846.0,0.395541595,976.0,0.535253,0.246080778
ZMAT2,1942.0,0.460376067,101.0,0.341024,-0.363739852
ZMIZ2,4165.0,0.419562196,128.0,-0.399566,0.163729325
ZMYM3,1292.0,0.378831729,749.0,0.23676,-0.023510488
ZNF207,13817.0,0.386696564,148.0,0.136424,0.023522857
ZNF414,113.0,0.422835658,118.0,0.078555,-0.125909037
ZNF511,243.0,0.452392726,55.0,-0.519828,-0.684805775
ZNF516,4816.0,0.393186692,318.0,0.197578,-0.648541665
ZNF622,1298.0,0.463753859,120.0,-0.147773,-0.333591704
ZNHIT2,49.0,0.440612513,85.0,-0.530591,-0.104115398
ZNHIT3,419.0,0.425204303,73.0,-0.466569,-0.068011685
ZWINT,4585.0,0.411772707,37.0,-1.798506,-0.956905564
