,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AV,TCGA-AR-A1AV.1
SIGLEC1,1590.0,0.42099348,0.0,-1.029825,-0.161525245
SIPA1,2933.0,0.437718847,296.0,-0.788799,0.161249976
SIRPA,3027.0,0.429235057,360.0,-0.664323,-0.209141909
SKP1,8791.0,0.433886974,179.0,0.490233,-0.244981327
SLBP,3046.0,0.391438372,553.0,-0.272731,-0.145088749
SLC25A10,1929.0,0.386184273,191.0,-0.406905,-0.426003819
SLC25A19,477.0,0.386093473,224.0,-0.312374,-0.289699589
SLC25A20,787.0,0.382641976,199.0,0.132569,0.328419087
SLC25A3,504.0,0.383836987,354.0,-0.108976,-0.483607762
SLC25A42,2156.0,0.366871382,156.0,0.757385,-0.507999441
SLC25A6,450.0,0.487227384,137.0,-0.918388,-0.577889495
SLC27A3,163.0,0.439664345,91.0,0.253673,0.160986494
SLC39A10,2661.0,0.346494338,214.0,0.63639,0.127022957
SLC43A3,838.0,0.382351997,447.0,-0.510955,0.625379988
SLC44A1,8291.0,0.4365497,264.0,0.018869,-0.925418403
SLC9A3R1,709.0,0.400889529,235.0,1.202748,0.25807776
SMAP2,1225.0,0.404145004,415.0,-0.563597,0.192453108
SMC1A,5954.0,0.490702048,340.0,0.368041,0.044151374
SMG5,1363.0,0.383248033,540.0,0.288207,0.258882027
SMS,2660.0,0.417677888,252.0,-1.328905,-1.027232322
SMYD3,223.0,0.378821529,130.0,0.53062,0.793794591
SNRNP200,676.0,0.454045162,132.0,-5.4e-05,0.162855762
SNRPC,474.0,0.427936125,450.0,-0.105881,1.192093463
SNRPD1,4386.0,0.384326147,161.0,-1.024137,-0.271343387
SNRPN,279.0,0.390283395,1145.0,-0.177398,-0.317040759
SNX24,5071.0,0.338464018,185.0,0.158762,-0.154703639
SNX30,6144.0,0.426743352,148.0,0.385314,-0.156512347
SNX33,5086.0,0.383330712,96.0,-0.029266,0.554096642
SOD1,353.0,0.438546885,148.0,0.126619,0.370327951
SOD2,13436.0,0.435065133,1828.0,-1.079472,-0.484715932
SP110,3922.0,0.401738483,258.0,-0.540366,-0.091214463
SPC24,1691.0,0.381793277,320.0,-0.781327,-0.134653781
SPC25,540.0,0.373816265,131.0,-0.554125,0.316394416
SPCS1,3333.0,0.417439524,205.0,-0.224588,1.083435533
SPI1,383.0,0.406748349,223.0,-0.8127,-0.099882498
SPRYD4,1406.0,0.430591965,75.0,-0.469862,-0.215871453
SQSTM1,1485.0,0.412192979,360.0,0.285355,0.00951676
SRC,2671.0,0.437602812,449.0,-0.076132,-0.116504024
SRGAP2,3018.0,0.377689891,542.0,-0.011314,-0.010964202
SRI,5365.0,0.424260151,79.0,-0.070073,-0.550232026
SRP19,2645.0,0.430943803,189.0,0.031843,-0.073031977
SRPRB,1784.0,0.427990824,285.0,-0.476118,0.021081149
SRR,1392.0,0.393840903,354.0,0.1225,0.448116504
SRXN1,2099.0,0.37663928,185.0,-0.041255,-0.097823661
SS18L2,777.0,0.45997865,208.0,-0.446689,0.296739376
SSH1,5298.0,0.373517564,146.0,0.324585,-0.061727256
SSH3,2595.0,0.376349937,178.0,1.260357,0.607819159
SSR2,592.0,0.425839932,80.0,-0.076125,-0.527754718
SSR3,3698.0,0.388415977,156.0,-0.103135,0.218791815
SSR4,87.0,0.444947593,150.0,-0.897229,-0.230567594
SSRP1,422.0,0.394601844,267.0,-0.078633,-0.863500692
SSU72,400.0,0.445120823,325.0,-0.342838,-0.421578653
ST13,3666.0,0.439823793,468.0,-0.126574,-0.59433684
ST14,553.0,0.454138745,193.0,-0.270966,-0.231690818
STAP1,541.0,0.398288494,113.0,-4.928347,-0.169670936
STARD10,1682.0,0.427301627,944.0,1.590995,0.530845876
STAT1,3294.0,0.408136156,388.0,-0.58316,-0.291652242
STAT2,1791.0,0.409862748,203.0,0.099335,0.011133262
STAT6,1168.0,0.380869476,499.0,0.70535,0.211615155
STMN1,1138.0,0.394107416,364.0,-0.774774,-0.047763915
STOM,2222.0,0.387137797,117.0,-0.006169,-0.645469508
STOML2,531.0,0.456962681,143.0,-0.909364,-0.319757362
STX3,5058.0,0.403902965,547.0,1.506449,0.351980206
STX7,14891.0,0.417568039,327.0,0.558749,-0.884463955
STX8,107.0,0.378438911,150.0,0.304067,-0.144258837
SUCLG1,223.0,0.43877655,193.0,-0.485725,0.348766564
SUFU,3380.0,0.361614756,191.0,-0.052178,0.641729345
SUMF1,999.0,0.37076871,37.0,-0.068024,-0.057308255
SUPT4H1,1112.0,0.438747077,103.0,-0.027915,-1.01247252
SURF2,1720.0,0.440503417,48.0,-1.244258,0.452280555
SURF4,2281.0,0.385472445,476.0,-0.299924,-0.106090796
SURF6,4908.0,0.42467207,78.0,-0.588556,-0.074775093
SYTL1,80.0,0.364244725,197.0,-0.261364,0.043654578
TACC3,165.0,0.385699108,155.0,-0.967676,-0.377497907
TADA2B,3064.0,0.464060586,151.0,0.093409,0.310529221
TAF12,689.0,0.435926756,522.0,-0.078183,0.294886334
TAP2,5256.0,0.374969764,175.0,-1.061912,-0.284491635
TATDN2,2040.0,0.415810908,581.0,-0.277139,0.510510362
TBC1D20,3109.0,0.435441414,148.0,-0.075999,-0.277696867
TBC1D9B,1396.0,0.395340616,37.0,0.78282,0.282982293
TBCC,556.0,0.434161456,73.0,-0.277109,-0.251753434
TCEAL3,260.0,0.368171822,262.0,0.006263,0.918807569
TCEAL4,3020.0,0.432120515,489.0,0.603294,1.001126412
TCOF1,1640.0,0.41523122,108.0,0.20147,0.171159646
TDP1,1721.0,0.418036689,317.0,0.280052,0.222068684
TDRD7,242.0,0.375852104,234.0,0.165673,0.066014929
TDRKH,973.0,0.419795099,182.0,0.015944,0.034678827
TEP1,2777.0,0.379550228,40.0,0.378018,-0.106021385
TFE3,1431.0,0.379068139,541.0,-0.431212,0.380626017
TFEB,621.0,0.429366592,302.0,-1.221165,0.14677091
THADA,112.0,0.415199561,352.0,0.267528,0.399658257
THUMPD1,2715.0,0.455087735,225.0,0.580034,-0.021376343
THYN1,205.0,0.377954149,484.0,-0.44531,-0.152219307
TIMM50,3932.0,0.424829064,722.0,-0.258815,-0.239637709
TIMM8B,2046.0,0.447942532,30.0,-1.647786,-0.591751333
TK2,3965.0,0.360054507,593.0,0.567589,-0.440054373
TLE1,571.0,0.374791795,1295.0,-1.842644,-0.471913453
TM9SF2,2020.0,0.372522209,233.0,0.556988,0.59089124
TMED3,1710.0,0.439016102,188.0,-0.272821,-0.3326911
TMED9,708.0,0.44685712,67.0,0.268619,0.086497282
TMEM126A,52.0,0.406087664,295.0,-1.050737,0.28746976
TMEM199,2431.0,0.370998168,90.0,0.073397,-0.388252565
TMEM63A,1407.0,0.385482014,622.0,-0.109037,-0.191392134
TMOD1,2050.0,0.392927141,213.0,-3.0422,-0.294805892
TMSB10,278.0,0.470652003,95.0,-0.504462,0.015837973
TNFAIP2,2079.0,0.44214387,131.0,-0.667484,-0.590913346
TNFAIP3,1995.0,0.416242917,370.0,-0.729997,-0.209628383
TNFAIP8L2,497.0,0.440670719,126.0,-1.1509,0.523975483
TNIP1,770.0,0.448321216,241.0,0.200938,0.668781718
TNK2,822.0,0.420245651,543.0,-0.427852,0.116410075
TNPO2,2070.0,0.408799881,358.0,-0.029769,-0.016403409
TNRC18,1316.0,0.449521205,349.0,0.379786,0.41130497
TOMM5,518.0,0.441712708,107.0,-0.75794,-0.002468227
TOP2A,1003.0,0.364102812,159.0,0.150493,-0.136926419
TOR1A,3160.0,0.446121485,77.0,0.141284,0.825521995
TPD52L2,1600.0,0.385071878,138.0,-0.284404,-0.353168433
TPI1,620.0,0.479135356,527.0,-0.480222,-0.052445487
TPM1,757.0,0.403626605,257.0,-0.024754,-0.095709085
TRAF1,7433.0,0.438949906,572.0,-1.393172,-0.03651922
TRAF3,5716.0,0.386659664,353.0,-0.921638,0.165899939
TRAF6,6100.0,0.426668941,381.0,0.046036,-0.28558276
TRAPPC3,634.0,0.441060625,519.0,-0.637286,-0.201700948
TRAPPC5,42.0,0.453352607,241.0,-0.548036,-0.491411663
TRAPPC6B,2539.0,0.437369008,335.0,-0.070051,0.088204415
TRAPPC9,3079.0,0.431357199,134.0,0.078875,0.354443513
TRIM11,3522.0,0.453298916,255.0,0.275904,0.69075081
TRIM13,5308.0,0.419190719,763.0,0.151085,2.021707015
TRIM14,3117.0,0.369225689,165.0,-0.625322,-0.241374715
TRIM22,1215.0,0.424423711,379.0,-1.087525,-0.280867396
TRIM26,1431.0,0.384319522,565.0,0.129783,0.172281945
TRIM27,2956.0,0.441704825,359.0,0.311562,0.47375733
TRIM41,1657.0,0.454716896,737.0,0.526592,0.558704528
TRIM5,2312.0,0.426412011,303.0,-0.18609,0.397891818
TRIP12,3739.0,0.40441217,297.0,0.476249,-0.169398325
TRIP13,2852.0,0.433721983,145.0,0.1142,-0.151251204
TRMT5,3660.0,0.405137655,572.0,-0.385376,-0.131621563
TRUB2,4655.0,0.434714666,759.0,-0.285772,-0.644957436
TSFM,1390.0,0.429356434,57.0,0.708166,0.851384356
TSPAN14,15147.0,0.398868986,305.0,-0.653878,-1.428841117
TSPYL1,7303.0,0.373212405,287.0,0.371738,0.330420844
TSR2,1366.0,0.464925113,443.0,-0.203339,0.172841736
TTC39C,3394.0,0.378954091,452.0,0.038588,-0.160501383
TTC7A,2213.0,0.393400181,1272.0,-1.005169,0.065256701
TTPAL,5319.0,0.425556123,145.0,-0.180699,-0.381620871
TUBA1C,110.0,0.451729991,576.0,-0.061983,-0.23212943
TUBA4A,644.0,0.402818439,556.0,-1.030937,-0.313540267
TUBB,1030.0,0.390058461,509.0,-0.132865,-0.543068892
TUBB6,2302.0,0.468445054,1139.0,-1.08143,0.117465815
TUBGCP4,1934.0,0.368175973,296.0,0.595012,-0.187847394
TUSC1,1294.0,0.429789613,537.0,-0.959103,-0.191721366
TXNL4A,3129.0,0.472736328,466.0,-1.121688,0.082840445
TYMP,18.0,0.429537249,376.0,-1.040435,-0.31975699
TYMS,581.0,0.364557025,159.0,-1.165578,0.160854554
UBAP2L,353.0,0.367068802,167.0,0.750772,0.042033123
UBE2B,4002.0,0.405496028,420.0,0.445894,-0.205003307
UBE2E1,1034.0,0.417917446,229.0,-0.317551,0.754700042
UBE2L3,2365.0,0.455573936,198.0,-0.570742,0.306312818
UBE2L6,703.0,0.431638779,653.0,-0.836698,-0.189772359
UBE4B,1283.0,0.418913915,688.0,-0.038007,-0.091093206
UBR4,797.0,0.387393976,4.0,0.290667,-0.16327578
UBTF,2209.0,0.400105612,296.0,0.279674,-0.163380844
UBXN1,220.0,0.422601268,194.0,-1.057604,0.001694056
UCK2,4043.0,0.447469338,640.0,-0.7475,0.067229253
UGGT1,5935.0,0.374564832,178.0,0.732195,-0.379446228
UHRF1BP1,5130.0,0.373569339,234.0,0.850656,-0.232126445
UNC45A,377.0,0.475530537,1022.0,0.260651,-0.250996608
UNG,1024.0,0.368897526,209.0,0.156025,0.091602495
UNK,1388.0,0.447315534,42.0,-0.297422,0.173337269
UQCR11,4379.0,0.470309826,75.0,-0.056135,0.506756598
UQCRC1,129.0,0.462829321,45.0,-0.203241,-0.49939842
UQCRH,193.0,0.365128489,320.0,-0.698779,0.00384832
UROD,171.0,0.391539164,133.0,-0.556243,0.007785911
UROS,3849.0,0.422413435,266.0,-0.010311,0.097551816
USP18,580.0,0.434940763,338.0,-1.463605,-0.399608227
USP39,571.0,0.39295741,223.0,-0.2611,-0.020440789
UTP6,2466.0,0.429918331,83.0,0.331552,-0.426796251
VAC14,489.0,0.396517204,827.0,0.132698,0.251252774
VAMP8,451.0,0.398153421,156.0,-0.52773,-0.340079076
VASP,824.0,0.388921088,342.0,-0.048673,-0.043910243
VAT1,1456.0,0.406330787,120.0,0.370567,0.445992758
VDAC3,475.0,0.440388181,210.0,-0.717038,-0.31779185
VDR,3209.0,0.450036866,401.0,-0.123966,0.725051601
VGLL4,2489.0,0.432812067,506.0,0.032539,0.276139856
VIM,431.0,0.411136971,462.0,-0.690301,-0.477206639
VPS28,291.0,0.476756313,109.0,-0.516986,0.234084701
VPS33B,559.0,0.447669729,583.0,0.551642,0.317857049
VPS39,2053.0,0.440628838,173.0,0.55109,0.56669517
VPS52,2870.0,0.393546356,887.0,0.35412,0.14310277
WASF2,4090.0,0.365213822,245.0,-0.165076,-0.575995518
WBP2,1040.0,0.392225719,515.0,-0.010242,-0.160873604
WDFY2,7044.0,0.36603015,340.0,-0.024478,0.80650181
WDR1,1039.0,0.393247178,368.0,0.189267,-0.240785346
WDR36,3619.0,0.40459335,117.0,0.355053,-0.043779519
WDR37,8068.0,0.365587877,173.0,-0.131749,-0.009727736
WDR4,293.0,0.380589271,581.0,-0.137933,-0.128814159
WDR47,1216.0,0.402106333,376.0,0.213844,-0.468722426
WDR48,1924.0,0.419028298,472.0,0.025509,0.395382818
WDR5,1979.0,0.401607191,171.0,-0.74906,0.022460826
WDR54,97.0,0.394793766,128.0,-0.753931,0.343724869
WDR61,197.0,0.411764619,310.0,-0.300652,0.002026952
WDR77,4184.0,0.412330102,139.0,-0.392814,0.291322376
WDR91,4946.0,0.380864599,823.0,-0.143703,0.308256694
WDR92,2520.0,0.427217839,117.0,0.00369,0.329667822
YTHDF1,1279.0,0.384821843,294.0,0.170694,-0.333648887
YTHDF3,3082.0,0.406652071,509.0,-0.063592,0.001010527
YY1,5192.0,0.440120149,480.0,-0.280126,0.434853513
ZBED1,2221.0,0.457533868,282.0,0.839891,0.340166176
ZBTB8OS,1087.0,0.406816332,276.0,-0.36541,0.131154994
ZC3H12A,768.0,0.421626239,1056.0,-0.46777,-0.255799221
ZC3H4,2169.0,0.436042942,38.0,0.316535,0.376390606
ZCCHC10,81.0,0.361883573,67.0,0.740089,1.258139998
ZCCHC2,2006.0,0.404185753,0.0,-0.351417,-0.532775607
ZFP36L1,2846.0,0.395541595,976.0,-0.786753,-0.613408016
ZMAT2,1942.0,0.460376067,101.0,0.772174,-0.48022609
ZMIZ2,4165.0,0.419562196,128.0,-0.189461,0.112439131
ZMYM3,1292.0,0.378831729,749.0,0.188173,-0.027894092
ZNF207,13817.0,0.386696564,148.0,0.111104,0.572060559
ZNF414,113.0,0.422835658,118.0,-0.345324,0.59203438
ZNF511,243.0,0.452392726,55.0,-0.574196,0.942464977
ZNF516,4816.0,0.393186692,318.0,0.439,0.103558555
ZNF622,1298.0,0.463753859,120.0,0.363923,0.522014805
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,0.213736616
ZNHIT3,419.0,0.425204303,73.0,0.098199,0.37550518
ZWINT,4585.0,0.411772707,37.0,-0.638495,0.199354679
