,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EY,TCGA-A2-A0EY.1
SEC22A,2559.0,0.422343815,79.0,0.419767,0.315123391
SEC24B,1221.0,0.400931805,155.0,-0.601011,0.00415664
SEC24D,2115.0,0.386600041,297.0,-0.173616,-0.043445286
SEC61B,270.0,0.404562259,76.0,-0.493639,0.187684997
SEMA3F,960.0,0.38837398,318.0,-0.083552,0.375419634
SEMA4A,755.0,0.412797256,345.0,0.315528,0.091110254
SEMA4D,2318.0,0.393173667,572.0,-0.329373,0.163005855
SERPINA1,1707.0,0.420489385,573.0,-0.421069,0.206534331
SERPINB8,2096.0,0.38524815,520.0,-0.636253,0.029184015
SETMAR,321.0,0.414235412,398.0,0.054669,0.051712238
SEZ6L2,540.0,0.431800162,245.0,-3.735443,-0.052056464
SF1,2419.0,0.374481437,721.0,-0.10015,-0.005050747
SF3B2,563.0,0.453902675,40.0,0.117901,0.083003014
SFXN4,500.0,0.402513841,45.0,0.171492,0.086426662
SH3BP1,433.0,0.395530944,313.0,0.268031,-0.030687619
SH3PXD2B,4870.0,0.420952884,171.0,-0.147237,0.22707198
SHMT1,4335.0,0.394510245,509.0,-0.269378,-0.175949118
SIGLEC1,1590.0,0.42099348,0.0,-0.450887,-0.113856497
SIPA1,2933.0,0.437718847,296.0,-0.143075,0.156141898
SIRPA,3027.0,0.429235057,360.0,-0.244189,-0.157568255
SKP1,8791.0,0.433886974,179.0,-0.891553,-0.214953338
SLBP,3046.0,0.391438372,553.0,0.088115,-0.103882388
SLC25A10,1929.0,0.386184273,191.0,0.195533,-0.154634903
SLC25A19,477.0,0.386093473,224.0,-0.149546,-0.054904202
SLC25A20,787.0,0.382641976,199.0,0.218072,-0.003424134
SLC25A3,504.0,0.383836987,354.0,-0.099163,-0.132154769
SLC25A40,2688.0,0.363984785,375.0,0.171164,-0.052387785
SLC25A42,2156.0,0.366871382,156.0,0.632363,-0.110252123
SLC25A6,450.0,0.487227384,137.0,0.464124,0.280555065
SLC27A3,163.0,0.439664345,91.0,0.474994,0.155448158
SLC39A10,2661.0,0.346494338,214.0,0.06034,-0.012253856
SLC43A2,6357.0,0.437839378,341.0,-0.112646,0.329087693
SLC43A3,838.0,0.382351997,447.0,0.056341,-0.117457739
SLC44A1,8291.0,0.4365497,264.0,-0.541955,-0.534438592
SLC9A3R1,709.0,0.400889529,235.0,0.689835,-0.150398387
SMAP2,1225.0,0.404145004,415.0,-0.076024,0.051305219
SMC1A,5954.0,0.490702048,340.0,0.445463,-0.088629005
SMG5,1363.0,0.383248033,540.0,0.232954,-0.097026761
SMS,2660.0,0.417677888,252.0,0.135361,-0.152048834
SMYD3,223.0,0.378821529,130.0,-1.463301,-0.342409805
SNRNP200,676.0,0.454045162,132.0,-0.420989,-0.112754438
SNRPC,474.0,0.427936125,450.0,0.307289,-0.040809394
SNRPD1,4386.0,0.384326147,161.0,-0.061936,-0.134755648
SNRPN,279.0,0.390283395,1145.0,0.883538,-0.072981127
SNX24,5071.0,0.338464018,185.0,-1.119196,-0.197974062
SNX30,6144.0,0.426743352,148.0,0.492308,0.384512261
SNX33,5086.0,0.383330712,96.0,-0.794616,-0.09411474
SOD1,353.0,0.438546885,148.0,-0.1585,-0.135523588
SOD2,13436.0,0.435065133,1828.0,0.829504,0.198101347
SP110,3922.0,0.401738483,258.0,0.210309,-0.070181367
SPC24,1691.0,0.381793277,320.0,0.494983,-0.064874261
SPC25,540.0,0.373816265,131.0,1.060343,-0.054781333
SPCS1,3333.0,0.417439524,205.0,0.157287,-0.084399334
SPI1,383.0,0.406748349,223.0,0.318624,0.138243346
SPRYD4,1406.0,0.430591965,75.0,0.343343,-0.317116833
SQSTM1,1485.0,0.412192979,360.0,0.184042,-0.219393448
SRC,2671.0,0.437602812,449.0,1.009835,0.439197652
SRGAP2,3018.0,0.377689891,542.0,-0.480472,-0.199571922
SRI,5365.0,0.424260151,79.0,0.550909,-0.01455097
SRP19,2645.0,0.430943803,189.0,-1.399865,-0.339416753
SRPRB,1784.0,0.427990824,285.0,-0.217177,0.110055149
SRR,1392.0,0.393840903,354.0,-0.967641,-0.284166644
SRXN1,2099.0,0.37663928,185.0,0.763799,0.115456396
SS18L2,777.0,0.45997865,208.0,-0.13906,0.139927633
SSH1,5298.0,0.373517564,146.0,0.154528,-0.084775172
SSH3,2595.0,0.376349937,178.0,0.972838,0.488322069
SSR2,592.0,0.425839932,80.0,0.157769,0.078135797
SSR3,3698.0,0.388415977,156.0,0.683354,0.840932461
SSR4,87.0,0.444947593,150.0,0.271498,0.126454514
SSRP1,422.0,0.394601844,267.0,0.3577,-0.213252157
SSU72,400.0,0.445120823,325.0,-0.17973,0.034395107
ST13,3666.0,0.439823793,468.0,0.248627,0.045424146
ST14,553.0,0.454138745,193.0,1.530127,0.318759045
ST3GAL4,594.0,0.39537481,557.0,-0.246158,-0.263313577
STAP1,541.0,0.398288494,113.0,-0.888526,-0.534543611
STARD10,1682.0,0.427301627,944.0,-0.194491,-0.786667675
STAT1,3294.0,0.408136156,388.0,-0.092536,-0.332566924
STAT2,1791.0,0.409862748,203.0,-0.593979,-0.1951478
STAT6,1168.0,0.380869476,499.0,-0.339865,0.032576787
STMN1,1138.0,0.394107416,364.0,-0.039739,-0.249849786
STOM,2222.0,0.387137797,117.0,0.076747,0.048651075
STOML2,531.0,0.456962681,143.0,0.276359,-0.083499802
STX11,4481.0,0.457080677,192.0,-0.353741,-0.25250229
STX3,5058.0,0.403902965,547.0,0.490097,0.814863256
STX7,14891.0,0.417568039,327.0,0.894609,0.854918855
STX8,107.0,0.378438911,150.0,-0.236982,0.382066465
SUCLG1,223.0,0.43877655,193.0,0.264345,0.083099963
SUFU,3380.0,0.361614756,191.0,0.297602,-0.102941142
SUMF1,999.0,0.37076871,37.0,-0.186246,-0.115873634
SUPT4H1,1112.0,0.438747077,103.0,-0.398934,0.005141689
SURF2,1720.0,0.440503417,48.0,0.467637,-0.23316932
SURF4,2281.0,0.385472445,476.0,0.743115,0.419389551
SURF6,4908.0,0.42467207,78.0,0.89826,0.027285606
SUV39H1,1669.0,0.463566826,266.0,0.686576,0.148875303
SVIP,4195.0,0.357937352,217.0,-0.516423,-0.091703153
SYTL1,80.0,0.364244725,197.0,-1.232157,-0.13344763
TACC3,165.0,0.385699108,155.0,0.3174,-0.121270695
TADA2B,3064.0,0.464060586,151.0,0.230445,0.122206374
TAF12,689.0,0.435926756,522.0,-0.833792,0.057672425
TAP2,5256.0,0.374969764,175.0,-0.949679,-0.102751413
TATDN2,2040.0,0.415810908,581.0,0.220871,-0.303870154
TBC1D20,3109.0,0.435441414,148.0,0.42808,0.684709174
TBC1D9B,1396.0,0.395340616,37.0,0.158792,0.231890837
TBCC,556.0,0.434161456,73.0,0.07816,-0.165309566
TCEAL3,260.0,0.368171822,262.0,-1.048068,-0.457515199
TCEAL4,3020.0,0.432120515,489.0,-1.185083,-0.507122496
TCOF1,1640.0,0.41523122,108.0,-0.795699,-0.020901579
TDP1,1721.0,0.418036689,317.0,-0.331684,-0.143841328
TDRD7,242.0,0.375852104,234.0,-1.339,-0.201928042
TDRKH,973.0,0.419795099,182.0,-0.099748,0.013749587
TEP1,2777.0,0.379550228,40.0,-0.209363,-0.126024898
TFE3,1431.0,0.379068139,541.0,0.67309,0.592613027
TFEB,621.0,0.429366592,302.0,0.407689,0.34575316
THADA,112.0,0.415199561,352.0,-0.053115,0.07177036
THUMPD1,2715.0,0.455087735,225.0,0.708934,0.438676117
THYN1,205.0,0.377954149,484.0,0.323694,0.352861965
TIMM50,3932.0,0.424829064,722.0,0.106899,-0.351180707
TIMM8B,2046.0,0.447942532,30.0,0.845149,0.143613779
TK2,3965.0,0.360054507,593.0,-0.372801,0.022441905
TLE1,571.0,0.374791795,1295.0,0.909754,-0.04264803
TM9SF2,2020.0,0.372522209,233.0,1.113962,0.958370355
TMED3,1710.0,0.439016102,188.0,0.67856,0.577657953
TMED9,708.0,0.44685712,67.0,-0.005921,0.430331257
TMEM126A,52.0,0.406087664,295.0,0.290536,0.124395274
TMEM199,2431.0,0.370998168,90.0,-0.647741,0.860032353
TMEM63A,1407.0,0.385482014,622.0,-0.04051,0.438370655
TMOD1,2050.0,0.392927141,213.0,-1.281137,-0.015248303
TMSB10,278.0,0.470652003,95.0,1.493327,0.196218476
TNFAIP2,2079.0,0.44214387,131.0,-0.275028,-0.21246973
TNFAIP3,1995.0,0.416242917,370.0,0.26353,0.162238967
TNFAIP8L2,497.0,0.440670719,126.0,0.188601,0.105399664
TNIP1,770.0,0.448321216,241.0,-0.208374,-0.074102439
TNK2,822.0,0.420245651,543.0,1.019885,0.26363615
TNPO2,2070.0,0.408799881,358.0,0.581457,0.094476109
TNRC18,1316.0,0.449521205,349.0,0.535959,-0.099233004
TOMM5,518.0,0.441712708,107.0,-0.467812,-0.394090326
TOMM6,1957.0,0.431553434,255.0,0.278217,-0.367244596
TOP2A,1003.0,0.364102812,159.0,0.059292,-0.389650148
TOR1A,3160.0,0.446121485,77.0,0.32953,0.088336918
TPD52L2,1600.0,0.385071878,138.0,0.07028,0.102810631
TPI1,620.0,0.479135356,527.0,-0.301927,0.152478302
TPM1,757.0,0.403626605,257.0,-0.352192,0.172799335
TRAF1,7433.0,0.438949906,572.0,0.143263,-0.256460668
TRAF3,5716.0,0.386659664,353.0,0.469089,-0.111527179
TRAF6,6100.0,0.426668941,381.0,-0.39695,0.046559373
TRAPPC3,634.0,0.441060625,519.0,-0.601226,-0.211547707
TRAPPC5,42.0,0.453352607,241.0,0.644776,0.076716368
TRAPPC6B,2539.0,0.437369008,335.0,-0.795415,-0.026543677
TRAPPC9,3079.0,0.431357199,134.0,0.876497,0.067419694
TRIM11,3522.0,0.453298916,255.0,0.337095,0.003104067
TRIM14,3117.0,0.369225689,165.0,-0.43582,-0.245379267
TRIM22,1215.0,0.424423711,379.0,-0.935202,-0.151203471
TRIM26,1431.0,0.384319522,565.0,0.740959,0.20260139
TRIM27,2956.0,0.441704825,359.0,0.093063,-0.245225492
TRIM41,1657.0,0.454716896,737.0,-0.759364,-0.023752929
TRIM5,2312.0,0.426412011,303.0,-0.459704,-0.049057402
TRIP12,3739.0,0.40441217,297.0,0.036424,0.297610634
TRIP13,2852.0,0.433721983,145.0,-0.652152,-0.437901829
TRMT5,3660.0,0.405137655,572.0,-0.726383,-0.229928218
TRUB2,4655.0,0.434714666,759.0,0.527544,0.16872875
TSFM,1390.0,0.429356434,57.0,-0.397827,-0.138924698
TSPAN14,15147.0,0.398868986,305.0,0.416818,0.098591221
TSPYL1,7303.0,0.373212405,287.0,0.340134,-0.166506099
TSR2,1366.0,0.464925113,443.0,1.048939,0.564120188
TTC39C,3394.0,0.378954091,452.0,0.404448,0.321625574
TTC7A,2213.0,0.393400181,1272.0,0.00076,-0.108001215
TTPAL,5319.0,0.425556123,145.0,-0.078447,0.078797075
TTYH3,3063.0,0.383645273,187.0,0.889625,0.592682294
TUBA1C,110.0,0.451729991,576.0,0.357853,0.165657617
TUBA4A,644.0,0.402818439,556.0,-1.422104,-0.964829827
TUBB,1030.0,0.390058461,509.0,0.794251,-0.350643053
TUBB6,2302.0,0.468445054,1139.0,-0.758344,-0.036533709
TUBGCP4,1934.0,0.368175973,296.0,-0.009049,-0.016178044
TUSC1,1294.0,0.429789613,537.0,-0.000389,0.203513174
TXNL4A,3129.0,0.472736328,466.0,0.046885,-0.239107915
TYMP,18.0,0.429537249,376.0,0.584241,-0.108028016
TYMS,581.0,0.364557025,159.0,-0.65384,-0.138473513
TYROBP,168.0,0.417048036,81.0,-0.108295,-0.568901137
UBAP2L,353.0,0.367068802,167.0,-0.200359,-0.080347614
UBE2B,4002.0,0.405496028,420.0,-0.889875,-0.517186164
UBE2E1,1034.0,0.417917446,229.0,-0.080986,0.328684007
UBE2L3,2365.0,0.455573936,198.0,0.247562,-0.148868355
UBE2L6,703.0,0.431638779,653.0,0.235105,-0.306115826
UBE4B,1283.0,0.418913915,688.0,-0.260877,-0.040187736
UBIAD1,2303.0,0.446280173,334.0,-0.172429,-0.097131214
UBR4,797.0,0.387393976,4.0,-0.209295,-0.031967969
UBTF,2209.0,0.400105612,296.0,0.013892,0.056326595
UBXN1,220.0,0.422601268,194.0,0.206849,0.297132714
UCK2,4043.0,0.447469338,640.0,-0.683037,-0.078243737
UGGT1,5935.0,0.374564832,178.0,0.470207,0.22917711
UHRF1BP1,5130.0,0.373569339,234.0,0.155084,-0.064365489
UNC45A,377.0,0.475530537,1022.0,-0.534586,-0.524463196
UNG,1024.0,0.368897526,209.0,-0.478451,-0.162761468
UNK,1388.0,0.447315534,42.0,0.065018,-0.085812633
UQCR11,4379.0,0.470309826,75.0,1.384809,-0.624333045
UQCRC1,129.0,0.462829321,45.0,0.073477,-0.183018007
UQCRH,193.0,0.365128489,320.0,-0.565989,-0.46596734
UROD,171.0,0.391539164,133.0,-0.65706,-0.103801702
UROS,3849.0,0.422413435,266.0,0.432445,0.251353102
USP18,580.0,0.434940763,338.0,0.122729,-0.590915028
USP39,571.0,0.39295741,223.0,0.730625,-0.062397102
UTP6,2466.0,0.429918331,83.0,-0.788819,-0.033983635
VAC14,489.0,0.396517204,827.0,-0.190943,-0.035529045
VAMP8,451.0,0.398153421,156.0,0.513511,0.858209059
VASP,824.0,0.388921088,342.0,0.114788,0.113491722
VAT1,1456.0,0.406330787,120.0,0.065941,0.059405091
VDAC3,475.0,0.440388181,210.0,-0.273996,-0.057953545
VDR,3209.0,0.450036866,401.0,0.138343,0.172155672
VGLL4,2489.0,0.432812067,506.0,0.316622,0.264246214
VIM,431.0,0.411136971,462.0,-0.98077,0.133059455
VPS28,291.0,0.476756313,109.0,0.457607,-0.081086632
VPS33B,559.0,0.447669729,583.0,-0.242339,-0.028709382
VPS39,2053.0,0.440628838,173.0,-0.401983,-0.104824826
VPS52,2870.0,0.393546356,887.0,0.345757,0.149783889
WASF2,4090.0,0.365213822,245.0,-0.363425,-0.023863112
WBP2,1040.0,0.392225719,515.0,-0.742495,-0.610175319
WDFY2,7044.0,0.36603015,340.0,0.45502,0.372783638
WDR1,1039.0,0.393247178,368.0,0.418822,0.003394933
WDR36,3619.0,0.40459335,117.0,-1.274444,-0.14745092
WDR37,8068.0,0.365587877,173.0,-0.035517,0.07326405
WDR4,293.0,0.380589271,581.0,0.291005,-0.089232168
WDR47,1216.0,0.402106333,376.0,-0.612864,-0.276210746
WDR48,1924.0,0.419028298,472.0,-0.453237,-0.073243046
WDR5,1979.0,0.401607191,171.0,0.789135,0.110629824
WDR54,97.0,0.394793766,128.0,0.79632,-0.20317776
WDR61,197.0,0.411764619,310.0,-0.80576,-0.191922843
WDR77,4184.0,0.412330102,139.0,-0.60707,-0.16178059
WDR91,4946.0,0.380864599,823.0,0.127275,0.065099109
WDR92,2520.0,0.427217839,117.0,0.352832,-0.129684395
YTHDF1,1279.0,0.384821843,294.0,0.463326,-0.041619315
YTHDF3,3082.0,0.406652071,509.0,0.547663,0.396403976
YY1,5192.0,0.440120149,480.0,0.009591,-0.057557294
ZBED1,2221.0,0.457533868,282.0,0.1829,-0.081238988
ZBTB8OS,1087.0,0.406816332,276.0,-0.069375,0.491844788
ZC3H12A,768.0,0.421626239,1056.0,1.975245,-0.0208958
ZC3H4,2169.0,0.436042942,38.0,0.102345,-0.011933775
ZCCHC2,2006.0,0.404185753,0.0,-0.216958,0.018687115
ZFP36L1,2846.0,0.395541595,976.0,0.306543,0.464877038
ZMAT2,1942.0,0.460376067,101.0,-0.246339,-0.046982831
ZMIZ2,4165.0,0.419562196,128.0,0.515189,0.39601666
ZMYM3,1292.0,0.378831729,749.0,-0.605833,-0.200682328
ZNF207,13817.0,0.386696564,148.0,-0.191103,-0.137228352
ZNF414,113.0,0.422835658,118.0,0.508751,0.556872994
ZNF511,243.0,0.452392726,55.0,-0.24569,0.132403597
ZNF516,4816.0,0.393186692,318.0,-2.19143,-0.253860351
ZNF622,1298.0,0.463753859,120.0,-0.289384,-0.195793906
ZNHIT2,49.0,0.440612513,85.0,0.127977,0.254114756
ZNHIT3,419.0,0.425204303,73.0,-0.199451,-0.623693001
ZWINT,4585.0,0.411772707,37.0,0.324965,-0.125511275
