,3prime,tAI,max_5_UTR_length,TCGA-AN-A04A,TCGA-AN-A04A.1
SETMAR,321.0,0.414235412,398.0,-0.098974,-0.093683724
SEZ6L2,540.0,0.431800162,245.0,0.918343,0.388951125
SF1,2419.0,0.374481437,721.0,-0.064371,-0.093956455
SF3B2,563.0,0.453902675,40.0,-0.317322,0.19473717
SFXN4,500.0,0.402513841,45.0,-0.016583,0.223595397
SH3BP1,433.0,0.395530944,313.0,-0.218167,-0.341647185
SH3PXD2B,4870.0,0.420952884,171.0,0.959215,0.207238859
SHMT1,4335.0,0.394510245,509.0,-1.089943,-0.894043269
SIGLEC1,1590.0,0.42099348,0.0,0.141607,0.013497766
SIPA1,2933.0,0.437718847,296.0,-0.283865,-0.177563386
SIRPA,3027.0,0.429235057,360.0,0.111656,-0.34899614
SKP1,8791.0,0.433886974,179.0,0.475068,0.180646329
SLBP,3046.0,0.391438372,553.0,-0.599991,-0.127242471
SLC25A10,1929.0,0.386184273,191.0,-1.182476,-0.378552874
SLC25A19,477.0,0.386093473,224.0,-0.771788,-0.423803044
SLC25A20,787.0,0.382641976,199.0,-0.067831,0.534584283
SLC25A3,504.0,0.383836987,354.0,0.381153,0.257518242
SLC25A40,2688.0,0.363984785,375.0,-1.103578,0.152416086
SLC25A42,2156.0,0.366871382,156.0,-0.862787,-0.414164024
SLC25A6,450.0,0.487227384,137.0,0.399449,-0.085106037
SLC27A3,163.0,0.439664345,91.0,-0.239337,-0.03125992
SLC39A10,2661.0,0.346494338,214.0,0.644183,1.026647042
SLC44A1,8291.0,0.4365497,264.0,0.159587,-0.129583755
SLC9A3R1,709.0,0.400889529,235.0,-0.351458,-0.591789196
SMAP2,1225.0,0.404145004,415.0,0.766073,0.126571311
SMC1A,5954.0,0.490702048,340.0,0.308182,0.111503048
SMG5,1363.0,0.383248033,540.0,-0.615501,0.170038586
SMS,2660.0,0.417677888,252.0,0.472937,-0.156172204
SMYD3,223.0,0.378821529,130.0,0.450896,-0.06323212
SNRNP200,676.0,0.454045162,132.0,0.86,0.055786499
SNRPC,474.0,0.427936125,450.0,0.360257,0.112057698
SNRPD1,4386.0,0.384326147,161.0,1.239438,0.224372236
SNRPN,279.0,0.390283395,1145.0,0.148896,-0.212811723
SNX24,5071.0,0.338464018,185.0,0.071218,-0.228870124
SNX30,6144.0,0.426743352,148.0,-0.15204,-0.194274239
SNX33,5086.0,0.383330712,96.0,0.553299,0.045276845
SOD1,353.0,0.438546885,148.0,-0.609629,-0.717923009
SOD2,13436.0,0.435065133,1828.0,-0.688827,-0.264328136
SP110,3922.0,0.401738483,258.0,0.390595,-0.127752693
SPC24,1691.0,0.381793277,320.0,-1.54715,-0.164112929
SPC25,540.0,0.373816265,131.0,-0.136434,-0.147142331
SPCS1,3333.0,0.417439524,205.0,0.486758,1.020779385
SPI1,383.0,0.406748349,223.0,-0.417387,0.978345475
SPRYD4,1406.0,0.430591965,75.0,0.304263,0.218611174
SQSTM1,1485.0,0.412192979,360.0,0.120443,-0.701789709
SRC,2671.0,0.437602812,449.0,0.341763,0.193935192
SRGAP2,3018.0,0.377689891,542.0,0.048996,-0.112696319
SRI,5365.0,0.424260151,79.0,-0.413865,-0.452158807
SRP19,2645.0,0.430943803,189.0,0.128743,0.205217427
SRPRB,1784.0,0.427990824,285.0,0.911631,0.757559673
SRR,1392.0,0.393840903,354.0,-0.132479,-0.468147155
SRXN1,2099.0,0.37663928,185.0,0.851531,0.144941718
SS18L2,777.0,0.45997865,208.0,-0.557578,0.321013736
SSH1,5298.0,0.373517564,146.0,0.46629,0.469483129
SSH3,2595.0,0.376349937,178.0,-0.794673,-0.519022468
SSR2,592.0,0.425839932,80.0,0.34081,0.042114056
SSR3,3698.0,0.388415977,156.0,0.385404,-0.398065533
SSR4,87.0,0.444947593,150.0,1.035543,0.360940411
SSRP1,422.0,0.394601844,267.0,0.013618,0.05168981
SSU72,400.0,0.445120823,325.0,-0.139507,-0.108038489
ST13,3666.0,0.439823793,468.0,0.999447,0.002154253
ST14,553.0,0.454138745,193.0,-0.331572,-0.130267425
ST3GAL4,594.0,0.39537481,557.0,0.937716,0.250482077
STAP1,541.0,0.398288494,113.0,-0.845116,-0.0533646
STARD10,1682.0,0.427301627,944.0,1.395894,0.100485855
STAT1,3294.0,0.408136156,388.0,-0.112915,-0.569514481
STAT2,1791.0,0.409862748,203.0,0.096656,0.029691073
STAT6,1168.0,0.380869476,499.0,-0.421404,-0.084598333
STMN1,1138.0,0.394107416,364.0,0.464102,-0.317865901
STOM,2222.0,0.387137797,117.0,1.077854,0.336376988
STOML2,531.0,0.456962681,143.0,0.401083,0.199517191
STX3,5058.0,0.403902965,547.0,0.039531,-0.076650214
STX7,14891.0,0.417568039,327.0,0.002131,-0.410212509
STX8,107.0,0.378438911,150.0,-0.710493,-0.091974346
SUCLG1,223.0,0.43877655,193.0,0.076297,0.15656348
SUFU,3380.0,0.361614756,191.0,0.024338,0.300727174
SUMF1,999.0,0.37076871,37.0,-0.411558,-0.0928999
SUPT4H1,1112.0,0.438747077,103.0,1.66832,-0.297682165
SURF2,1720.0,0.440503417,48.0,0.396895,0.697356757
SURF4,2281.0,0.385472445,476.0,0.890747,0.468681449
SURF6,4908.0,0.42467207,78.0,0.349939,0.513039696
SYTL1,80.0,0.364244725,197.0,-0.696978,-0.038985835
TACC3,165.0,0.385699108,155.0,-0.600192,-0.355378169
TADA2B,3064.0,0.464060586,151.0,-0.214237,-0.110694574
TAP2,5256.0,0.374969764,175.0,-0.025654,-0.108660897
TATDN2,2040.0,0.415810908,581.0,-0.192391,0.285288058
TBC1D20,3109.0,0.435441414,148.0,0.295758,-0.273086535
TBC1D9B,1396.0,0.395340616,37.0,-0.283049,-0.016912515
TBCC,556.0,0.434161456,73.0,-0.698126,-0.460442015
TCEAL3,260.0,0.368171822,262.0,2.238442,1.28505377
TCEAL4,3020.0,0.432120515,489.0,1.634272,1.119617034
TCOF1,1640.0,0.41523122,108.0,0.156934,0.611346243
TDP1,1721.0,0.418036689,317.0,0.028405,0.036476517
TDRD7,242.0,0.375852104,234.0,-0.029293,0.200266508
TDRKH,973.0,0.419795099,182.0,-0.748834,-0.059248264
TEP1,2777.0,0.379550228,40.0,-0.155654,0.416518074
TFE3,1431.0,0.379068139,541.0,0.165069,0.493473544
TFEB,621.0,0.429366592,302.0,-0.191174,0.337927943
THADA,112.0,0.415199561,352.0,-0.154742,-0.0185364
THUMPD1,2715.0,0.455087735,225.0,0.76238,0.684250095
THYN1,205.0,0.377954149,484.0,-0.247077,-0.283974445
TIMM50,3932.0,0.424829064,722.0,0.215886,-0.012744897
TIMM8B,2046.0,0.447942532,30.0,0.092831,0.318353806
TK2,3965.0,0.360054507,593.0,0.808972,0.300282947
TLE1,571.0,0.374791795,1295.0,-1.422933,-0.164758155
TM9SF2,2020.0,0.372522209,233.0,-0.041303,0.262163919
TMED3,1710.0,0.439016102,188.0,0.650175,0.57224823
TMED9,708.0,0.44685712,67.0,0.075418,0.497779836
TMEM126A,52.0,0.406087664,295.0,-0.489434,-0.280119098
TMEM199,2431.0,0.370998168,90.0,-0.204699,-0.423695837
TMEM63A,1407.0,0.385482014,622.0,-0.960047,-0.151696297
TMOD1,2050.0,0.392927141,213.0,0.296578,-0.463956433
TMSB10,278.0,0.470652003,95.0,0.142758,-0.392196906
TNFAIP1,2409.0,0.451408648,449.0,0.09637,0.095194918
TNFAIP2,2079.0,0.44214387,131.0,0.085753,-0.295536554
TNFAIP3,1995.0,0.416242917,370.0,-0.892818,-0.189596082
TNFAIP8L2,497.0,0.440670719,126.0,-0.12243,0.007007326
TNIP1,770.0,0.448321216,241.0,0.072505,0.132164118
TNK2,822.0,0.420245651,543.0,-0.18096,0.233065066
TNPO2,2070.0,0.408799881,358.0,-0.377259,0.005701042
TNRC18,1316.0,0.449521205,349.0,-0.449628,0.638769136
TOMM5,518.0,0.441712708,107.0,0.335555,0.286973102
TOP2A,1003.0,0.364102812,159.0,-0.460663,-0.156211941
TOR1A,3160.0,0.446121485,77.0,0.424772,0.509551256
TPD52L2,1600.0,0.385071878,138.0,0.237332,-0.036995768
TPI1,620.0,0.479135356,527.0,0.043455,0.03291856
TPM1,757.0,0.403626605,257.0,0.614868,0.225438355
TRAF1,7433.0,0.438949906,572.0,-1.746997,-0.194990568
TRAF3,5716.0,0.386659664,353.0,-0.403034,0.111160428
TRAF6,6100.0,0.426668941,381.0,-0.624788,-0.064593536
TRAPPC3,634.0,0.441060625,519.0,-0.392691,-0.069356163
TRAPPC5,42.0,0.453352607,241.0,-0.044428,-0.027990467
TRAPPC6B,2539.0,0.437369008,335.0,0.353957,0.104192826
TRAPPC9,3079.0,0.431357199,134.0,1.047513,0.033130204
TRIM11,3522.0,0.453298916,255.0,-0.111623,0.334892765
TRIM14,3117.0,0.369225689,165.0,-0.011138,-0.465380793
TRIM22,1215.0,0.424423711,379.0,-0.262987,-0.13804492
TRIM26,1431.0,0.384319522,565.0,-0.141046,0.199582659
TRIM27,2956.0,0.441704825,359.0,0.077042,-0.029275178
TRIM41,1657.0,0.454716896,737.0,-0.11574,0.415439159
TRIM5,2312.0,0.426412011,303.0,-0.744564,0.000468805
TRIP12,3739.0,0.40441217,297.0,0.132901,-0.015557982
TRIP13,2852.0,0.433721983,145.0,-0.940035,-0.562381458
TRMT5,3660.0,0.405137655,572.0,0.566056,0.440628188
TRUB2,4655.0,0.434714666,759.0,1.047228,-0.083340161
TSFM,1390.0,0.429356434,57.0,0.375599,0.314739293
TSPAN14,15147.0,0.398868986,305.0,-0.021416,0.778123932
TSPYL1,7303.0,0.373212405,287.0,0.846223,1.2728517
TSR2,1366.0,0.464925113,443.0,0.492258,-0.362389921
TTC39C,3394.0,0.378954091,452.0,-0.118065,-0.017732408
TTC7A,2213.0,0.393400181,1272.0,-0.142087,0.215921497
TTPAL,5319.0,0.425556123,145.0,0.123729,-0.031745951
TTYH3,3063.0,0.383645273,187.0,-0.227198,0.551676955
TUBA1C,110.0,0.451729991,576.0,-0.162857,-0.569710392
TUBA4A,644.0,0.402818439,556.0,-0.035391,-0.316069118
TUBB,1030.0,0.390058461,509.0,0.30879,-0.407447519
TUBB6,2302.0,0.468445054,1139.0,0.408144,-0.092614735
TUBGCP4,1934.0,0.368175973,296.0,-0.21191,-0.061064033
TUSC1,1294.0,0.429789613,537.0,-1.170706,-0.548497258
TXNL4A,3129.0,0.472736328,466.0,-0.087045,-0.05647593
TYMP,18.0,0.429537249,376.0,-0.624502,-0.406870169
TYROBP,168.0,0.417048036,81.0,0.007339,-0.631570121
UBAP2L,353.0,0.367068802,167.0,0.329573,0.182641449
UBE2B,4002.0,0.405496028,420.0,0.378643,-0.522662671
UBE2E1,1034.0,0.417917446,229.0,0.004124,-0.102067363
UBE2E2,1962.0,0.352966355,180.0,-0.306746,0.06924753
UBE2L3,2365.0,0.455573936,198.0,0.420638,-0.148690944
UBE2L6,703.0,0.431638779,653.0,0.425412,-0.238484529
UBE4B,1283.0,0.418913915,688.0,0.11285,-0.156992386
UBIAD1,2303.0,0.446280173,334.0,0.133103,0.729197931
UBR4,797.0,0.387393976,4.0,-0.21297,-0.030579031
UBTF,2209.0,0.400105612,296.0,0.26435,0.283269655
UBXN1,220.0,0.422601268,194.0,0.363341,-0.326319295
UCK2,4043.0,0.447469338,640.0,0.310938,0.008367019
UGGT1,5935.0,0.374564832,178.0,0.096483,0.070921917
UHRF1BP1,5130.0,0.373569339,234.0,0.181649,0.020420123
UNC45A,377.0,0.475530537,1022.0,1.0562,0.108563004
UNG,1024.0,0.368897526,209.0,0.527528,0.529462961
UNK,1388.0,0.447315534,42.0,-0.582318,-0.038148834
UQCR11,4379.0,0.470309826,75.0,0.440148,0.509946206
UQCRC1,129.0,0.462829321,45.0,0.138169,0.04618184
UQCRH,193.0,0.365128489,320.0,0.086829,-0.39113715
UROD,171.0,0.391539164,133.0,-0.401859,-0.411613913
UROS,3849.0,0.422413435,266.0,-0.162268,0.048326843
USP18,580.0,0.434940763,338.0,0.570906,-0.001144512
USP39,571.0,0.39295741,223.0,0.19954,0.110059903
UTP6,2466.0,0.429918331,83.0,-0.36188,0.038046436
VAC14,489.0,0.396517204,827.0,0.350064,-0.014956036
VAMP8,451.0,0.398153421,156.0,0.370108,0.429599538
VASP,824.0,0.388921088,342.0,-0.263804,-0.197294103
VAT1,1456.0,0.406330787,120.0,0.754856,0.060744371
VDAC3,475.0,0.440388181,210.0,-0.089728,0.201885182
VDR,3209.0,0.450036866,401.0,0.436356,-0.238962063
VGLL4,2489.0,0.432812067,506.0,0.03007,0.038541195
VIM,431.0,0.411136971,462.0,0.500715,-0.379172572
VLDLR,6202.0,0.388727284,416.0,-0.545477,0.252387028
VPS28,291.0,0.476756313,109.0,0.962306,0.014802664
VPS33B,559.0,0.447669729,583.0,1.17672,0.358840119
VPS39,2053.0,0.440628838,173.0,0.224088,0.314226574
VPS52,2870.0,0.393546356,887.0,0.422733,-0.069290621
WASF2,4090.0,0.365213822,245.0,-0.382022,-0.371520757
WBP2,1040.0,0.392225719,515.0,-0.074795,-0.118681129
WDFY2,7044.0,0.36603015,340.0,-0.112177,0.195595006
WDR1,1039.0,0.393247178,368.0,0.320204,-0.124866234
WDR36,3619.0,0.40459335,117.0,0.127709,0.235683935
WDR37,8068.0,0.365587877,173.0,-0.247297,0.279921333
WDR4,293.0,0.380589271,581.0,-0.040277,-0.048165816
WDR47,1216.0,0.402106333,376.0,0.186585,0.138656274
WDR48,1924.0,0.419028298,472.0,0.520084,0.195365274
WDR5,1979.0,0.401607191,171.0,0.29428,0.181356182
WDR54,97.0,0.394793766,128.0,1.371492,0.299330189
WDR61,197.0,0.411764619,310.0,1.149512,0.059620331
WDR77,4184.0,0.412330102,139.0,-0.145155,0.096048098
WDR91,4946.0,0.380864599,823.0,-0.329397,0.130765887
WDR92,2520.0,0.427217839,117.0,-0.10821,-0.26690404
YTHDF1,1279.0,0.384821843,294.0,0.598496,0.284165045
YTHDF3,3082.0,0.406652071,509.0,-0.586726,-0.115816465
YY1,5192.0,0.440120149,480.0,0.172927,0.549327356
ZBED1,2221.0,0.457533868,282.0,0.271819,-0.119198452
ZBTB8OS,1087.0,0.406816332,276.0,0.564156,0.120405473
ZC3H12A,768.0,0.421626239,1056.0,-1.292579,0.022178737
ZC3H4,2169.0,0.436042942,38.0,0.520765,0.329430873
ZCCHC2,2006.0,0.404185753,0.0,0.604759,0.793917372
ZFP36L1,2846.0,0.395541595,976.0,-0.623538,0.252783248
ZMAT2,1942.0,0.460376067,101.0,0.624044,0.143162486
ZMIZ2,4165.0,0.419562196,128.0,0.154771,0.279202758
ZMYM3,1292.0,0.378831729,749.0,-0.4084,-0.193381161
ZNF207,13817.0,0.386696564,148.0,-0.003132,0.122826261
ZNF414,113.0,0.422835658,118.0,-0.964915,-0.324344116
ZNF511,243.0,0.452392726,55.0,0.349375,-0.5916081
ZNF516,4816.0,0.393186692,318.0,0.423131,0.248192832
ZNF622,1298.0,0.463753859,120.0,0.639915,0.415123194
ZNHIT2,49.0,0.440612513,85.0,-0.707002,0.018409191
ZNHIT3,419.0,0.425204303,73.0,-0.126638,-0.303330719
ZWINT,4585.0,0.411772707,37.0,-0.253119,1.098383311
