,3prime,tAI,max_5_UTR_length,TCGA-A7-A0CE,TCGA-A7-A0CE.1
SFXN4,500.0,0.402513841,45.0,0.663184,-0.081569093
SH3BP1,433.0,0.395530944,313.0,-0.09468,0.238198503
SH3PXD2B,4870.0,0.420952884,171.0,0.243982,0.010991807
SHMT1,4335.0,0.394510245,509.0,0.650435,-0.0568131
SIGLEC1,1590.0,0.42099348,0.0,-0.304101,-0.003777814
SIPA1,2933.0,0.437718847,296.0,-0.714473,-0.014410567
SIRPA,3027.0,0.429235057,360.0,0.765698,-0.021486881
SKP1,8791.0,0.433886974,179.0,-0.267095,-0.050228211
SLBP,3046.0,0.391438372,553.0,0.280844,0.352963836
SLC25A10,1929.0,0.386184273,191.0,-0.546222,-0.591659901
SLC25A19,477.0,0.386093473,224.0,1.064919,-0.476536549
SLC25A20,787.0,0.382641976,199.0,-0.265779,-0.372347084
SLC25A3,504.0,0.383836987,354.0,0.449924,-0.576197083
SLC25A40,2688.0,0.363984785,375.0,1.072645,0.21698328
SLC25A6,450.0,0.487227384,137.0,-0.899264,-0.799715737
SLC27A3,163.0,0.439664345,91.0,-0.078145,-0.405865024
SLC39A10,2661.0,0.346494338,214.0,-0.431265,-0.274256967
SLC44A1,8291.0,0.4365497,264.0,-0.452063,-0.537705609
SLC9A3R1,709.0,0.400889529,235.0,-2.113556,-0.900307274
SMAP2,1225.0,0.404145004,415.0,-0.772613,-0.277614611
SMC1A,5954.0,0.490702048,340.0,0.573154,0.104500569
SMG5,1363.0,0.383248033,540.0,0.561408,0.097333779
SMS,2660.0,0.417677888,252.0,-0.214263,-0.500005483
SMYD3,223.0,0.378821529,130.0,-0.622318,-0.183263282
SNRNP200,676.0,0.454045162,132.0,-0.18442,0.172150296
SNRPC,474.0,0.427936125,450.0,0.571365,0.284319771
SNRPD1,4386.0,0.384326147,161.0,0.874358,0.18668491
SNRPN,279.0,0.390283395,1145.0,-2.954981,0.374289648
SNX24,5071.0,0.338464018,185.0,0.35046,-0.155906794
SNX30,6144.0,0.426743352,148.0,-0.930941,-0.153585011
SNX33,5086.0,0.383330712,96.0,-0.238492,-0.094357833
SOD1,353.0,0.438546885,148.0,0.469025,0.001541741
SOD2,13436.0,0.435065133,1828.0,1.885308,-0.096246413
SP110,3922.0,0.401738483,258.0,-1.172152,-0.109467756
SPC24,1691.0,0.381793277,320.0,2.231674,0.224738015
SPC25,540.0,0.373816265,131.0,0.244748,0.118960864
SPCS1,3333.0,0.417439524,205.0,-0.251381,-1.099362979
SPI1,383.0,0.406748349,223.0,-1.154054,-0.173701722
SPRYD4,1406.0,0.430591965,75.0,-0.584422,-0.16339447
SQSTM1,1485.0,0.412192979,360.0,-1.343536,-0.728155127
SRC,2671.0,0.437602812,449.0,-1.300633,-0.474232793
SRGAP2,3018.0,0.377689891,542.0,0.277602,0.04567658
SRI,5365.0,0.424260151,79.0,1.273229,0.677468282
SRP19,2645.0,0.430943803,189.0,-0.154575,-0.173876416
SRPRB,1784.0,0.427990824,285.0,0.092973,-0.210513992
SRR,1392.0,0.393840903,354.0,-0.984943,-0.737294824
SRXN1,2099.0,0.37663928,185.0,-1.287543,-0.775688056
SS18L2,777.0,0.45997865,208.0,-0.430751,0.825455005
SSH1,5298.0,0.373517564,146.0,-0.360279,0.072742581
SSH3,2595.0,0.376349937,178.0,-0.910592,-0.539883474
SSR2,592.0,0.425839932,80.0,0.868217,-0.093758347
SSR3,3698.0,0.388415977,156.0,-0.209686,-0.329859752
SSR4,87.0,0.444947593,150.0,1.34098,-0.185089509
SSRP1,422.0,0.394601844,267.0,0.717209,0.292487357
SSU72,400.0,0.445120823,325.0,0.487181,0.302846445
ST13,3666.0,0.439823793,468.0,-0.574266,-0.095276552
ST14,553.0,0.454138745,193.0,1.176237,-0.37531036
STAP1,541.0,0.398288494,113.0,-0.114114,-0.059251756
STARD10,1682.0,0.427301627,944.0,-2.691557,-1.613501818
STAT1,3294.0,0.408136156,388.0,0.253076,0.028762924
STAT2,1791.0,0.409862748,203.0,-0.245127,0.037436645
STAT6,1168.0,0.380869476,499.0,-0.041611,0.126467202
STMN1,1138.0,0.394107416,364.0,1.9877,0.778935353
STOM,2222.0,0.387137797,117.0,0.391755,-0.283763072
STOML2,531.0,0.456962681,143.0,1.177461,0.194462872
STX3,5058.0,0.403902965,547.0,-0.564984,-0.597400259
STX7,14891.0,0.417568039,327.0,0.490261,-0.21062651
STX8,107.0,0.378438911,150.0,0.546328,0.090601365
SUCLG1,223.0,0.43877655,193.0,0.752569,0.0067034
SUFU,3380.0,0.361614756,191.0,-0.04539,-0.136911763
SUMF1,999.0,0.37076871,37.0,-0.315239,0.262995668
SUPT4H1,1112.0,0.438747077,103.0,-0.264402,0.551682465
SURF2,1720.0,0.440503417,48.0,0.171055,0.17476629
SURF4,2281.0,0.385472445,476.0,-0.150489,-0.651301157
SURF6,4908.0,0.42467207,78.0,-0.189127,0.044964229
SUV39H1,1669.0,0.463566826,266.0,0.587421,0.240351226
SYTL1,80.0,0.364244725,197.0,-1.546384,-0.303566063
TACC3,165.0,0.385699108,155.0,0.677881,0.382169206
TADA2B,3064.0,0.464060586,151.0,-1.0743,-0.292062588
TAF12,689.0,0.435926756,522.0,0.348228,0.196815117
TAP2,5256.0,0.374969764,175.0,1.394558,0.306691558
TATDN2,2040.0,0.415810908,581.0,-0.13033,-0.389509211
TBC1D20,3109.0,0.435441414,148.0,-1.132148,-0.503230561
TBC1D9B,1396.0,0.395340616,37.0,-1.313238,-0.220054731
TBCC,556.0,0.434161456,73.0,-0.32669,-0.083545911
TCEAL3,260.0,0.368171822,262.0,-0.82989,-0.835321644
TCEAL4,3020.0,0.432120515,489.0,-0.510025,-0.015200827
TCOF1,1640.0,0.41523122,108.0,0.904994,0.096670795
TDP1,1721.0,0.418036689,317.0,0.930763,0.520493775
TDRD7,242.0,0.375852104,234.0,-0.011575,-0.157433835
TDRKH,973.0,0.419795099,182.0,0.978727,0.217370798
TEP1,2777.0,0.379550228,40.0,-1.067201,-0.306445286
TFE3,1431.0,0.379068139,541.0,-0.336349,-0.067334466
TFEB,621.0,0.429366592,302.0,0.865148,-0.027996875
THADA,112.0,0.415199561,352.0,0.270894,0.2636403
THUMPD1,2715.0,0.455087735,225.0,0.111611,0.27427862
THYN1,205.0,0.377954149,484.0,0.138342,-0.03389839
TIMM50,3932.0,0.424829064,722.0,0.363646,-0.220987774
TIMM8B,2046.0,0.447942532,30.0,-0.040342,-0.284168955
TK2,3965.0,0.360054507,593.0,-0.590877,-0.390297034
TLE1,571.0,0.374791795,1295.0,0.561594,0.120698284
TM9SF2,2020.0,0.372522209,233.0,0.832267,-0.490881932
TMED3,1710.0,0.439016102,188.0,0.468582,-0.324113129
TMED9,708.0,0.44685712,67.0,-0.678286,-0.741090958
TMEM126A,52.0,0.406087664,295.0,0.10036,-0.318144444
TMEM199,2431.0,0.370998168,90.0,-0.128917,-0.355330717
TMEM63A,1407.0,0.385482014,622.0,-0.668848,-0.782942684
TMOD1,2050.0,0.392927141,213.0,0.070719,-0.273085694
TMSB10,278.0,0.470652003,95.0,0.634031,0.713462829
TNFAIP1,2409.0,0.451408648,449.0,0.885202,0.299129488
TNFAIP2,2079.0,0.44214387,131.0,1.05824,0.974388118
TNFAIP3,1995.0,0.416242917,370.0,1.382223,0.422163881
TNFAIP8L2,497.0,0.440670719,126.0,-1.340881,-0.238233616
TNIP1,770.0,0.448321216,241.0,-1.092385,-0.058200598
TNK2,822.0,0.420245651,543.0,-0.892926,-0.074138855
TNPO2,2070.0,0.408799881,358.0,0.369363,-0.08974983
TNRC18,1316.0,0.449521205,349.0,0.417509,-0.114207207
TOMM5,518.0,0.441712708,107.0,0.761203,-0.493835563
TOP2A,1003.0,0.364102812,159.0,1.832113,0.532828397
TOR1A,3160.0,0.446121485,77.0,-0.017318,0.109515622
TPD52L2,1600.0,0.385071878,138.0,-0.232793,0.045387865
TPI1,620.0,0.479135356,527.0,1.645593,0.490769932
TPM1,757.0,0.403626605,257.0,-0.403996,-0.424981922
TRAF1,7433.0,0.438949906,572.0,-0.855654,0.343400363
TRAF3,5716.0,0.386659664,353.0,-0.664697,0.354378793
TRAF6,6100.0,0.426668941,381.0,-0.429782,0.012753327
TRAPPC3,634.0,0.441060625,519.0,0.25279,0.002241716
TRAPPC5,42.0,0.453352607,241.0,0.174214,0.02219201
TRAPPC6B,2539.0,0.437369008,335.0,-0.699354,0.02169032
TRAPPC9,3079.0,0.431357199,134.0,0.182817,-0.09487573
TRIM11,3522.0,0.453298916,255.0,0.323333,0.223342151
TRIM14,3117.0,0.369225689,165.0,-0.469999,-0.312188431
TRIM22,1215.0,0.424423711,379.0,-1.043219,0.26084593
TRIM26,1431.0,0.384319522,565.0,0.294831,0.39179424
TRIM27,2956.0,0.441704825,359.0,-0.055092,0.643536898
TRIM41,1657.0,0.454716896,737.0,-1.343015,-0.107189433
TRIM5,2312.0,0.426412011,303.0,-0.634046,0.147958153
TRIP12,3739.0,0.40441217,297.0,-0.885998,-0.65899944
TRIP13,2852.0,0.433721983,145.0,1.651664,0.49403784
TRMT5,3660.0,0.405137655,572.0,0.013083,0.253405602
TRUB2,4655.0,0.434714666,759.0,0.18938,-0.132059159
TSFM,1390.0,0.429356434,57.0,0.775119,0.486924991
TSPYL1,7303.0,0.373212405,287.0,0.069929,0.213427847
TSR2,1366.0,0.464925113,443.0,0.226054,0.387206109
TTC39C,3394.0,0.378954091,452.0,0.970951,0.674818326
TTC7A,2213.0,0.393400181,1272.0,0.27319,-0.171505404
TTPAL,5319.0,0.425556123,145.0,-0.106314,0.149549033
TTYH3,3063.0,0.383645273,187.0,0.800368,0.19716583
TUBA1C,110.0,0.451729991,576.0,0.808212,0.210212354
TUBA4A,644.0,0.402818439,556.0,0.421043,-0.319268819
TUBB,1030.0,0.390058461,509.0,0.893666,0.271859201
TUBB6,2302.0,0.468445054,1139.0,1.495721,0.451091368
TUBGCP4,1934.0,0.368175973,296.0,1.116876,0.276381119
TUSC1,1294.0,0.429789613,537.0,0.057076,0.102584835
TXNL4A,3129.0,0.472736328,466.0,0.660175,0.246719219
TYMP,18.0,0.429537249,376.0,-0.040477,-0.064740653
TYMS,581.0,0.364557025,159.0,0.988129,0.144653111
TYROBP,168.0,0.417048036,81.0,-0.945969,-0.394044603
UBAP2L,353.0,0.367068802,167.0,0.898152,0.421889663
UBE2B,4002.0,0.405496028,420.0,-0.135839,0.098216681
UBE2E1,1034.0,0.417917446,229.0,-0.398527,0.249651104
UBE2L3,2365.0,0.455573936,198.0,-0.231601,-0.044263116
UBE2L6,703.0,0.431638779,653.0,-0.245128,0.07970946
UBE4B,1283.0,0.418913915,688.0,0.663216,0.334633248
UBIAD1,2303.0,0.446280173,334.0,-0.035755,-0.511227251
UBR4,797.0,0.387393976,4.0,0.195542,0.055430753
UBTF,2209.0,0.400105612,296.0,-0.065174,-0.039576236
UBXN1,220.0,0.422601268,194.0,-0.805362,0.152671506
UCK2,4043.0,0.447469338,640.0,0.913598,0.641803375
UGGT1,5935.0,0.374564832,178.0,0.412359,-0.188906686
UHRF1BP1,5130.0,0.373569339,234.0,-0.056044,0.108175999
UNC45A,377.0,0.475530537,1022.0,0.057451,-0.231629305
UNG,1024.0,0.368897526,209.0,1.121794,0.434995173
UNK,1388.0,0.447315534,42.0,-0.261552,0.12908882
UQCR11,4379.0,0.470309826,75.0,-0.49365,0.191302651
UQCRC1,129.0,0.462829321,45.0,0.785329,0.221049371
UQCRH,193.0,0.365128489,320.0,1.339218,0.057396398
UROD,171.0,0.391539164,133.0,0.071068,0.228841339
UROS,3849.0,0.422413435,266.0,0.065603,0.005913371
USP18,580.0,0.434940763,338.0,0.553895,-0.100671888
USP39,571.0,0.39295741,223.0,0.353112,0.272080273
UTP6,2466.0,0.429918331,83.0,0.64789,0.423900754
VAC14,489.0,0.396517204,827.0,0.580131,0.074700265
VAMP8,451.0,0.398153421,156.0,0.09615,-0.220107389
VASP,824.0,0.388921088,342.0,-0.413208,-0.095068498
VAT1,1456.0,0.406330787,120.0,0.307546,-0.072170763
VDAC3,475.0,0.440388181,210.0,0.82067,-0.39535295
VDR,3209.0,0.450036866,401.0,-0.795192,-0.604347664
VGLL4,2489.0,0.432812067,506.0,-0.312343,0.330042828
VIM,431.0,0.411136971,462.0,-0.379793,-0.177477459
VPS28,291.0,0.476756313,109.0,-0.304204,-0.093917737
VPS33B,559.0,0.447669729,583.0,0.431282,0.283189904
VPS39,2053.0,0.440628838,173.0,-1.30207,-0.262657773
VPS52,2870.0,0.393546356,887.0,-0.007171,0.116910506
WASF2,4090.0,0.365213822,245.0,0.216737,-0.090402361
WBP2,1040.0,0.392225719,515.0,-0.366807,-0.118791503
WDFY2,7044.0,0.36603015,340.0,-1.019437,0.088336746
WDR1,1039.0,0.393247178,368.0,-0.102621,-0.192791027
WDR36,3619.0,0.40459335,117.0,0.608069,0.239350628
WDR37,8068.0,0.365587877,173.0,0.320293,0.001911113
WDR4,293.0,0.380589271,581.0,0.402163,-0.104522429
WDR47,1216.0,0.402106333,376.0,-0.538696,-0.03900574
WDR48,1924.0,0.419028298,472.0,-0.280401,0.217884232
WDR5,1979.0,0.401607191,171.0,0.438223,0.324774796
WDR54,97.0,0.394793766,128.0,-0.259044,-0.297437734
WDR61,197.0,0.411764619,310.0,0.004903,0.141517095
WDR77,4184.0,0.412330102,139.0,0.350075,0.048099299
WDR91,4946.0,0.380864599,823.0,1.18934,0.38982644
WDR92,2520.0,0.427217839,117.0,0.006657,0.324474056
YTHDF1,1279.0,0.384821843,294.0,-0.022452,-0.088612099
YTHDF3,3082.0,0.406652071,509.0,-0.304186,0.046904085
YY1,5192.0,0.440120149,480.0,-0.210893,0.208079925
ZBED1,2221.0,0.457533868,282.0,-0.686059,0.019347138
ZBTB8OS,1087.0,0.406816332,276.0,-0.049714,-0.030802445
ZC3H12A,768.0,0.421626239,1056.0,-0.618437,-0.099401521
ZC3H4,2169.0,0.436042942,38.0,0.111645,0.284964795
ZCCHC2,2006.0,0.404185753,0.0,0.135771,0.195403158
ZFP36L1,2846.0,0.395541595,976.0,-0.942762,0.265391935
ZMAT2,1942.0,0.460376067,101.0,0.068607,-0.030564683
ZMIZ2,4165.0,0.419562196,128.0,0.182174,-0.043390351
ZMYM3,1292.0,0.378831729,749.0,0.481838,0.54222022
ZNF207,13817.0,0.386696564,148.0,0.130783,0.209788581
ZNF414,113.0,0.422835658,118.0,0.238466,0.153204815
ZNF511,243.0,0.452392726,55.0,0.290297,0.07391679
ZNF516,4816.0,0.393186692,318.0,-1.375538,-0.486284654
ZNF622,1298.0,0.463753859,120.0,-0.109892,0.217681434
ZNHIT2,49.0,0.440612513,85.0,-0.564404,-0.079923432
ZNHIT3,419.0,0.425204303,73.0,0.098399,0.819032714
ZWINT,4585.0,0.411772707,37.0,0.886503,0.300242968
