,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EQ,TCGA-A2-A0EQ.1
SKP1,8791.0,0.433886974,179.0,-0.762376,-0.25497779
SLBP,3046.0,0.391438372,553.0,0.326885,-0.08327392
SLC25A10,1929.0,0.386184273,191.0,1.031984,0.540872318
SLC25A19,477.0,0.386093473,224.0,1.506352,0.717119421
SLC25A20,787.0,0.382641976,199.0,-0.806876,-0.156669642
SLC25A3,504.0,0.383836987,354.0,0.392474,0.435941036
SLC25A40,2688.0,0.363984785,375.0,-0.051901,-0.044203287
SLC25A6,450.0,0.487227384,137.0,0.754001,0.920363837
SLC27A3,163.0,0.439664345,91.0,0.600349,0.518825512
SLC39A10,2661.0,0.346494338,214.0,-0.158194,-0.028679327
SLC44A1,8291.0,0.4365497,264.0,0.410967,-0.020330344
SLC9A3R1,709.0,0.400889529,235.0,-0.355649,-0.472559784
SMAP2,1225.0,0.404145004,415.0,0.768336,0.182325529
SMC1A,5954.0,0.490702048,340.0,0.285227,0.231959713
SMG5,1363.0,0.383248033,540.0,-0.432879,-0.266573141
SMS,2660.0,0.417677888,252.0,1.090407,0.379301642
SMYD3,223.0,0.378821529,130.0,0.911583,-0.316102413
SNRNP200,676.0,0.454045162,132.0,0.103383,0.111497371
SNRPC,474.0,0.427936125,450.0,0.422946,-0.074362082
SNRPD1,4386.0,0.384326147,161.0,0.582599,-0.005290839
SNRPN,279.0,0.390283395,1145.0,0.683804,0.205699235
SNX24,5071.0,0.338464018,185.0,-0.796086,-0.081111205
SNX30,6144.0,0.426743352,148.0,-0.689598,-0.399744187
SNX33,5086.0,0.383330712,96.0,-0.733748,-0.169968119
SOD1,353.0,0.438546885,148.0,1.065997,0.048085712
SOD2,13436.0,0.435065133,1828.0,1.064527,0.519340302
SP110,3922.0,0.401738483,258.0,0.649303,0.267892798
SPC24,1691.0,0.381793277,320.0,2.515741,0.155647246
SPC25,540.0,0.373816265,131.0,1.085937,0.170041235
SPCS1,3333.0,0.417439524,205.0,0.143175,0.766209686
SPI1,383.0,0.406748349,223.0,0.996915,0.341341009
SPRYD4,1406.0,0.430591965,75.0,-0.134655,-0.421096522
SQSTM1,1485.0,0.412192979,360.0,0.462083,-0.538620255
SRC,2671.0,0.437602812,449.0,0.494973,0.472047717
SRGAP2,3018.0,0.377689891,542.0,-0.262764,-0.029692977
SRI,5365.0,0.424260151,79.0,-0.769996,-0.449471877
SRP19,2645.0,0.430943803,189.0,-0.088478,0.096407428
SRPRB,1784.0,0.427990824,285.0,-0.367518,-0.066552252
SRR,1392.0,0.393840903,354.0,0.125927,-0.306680309
SRXN1,2099.0,0.37663928,185.0,1.108111,0.177571348
SS18L2,777.0,0.45997865,208.0,0.309922,-0.270713976
SSH1,5298.0,0.373517564,146.0,-0.243345,-0.09399464
SSH3,2595.0,0.376349937,178.0,-1.208969,-0.825109667
SSR2,592.0,0.425839932,80.0,-0.292516,-0.134486999
SSR3,3698.0,0.388415977,156.0,-0.022113,0.339066208
SSR4,87.0,0.444947593,150.0,1.302714,0.390411146
SSRP1,422.0,0.394601844,267.0,0.772748,0.435677623
SSU72,400.0,0.445120823,325.0,0.010396,0.029805872
ST13,3666.0,0.439823793,468.0,-0.136887,-0.307930592
ST14,553.0,0.454138745,193.0,-0.733387,-1.191540576
STAP1,541.0,0.398288494,113.0,3.448965,1.343609908
STARD10,1682.0,0.427301627,944.0,1.995024,0.590471101
STAT1,3294.0,0.408136156,388.0,1.480943,0.641286523
STAT2,1791.0,0.409862748,203.0,0.03953,0.166123915
STAT6,1168.0,0.380869476,499.0,-0.067388,0.21128301
STMN1,1138.0,0.394107416,364.0,1.446362,0.056570564
STOM,2222.0,0.387137797,117.0,-0.033388,0.25702614
STOML2,531.0,0.456962681,143.0,0.334334,-0.198157591
STX11,4481.0,0.457080677,192.0,1.353044,0.562094693
STX3,5058.0,0.403902965,547.0,0.597407,0.493517762
STX7,14891.0,0.417568039,327.0,0.151019,0.17596132
STX8,107.0,0.378438911,150.0,0.230316,0.137685742
SUCLG1,223.0,0.43877655,193.0,-0.013959,-0.000312396
SUFU,3380.0,0.361614756,191.0,0.730531,0.115402266
SUMF1,999.0,0.37076871,37.0,-0.861712,-0.195404642
SUPT4H1,1112.0,0.438747077,103.0,0.675144,0.334342399
SURF2,1720.0,0.440503417,48.0,0.521407,-0.139455639
SURF4,2281.0,0.385472445,476.0,0.496756,0.223619088
SURF6,4908.0,0.42467207,78.0,0.171987,0.518980197
SVIP,4195.0,0.357937352,217.0,0.483937,-0.178168751
SYTL1,80.0,0.364244725,197.0,0.415981,0.353477127
TACC3,165.0,0.385699108,155.0,0.957372,0.139863818
TAF12,689.0,0.435926756,522.0,0.046768,0.399641121
TAP2,5256.0,0.374969764,175.0,1.423861,0.616462669
TATDN2,2040.0,0.415810908,581.0,-0.2819,0.01317066
TBC1D20,3109.0,0.435441414,148.0,0.43238,0.067242824
TBC1D9B,1396.0,0.395340616,37.0,-0.30788,-0.101651407
TBCC,556.0,0.434161456,73.0,0.022421,0.195071902
TCEAL3,260.0,0.368171822,262.0,0.469808,-0.483416499
TCEAL4,3020.0,0.432120515,489.0,0.73038,-0.270166469
TCOF1,1640.0,0.41523122,108.0,0.102454,-0.09643589
TDP1,1721.0,0.418036689,317.0,-0.336217,0.008792964
TDRD7,242.0,0.375852104,234.0,-0.22655,0.014831393
TDRKH,973.0,0.419795099,182.0,-1.082996,-0.3211817
TEP1,2777.0,0.379550228,40.0,0.83137,0.240175248
TFE3,1431.0,0.379068139,541.0,0.148606,-0.581985064
TFEB,621.0,0.429366592,302.0,0.443256,-0.118009688
THADA,112.0,0.415199561,352.0,-0.368261,-0.002067625
THUMPD1,2715.0,0.455087735,225.0,-0.254181,0.012649258
THYN1,205.0,0.377954149,484.0,-0.480954,-0.07813254
TIMM50,3932.0,0.424829064,722.0,0.872052,0.308311994
TIMM8B,2046.0,0.447942532,30.0,0.367603,0.180382779
TK2,3965.0,0.360054507,593.0,-0.219554,-0.091916616
TLE1,571.0,0.374791795,1295.0,-0.197822,-0.220523969
TM9SF2,2020.0,0.372522209,233.0,-0.039723,0.128808525
TMED3,1710.0,0.439016102,188.0,-0.650333,-0.243182785
TMED9,708.0,0.44685712,67.0,0.126791,0.465389095
TMEM126A,52.0,0.406087664,295.0,-0.45533,-0.123166196
TMEM199,2431.0,0.370998168,90.0,0.781026,-0.726910046
TMEM63A,1407.0,0.385482014,622.0,0.650786,0.289772889
TMOD1,2050.0,0.392927141,213.0,0.233828,-0.993911171
TMSB10,278.0,0.470652003,95.0,1.318077,-0.05427518
TNFAIP2,2079.0,0.44214387,131.0,-0.086794,-0.207391563
TNFAIP3,1995.0,0.416242917,370.0,1.131401,0.034452671
TNFAIP8L2,497.0,0.440670719,126.0,1.65895,0.176800438
TNIP1,770.0,0.448321216,241.0,0.109933,-0.008724196
TNK2,822.0,0.420245651,543.0,-0.983369,-0.687614406
TNPO2,2070.0,0.408799881,358.0,0.572717,0.058551242
TNRC18,1316.0,0.449521205,349.0,0.048274,0.103169479
TOMM5,518.0,0.441712708,107.0,0.615864,0.760170844
TOMM6,1957.0,0.431553434,255.0,0.284536,0.098642029
TOP2A,1003.0,0.364102812,159.0,1.517168,0.384891135
TOR1A,3160.0,0.446121485,77.0,0.256609,0.24653262
TPD52L2,1600.0,0.385071878,138.0,-0.146347,-0.315205541
TPI1,620.0,0.479135356,527.0,0.39285,0.109147274
TPM1,757.0,0.403626605,257.0,-2.074293,-1.117780919
TRAF1,7433.0,0.438949906,572.0,2.081433,0.796890006
TRAF3,5716.0,0.386659664,353.0,0.146406,-0.401801756
TRAF6,6100.0,0.426668941,381.0,-0.029535,0.198853885
TRAPPC3,634.0,0.441060625,519.0,0.13275,0.170528218
TRAPPC5,42.0,0.453352607,241.0,0.172322,0.294460562
TRAPPC6B,2539.0,0.437369008,335.0,-0.768717,-0.061917872
TRAPPC9,3079.0,0.431357199,134.0,0.669168,0.357718323
TRIM11,3522.0,0.453298916,255.0,0.309936,0.623581305
TRIM13,5308.0,0.419190719,763.0,-0.1442,0.212867531
TRIM14,3117.0,0.369225689,165.0,0.014767,-0.011559705
TRIM22,1215.0,0.424423711,379.0,0.449201,0.292126755
TRIM26,1431.0,0.384319522,565.0,0.521284,0.286952839
TRIM27,2956.0,0.441704825,359.0,-0.236819,-0.139407203
TRIM41,1657.0,0.454716896,737.0,-0.62111,-0.151777461
TRIM5,2312.0,0.426412011,303.0,-0.102528,0.126872428
TRIP12,3739.0,0.40441217,297.0,-0.166517,0.338966971
TRIP13,2852.0,0.433721983,145.0,1.181364,0.084325595
TRMT5,3660.0,0.405137655,572.0,-0.666644,-0.151594466
TRUB2,4655.0,0.434714666,759.0,0.896032,0.086717709
TSFM,1390.0,0.429356434,57.0,0.436581,0.107491538
TSPAN14,15147.0,0.398868986,305.0,0.799273,0.928734268
TSPYL1,7303.0,0.373212405,287.0,0.131749,-0.337295367
TSR2,1366.0,0.464925113,443.0,0.288923,0.133258647
TTC39C,3394.0,0.378954091,452.0,0.403786,0.314932838
TTC7A,2213.0,0.393400181,1272.0,0.085723,-0.04615632
TTPAL,5319.0,0.425556123,145.0,-0.315853,-0.292383083
TUBA1C,110.0,0.451729991,576.0,1.09462,-0.297641795
TUBA4A,644.0,0.402818439,556.0,0.030019,0.050823888
TUBB,1030.0,0.390058461,509.0,0.770959,-0.11769969
TUBB6,2302.0,0.468445054,1139.0,-0.468013,-0.204262228
TUBGCP4,1934.0,0.368175973,296.0,-0.22095,0.247013967
TUSC1,1294.0,0.429789613,537.0,-0.882385,-0.425731098
TXNL4A,3129.0,0.472736328,466.0,1.167458,0.205384445
TYMP,18.0,0.429537249,376.0,0.664905,0.119163805
TYMS,581.0,0.364557025,159.0,2.126682,0.383555497
UBAP2L,353.0,0.367068802,167.0,-0.675134,-0.522298264
UBE2B,4002.0,0.405496028,420.0,-0.409777,-0.499864886
UBE2E1,1034.0,0.417917446,229.0,0.102673,-0.036440168
UBE2L3,2365.0,0.455573936,198.0,0.189268,-0.134930863
UBE2L6,703.0,0.431638779,653.0,0.848865,-0.097731088
UBE4B,1283.0,0.418913915,688.0,0.174016,0.173690782
UBR4,797.0,0.387393976,4.0,-0.446204,0.084960641
UBTF,2209.0,0.400105612,296.0,-0.017477,0.082718207
UBXN1,220.0,0.422601268,194.0,0.434207,0.153453963
UCK2,4043.0,0.447469338,640.0,-0.092448,-0.208611667
UGGT1,5935.0,0.374564832,178.0,-0.297407,0.131969573
UHRF1BP1,5130.0,0.373569339,234.0,0.018738,0.006133539
UNC45A,377.0,0.475530537,1022.0,-0.333841,-0.238744359
UNG,1024.0,0.368897526,209.0,0.426655,0.159872859
UNK,1388.0,0.447315534,42.0,0.912006,0.078163583
UQCR11,4379.0,0.470309826,75.0,0.866893,-0.308834857
UQCRC1,129.0,0.462829321,45.0,0.384952,0.225824361
UQCRH,193.0,0.365128489,320.0,1.07995,0.038258048
UROD,171.0,0.391539164,133.0,-0.091073,-0.082771818
UROS,3849.0,0.422413435,266.0,0.325781,-0.093089036
USP18,580.0,0.434940763,338.0,0.718976,-0.201643843
USP39,571.0,0.39295741,223.0,0.427841,-0.003839144
UTP6,2466.0,0.429918331,83.0,0.549139,0.266667042
VAC14,489.0,0.396517204,827.0,0.32862,0.209953644
VAMP8,451.0,0.398153421,156.0,0.04202,0.222892499
VASP,824.0,0.388921088,342.0,0.214612,0.148928238
VAT1,1456.0,0.406330787,120.0,0.280808,-0.240061572
VDAC3,475.0,0.440388181,210.0,0.021329,0.503873732
VDR,3209.0,0.450036866,401.0,0.966134,0.421416736
VGLL4,2489.0,0.432812067,506.0,-0.072208,0.125289625
VIM,431.0,0.411136971,462.0,0.218313,-0.168813109
VPS28,291.0,0.476756313,109.0,0.34857,-0.17745899
VPS33B,559.0,0.447669729,583.0,-0.258035,0.020848532
VPS39,2053.0,0.440628838,173.0,-0.335531,0.051338311
VPS52,2870.0,0.393546356,887.0,-0.384007,0.086207469
WASF2,4090.0,0.365213822,245.0,-0.104641,0.200062813
WBP2,1040.0,0.392225719,515.0,0.271443,-0.256135137
WDFY2,7044.0,0.36603015,340.0,0.567608,-0.044162855
WDR1,1039.0,0.393247178,368.0,0.167499,-0.014080231
WDR36,3619.0,0.40459335,117.0,-0.172627,0.134363321
WDR37,8068.0,0.365587877,173.0,0.083222,0.024799118
WDR4,293.0,0.380589271,581.0,1.547719,0.366812977
WDR47,1216.0,0.402106333,376.0,-0.516898,-0.028362413
WDR48,1924.0,0.419028298,472.0,-1.509676,-0.619016855
WDR5,1979.0,0.401607191,171.0,0.541195,0.334564994
WDR54,97.0,0.394793766,128.0,0.151683,-0.124760251
WDR61,197.0,0.411764619,310.0,-0.52254,-0.123489756
WDR77,4184.0,0.412330102,139.0,0.105742,-0.141788654
WDR91,4946.0,0.380864599,823.0,-1.20792,-0.285233594
WDR92,2520.0,0.427217839,117.0,0.289158,-0.006082522
YTHDF1,1279.0,0.384821843,294.0,-0.093018,-0.229945251
YTHDF3,3082.0,0.406652071,509.0,0.473897,0.272757076
YY1,5192.0,0.440120149,480.0,-0.569679,-0.013186518
ZBED1,2221.0,0.457533868,282.0,-0.38266,-0.01121851
ZBTB8OS,1087.0,0.406816332,276.0,0.503384,0.140455432
ZC3H12A,768.0,0.421626239,1056.0,-0.821306,0.048082185
ZC3H4,2169.0,0.436042942,38.0,0.359422,0.073847261
ZFP36L1,2846.0,0.395541595,976.0,-0.624428,-0.131635148
ZMAT2,1942.0,0.460376067,101.0,-0.3799,0.073301166
ZMIZ2,4165.0,0.419562196,128.0,0.286447,0.412912112
ZMYM3,1292.0,0.378831729,749.0,-0.459973,-0.287458845
ZNF207,13817.0,0.386696564,148.0,0.62621,-0.008171927
ZNF414,113.0,0.422835658,118.0,0.278552,0.273568741
ZNF511,243.0,0.452392726,55.0,0.932125,-0.248523251
ZNF516,4816.0,0.393186692,318.0,-0.993553,-0.420264584
ZNF622,1298.0,0.463753859,120.0,0.21086,0.237632613
ZNHIT2,49.0,0.440612513,85.0,-0.957256,-0.319371103
ZNHIT3,419.0,0.425204303,73.0,0.393991,-0.510316485
ZWINT,4585.0,0.411772707,37.0,1.57011,0.155451711
