,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EV,TCGA-A2-A0EV.1
SF3B2,563.0,0.453902675,40.0,0.138978,-0.108319016
SFXN4,500.0,0.402513841,45.0,-0.394639,-0.060399393
SH3BP1,433.0,0.395530944,313.0,-0.066004,0.470423197
SH3PXD2B,4870.0,0.420952884,171.0,0.947751,0.198600439
SHMT1,4335.0,0.394510245,509.0,0.151841,0.614547388
SIGLEC1,1590.0,0.42099348,0.0,0.797092,0.726422829
SIPA1,2933.0,0.437718847,296.0,-0.240244,0.272127201
SIRPA,3027.0,0.429235057,360.0,0.000326,0.457364366
SKP1,8791.0,0.433886974,179.0,0.576732,-0.25991585
SLBP,3046.0,0.391438372,553.0,-0.216951,-0.660639132
SLC25A10,1929.0,0.386184273,191.0,0.112533,0.111160539
SLC25A19,477.0,0.386093473,224.0,0.474652,-0.739231891
SLC25A20,787.0,0.382641976,199.0,0.428359,0.360718016
SLC25A3,504.0,0.383836987,354.0,0.259284,-0.564629018
SLC25A6,450.0,0.487227384,137.0,-0.708465,-0.918905136
SLC27A3,163.0,0.439664345,91.0,0.480941,0.351289863
SLC39A10,2661.0,0.346494338,214.0,0.125826,0.386122682
SLC44A1,8291.0,0.4365497,264.0,0.089091,-0.136725478
SLC9A3R1,709.0,0.400889529,235.0,1.962157,-0.367988344
SMAP2,1225.0,0.404145004,415.0,0.444407,0.355173845
SMC1A,5954.0,0.490702048,340.0,0.241013,-0.401763259
SMG5,1363.0,0.383248033,540.0,0.261973,0.215206533
SMS,2660.0,0.417677888,252.0,0.348743,-0.075330185
SMYD3,223.0,0.378821529,130.0,0.530955,0.043815305
SNRNP200,676.0,0.454045162,132.0,0.019187,-0.14388883
SNRPC,474.0,0.427936125,450.0,0.280647,-0.126368104
SNRPD1,4386.0,0.384326147,161.0,-0.797617,0.271664975
SNRPN,279.0,0.390283395,1145.0,0.431709,-0.05753689
SNX24,5071.0,0.338464018,185.0,1.124502,0.038955354
SNX30,6144.0,0.426743352,148.0,0.243822,0.307038263
SNX33,5086.0,0.383330712,96.0,0.172388,0.778566617
SOD1,353.0,0.438546885,148.0,0.181974,-0.182846801
SOD2,13436.0,0.435065133,1828.0,0.27559,0.831372046
SP110,3922.0,0.401738483,258.0,0.035866,-0.101515829
SPC24,1691.0,0.381793277,320.0,-0.076997,-0.531654977
SPC25,540.0,0.373816265,131.0,-0.359675,-0.110862032
SPCS1,3333.0,0.417439524,205.0,0.173723,-0.409535643
SPI1,383.0,0.406748349,223.0,0.149236,0.445595415
SPRYD4,1406.0,0.430591965,75.0,-0.223517,-0.135237631
SQSTM1,1485.0,0.412192979,360.0,1.430732,0.534059428
SRC,2671.0,0.437602812,449.0,0.026588,-0.117716373
SRGAP2,3018.0,0.377689891,542.0,0.0652,0.342383953
SRI,5365.0,0.424260151,79.0,0.325955,0.278008685
SRP19,2645.0,0.430943803,189.0,0.088348,-0.145275526
SRPRB,1784.0,0.427990824,285.0,-0.132746,-0.146786736
SRR,1392.0,0.393840903,354.0,-1.794777,0.042425907
SRXN1,2099.0,0.37663928,185.0,-0.074494,0.114836351
SS18L2,777.0,0.45997865,208.0,-0.513902,-0.659203562
SSH1,5298.0,0.373517564,146.0,0.035684,0.353313038
SSH3,2595.0,0.376349937,178.0,-0.222209,-0.139786368
SSR2,592.0,0.425839932,80.0,-0.047179,-1.386539336
SSR3,3698.0,0.388415977,156.0,-0.060738,-1.326459117
SSR4,87.0,0.444947593,150.0,-0.380002,-0.368052885
SSRP1,422.0,0.394601844,267.0,0.11158,-0.236623771
SSU72,400.0,0.445120823,325.0,-0.195376,-0.28226642
ST13,3666.0,0.439823793,468.0,0.046944,-0.247693259
ST14,553.0,0.454138745,193.0,0.595293,-0.073383048
ST3GAL4,594.0,0.39537481,557.0,0.195394,-0.431158374
STAP1,541.0,0.398288494,113.0,0.874118,-0.51015976
STARD10,1682.0,0.427301627,944.0,0.323588,-0.411256305
STAT1,3294.0,0.408136156,388.0,0.553983,0.310340432
STAT2,1791.0,0.409862748,203.0,0.301677,0.567459227
STAT6,1168.0,0.380869476,499.0,0.469589,0.421270641
STMN1,1138.0,0.394107416,364.0,-0.18291,-0.933670683
STOM,2222.0,0.387137797,117.0,-0.31333,0.411742865
STOML2,531.0,0.456962681,143.0,-0.101094,-0.552435115
STX11,4481.0,0.457080677,192.0,0.833351,1.380532133
STX3,5058.0,0.403902965,547.0,0.145773,-1.34000468
STX7,14891.0,0.417568039,327.0,-0.048951,0.158897856
STX8,107.0,0.378438911,150.0,-0.060616,0.486808657
SUCLG1,223.0,0.43877655,193.0,-0.289137,-0.199733969
SUFU,3380.0,0.361614756,191.0,0.143931,0.192939804
SUMF1,999.0,0.37076871,37.0,-0.300032,0.249809746
SUPT4H1,1112.0,0.438747077,103.0,0.560381,0.20585072
SURF2,1720.0,0.440503417,48.0,0.12744,0.201385711
SURF4,2281.0,0.385472445,476.0,-0.007148,-0.299800078
SURF6,4908.0,0.42467207,78.0,-0.36319,-0.699144106
SVIP,4195.0,0.357937352,217.0,0.597573,-0.225317376
SYTL1,80.0,0.364244725,197.0,-0.631557,-0.004012802
TACC3,165.0,0.385699108,155.0,-0.05106,-0.439976904
TADA2B,3064.0,0.464060586,151.0,0.066133,-0.3106374
TAF12,689.0,0.435926756,522.0,0.656814,0.317467097
TAP2,5256.0,0.374969764,175.0,0.300955,-0.239613325
TBC1D20,3109.0,0.435441414,148.0,-0.228991,-1.407802957
TBC1D9B,1396.0,0.395340616,37.0,0.320911,0.196095966
TBCC,556.0,0.434161456,73.0,0.470639,0.394489082
TCEAL3,260.0,0.368171822,262.0,1.42232,-0.8913655
TCEAL4,3020.0,0.432120515,489.0,1.863508,-0.845303205
TCOF1,1640.0,0.41523122,108.0,-0.077527,-0.87809184
TDP1,1721.0,0.418036689,317.0,-0.318232,-0.044284531
TDRD7,242.0,0.375852104,234.0,0.222562,0.326848634
TDRKH,973.0,0.419795099,182.0,0.763711,0.27879014
TEP1,2777.0,0.379550228,40.0,-0.149926,0.295023845
TFE3,1431.0,0.379068139,541.0,0.118944,0.22094513
TFEB,621.0,0.429366592,302.0,0.508857,0.117468879
THADA,112.0,0.415199561,352.0,-0.610188,-0.035848886
THBD,2144.0,0.448063145,160.0,-0.362445,-0.921716032
THUMPD1,2715.0,0.455087735,225.0,0.002779,-0.129597042
THYN1,205.0,0.377954149,484.0,0.009116,-0.232611724
TIMM50,3932.0,0.424829064,722.0,-0.050107,-0.227642179
TIMM8B,2046.0,0.447942532,30.0,-0.072969,-0.102355278
TK2,3965.0,0.360054507,593.0,-0.031993,-0.143492025
TLE1,571.0,0.374791795,1295.0,0.134961,-0.769517755
TM9SF2,2020.0,0.372522209,233.0,-0.311994,-0.714741698
TMED3,1710.0,0.439016102,188.0,-0.228974,-0.828077918
TMED9,708.0,0.44685712,67.0,0.489564,0.204873422
TMEM126A,52.0,0.406087664,295.0,0.110151,0.36587185
TMEM199,2431.0,0.370998168,90.0,0.582081,-0.735025397
TMEM63A,1407.0,0.385482014,622.0,-0.112811,-0.980955902
TMOD1,2050.0,0.392927141,213.0,-0.494204,0.631043679
TMSB10,278.0,0.470652003,95.0,0.138706,0.497467199
TNFAIP2,2079.0,0.44214387,131.0,0.70095,-0.029772392
TNFAIP3,1995.0,0.416242917,370.0,0.099278,0.090418011
TNFAIP8L2,497.0,0.440670719,126.0,0.258522,0.639956098
TNIP1,770.0,0.448321216,241.0,0.382699,-0.150555576
TNK2,822.0,0.420245651,543.0,-0.353512,-0.118505125
TNPO2,2070.0,0.408799881,358.0,-0.425864,-0.267806892
TNRC18,1316.0,0.449521205,349.0,-0.41498,-0.218825687
TOMM5,518.0,0.441712708,107.0,-0.316862,-1.763075673
TOMM6,1957.0,0.431553434,255.0,-0.057611,-0.457260182
TOP2A,1003.0,0.364102812,159.0,0.819743,-0.580292121
TOR1A,3160.0,0.446121485,77.0,-0.046956,0.227042265
TPD52L2,1600.0,0.385071878,138.0,-0.149497,0.228453711
TPI1,620.0,0.479135356,527.0,-0.420121,-0.023557824
TPM1,757.0,0.403626605,257.0,-0.009737,0.233416222
TRAF1,7433.0,0.438949906,572.0,-0.176827,0.699750048
TRAF3,5716.0,0.386659664,353.0,0.170195,0.114107605
TRAF6,6100.0,0.426668941,381.0,-0.173264,0.3944634
TRAPPC3,634.0,0.441060625,519.0,-0.095421,0.027181679
TRAPPC5,42.0,0.453352607,241.0,0.109285,-0.233904965
TRAPPC6B,2539.0,0.437369008,335.0,-0.587456,0.300935507
TRAPPC9,3079.0,0.431357199,134.0,-0.022182,0.271072187
TRIM11,3522.0,0.453298916,255.0,-0.026712,-0.033710462
TRIM13,5308.0,0.419190719,763.0,-0.108837,-0.904727821
TRIM14,3117.0,0.369225689,165.0,0.284754,0.495859379
TRIM22,1215.0,0.424423711,379.0,0.165672,0.444842427
TRIM26,1431.0,0.384319522,565.0,0.530745,0.168089634
TRIM27,2956.0,0.441704825,359.0,-0.003741,0.215862285
TRIM41,1657.0,0.454716896,737.0,0.438999,-0.371376971
TRIM5,2312.0,0.426412011,303.0,0.526922,0.155171151
TRIP12,3739.0,0.40441217,297.0,0.239377,0.149431489
TRIP13,2852.0,0.433721983,145.0,-0.751745,-0.470266693
TRMT5,3660.0,0.405137655,572.0,-0.047766,-0.243085406
TRUB2,4655.0,0.434714666,759.0,-0.535054,-0.223032211
TSFM,1390.0,0.429356434,57.0,-0.491369,-0.35871954
TSPAN14,15147.0,0.398868986,305.0,-0.426013,-0.320999236
TSPYL1,7303.0,0.373212405,287.0,0.671494,-0.319506442
TSR2,1366.0,0.464925113,443.0,0.347759,-0.036802686
TTC39C,3394.0,0.378954091,452.0,0.377935,0.212469749
TTC7A,2213.0,0.393400181,1272.0,0.13368,0.296818053
TTPAL,5319.0,0.425556123,145.0,0.569078,-0.047205102
TUBA1C,110.0,0.451729991,576.0,0.586112,0.305234239
TUBA4A,644.0,0.402818439,556.0,-0.911899,0.270346222
TUBB,1030.0,0.390058461,509.0,0.393323,0.100251468
TUBB6,2302.0,0.468445054,1139.0,-0.347644,1.105390699
TUBGCP4,1934.0,0.368175973,296.0,-0.095588,0.041159602
TUSC1,1294.0,0.429789613,537.0,-0.48014,-1.228687697
TXNL4A,3129.0,0.472736328,466.0,-0.635497,-0.05928398
TYMP,18.0,0.429537249,376.0,0.432873,0.24540849
TYMS,581.0,0.364557025,159.0,-0.501592,-0.780368843
TYROBP,168.0,0.417048036,81.0,0.252918,0.693508555
UBAP2L,353.0,0.367068802,167.0,0.288248,-0.328334355
UBE2B,4002.0,0.405496028,420.0,0.434385,0.366658767
UBE2E1,1034.0,0.417917446,229.0,-0.320169,-0.95367736
UBE2E2,1962.0,0.352966355,180.0,-0.767259,-2.621866547
UBE2L3,2365.0,0.455573936,198.0,-0.003021,0.066310129
UBE2L6,703.0,0.431638779,653.0,0.351716,0.049961645
UBE4B,1283.0,0.418913915,688.0,0.082267,0.080268693
UBIAD1,2303.0,0.446280173,334.0,-0.073795,-0.089126225
UBR4,797.0,0.387393976,4.0,0.14329,-0.024799867
UBTF,2209.0,0.400105612,296.0,0.690313,-0.19475143
UBXN1,220.0,0.422601268,194.0,0.51189,-0.092946495
UCK2,4043.0,0.447469338,640.0,-0.579247,-0.056076006
UGGT1,5935.0,0.374564832,178.0,0.158594,0.105084946
UHRF1BP1,5130.0,0.373569339,234.0,0.813448,-0.266386206
UNC45A,377.0,0.475530537,1022.0,0.085983,-0.231266877
UNG,1024.0,0.368897526,209.0,-0.237189,-0.382369816
UNK,1388.0,0.447315534,42.0,0.636271,-0.592647477
UQCR11,4379.0,0.470309826,75.0,-0.565027,0.10518277
UQCRC1,129.0,0.462829321,45.0,0.400271,0.239103535
UQCRH,193.0,0.365128489,320.0,-0.168408,-0.042747649
UROD,171.0,0.391539164,133.0,-0.049338,0.392827965
UROS,3849.0,0.422413435,266.0,0.239161,0.256417129
USP18,580.0,0.434940763,338.0,0.589678,-0.518616891
USP39,571.0,0.39295741,223.0,-0.3329,-0.363219326
UTP6,2466.0,0.429918331,83.0,0.789305,0.057606814
VAC14,489.0,0.396517204,827.0,-0.002028,0.390691866
VAMP8,451.0,0.398153421,156.0,0.420899,-0.584655007
VASP,824.0,0.388921088,342.0,-0.269819,-0.07127784
VAT1,1456.0,0.406330787,120.0,0.637125,0.557719261
VDAC3,475.0,0.440388181,210.0,0.276936,0.336420398
VDR,3209.0,0.450036866,401.0,0.081826,-0.363491293
VGLL4,2489.0,0.432812067,506.0,0.018923,-0.584931826
VIM,431.0,0.411136971,462.0,0.042181,0.492174547
VLDLR,6202.0,0.388727284,416.0,-0.799057,0.605386259
VPS28,291.0,0.476756313,109.0,-0.392424,0.0117431
VPS33B,559.0,0.447669729,583.0,0.536039,0.256109097
VPS39,2053.0,0.440628838,173.0,0.319931,0.606391434
VPS52,2870.0,0.393546356,887.0,0.332691,0.283351154
WASF2,4090.0,0.365213822,245.0,0.191515,0.016505489
WBP2,1040.0,0.392225719,515.0,0.999442,0.565941801
WDFY2,7044.0,0.36603015,340.0,-0.165726,0.048208522
WDR1,1039.0,0.393247178,368.0,0.077301,0.094071693
WDR36,3619.0,0.40459335,117.0,0.474769,-0.032918026
WDR37,8068.0,0.365587877,173.0,0.27229,0.193611546
WDR4,293.0,0.380589271,581.0,-0.187139,-0.434563906
WDR47,1216.0,0.402106333,376.0,0.255388,0.564400856
WDR48,1924.0,0.419028298,472.0,-0.213952,0.306757743
WDR5,1979.0,0.401607191,171.0,-0.406096,0.144620986
WDR54,97.0,0.394793766,128.0,0.565122,0.465422866
WDR61,197.0,0.411764619,310.0,0.557857,0.260222665
WDR77,4184.0,0.412330102,139.0,-0.004325,0.237566632
WDR91,4946.0,0.380864599,823.0,0.477443,0.471565212
WDR92,2520.0,0.427217839,117.0,-0.055422,0.278777871
YTHDF1,1279.0,0.384821843,294.0,0.506768,-0.48636414
YTHDF3,3082.0,0.406652071,509.0,-0.035584,-0.44319121
YY1,5192.0,0.440120149,480.0,0.030201,-1.184019372
ZBED1,2221.0,0.457533868,282.0,0.10527,0.191690283
ZBTB8OS,1087.0,0.406816332,276.0,-0.188745,-0.514670196
ZC3H12A,768.0,0.421626239,1056.0,-0.031661,0.15310454
ZC3H4,2169.0,0.436042942,38.0,-0.154727,-0.740487267
ZCCHC10,81.0,0.361883573,67.0,0.452357,0.176935948
ZCCHC2,2006.0,0.404185753,0.0,-0.729202,-0.646688662
ZFP36L1,2846.0,0.395541595,976.0,0.359666,-0.205785595
ZMAT2,1942.0,0.460376067,101.0,0.875381,-1.15466242
ZMIZ2,4165.0,0.419562196,128.0,0.691965,0.433530371
ZMYM3,1292.0,0.378831729,749.0,0.314759,0.092182816
ZNF207,13817.0,0.386696564,148.0,0.651649,-0.149071663
ZNF414,113.0,0.422835658,118.0,-0.807929,-0.994441983
ZNF511,243.0,0.452392726,55.0,-0.334839,0.341207396
ZNF516,4816.0,0.393186692,318.0,0.446311,-0.8531275
ZNF622,1298.0,0.463753859,120.0,0.312241,-0.218552278
ZNHIT2,49.0,0.440612513,85.0,-0.954194,-0.542096317
ZNHIT3,419.0,0.425204303,73.0,0.798076,-0.655253464
ZWINT,4585.0,0.411772707,37.0,-0.042291,-0.280532851
