,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YM,TCGA-A2-A0YM.1
SP110,3922.0,0.401738483,258.0,-0.078411,-0.148115887
SPC24,1691.0,0.381793277,320.0,1.490749,0.132037023
SPC25,540.0,0.373816265,131.0,1.550871,-0.269782047
SPCS1,3333.0,0.417439524,205.0,-1.004864,-0.093130472
SPI1,383.0,0.406748349,223.0,0.846741,0.988041797
SPRYD4,1406.0,0.430591965,75.0,-0.642995,-0.303457847
SQSTM1,1485.0,0.412192979,360.0,-1.273355,-0.632380545
SRC,2671.0,0.437602812,449.0,0.562814,0.025463174
SRGAP2,3018.0,0.377689891,542.0,0.342712,0.289329984
SRI,5365.0,0.424260151,79.0,-0.794785,-0.061394217
SRP19,2645.0,0.430943803,189.0,-0.85507,-0.010855074
SRPRB,1784.0,0.427990824,285.0,-0.280932,-0.487489365
SRR,1392.0,0.393840903,354.0,-1.208074,0.723817361
SRXN1,2099.0,0.37663928,185.0,-0.370484,0.207998439
SSH1,5298.0,0.373517564,146.0,0.156356,0.592522404
SSH3,2595.0,0.376349937,178.0,-1.375316,-0.376414987
SSR2,592.0,0.425839932,80.0,-0.014974,0.791064176
SSR4,87.0,0.444947593,150.0,-0.876637,-0.125899874
SSRP1,422.0,0.394601844,267.0,1.036224,-0.883025447
SSU72,400.0,0.445120823,325.0,-0.517993,-0.210277882
ST13,3666.0,0.439823793,468.0,-0.686661,-0.174818888
ST14,553.0,0.454138745,193.0,1.348212,-0.166860446
ST3GAL4,594.0,0.39537481,557.0,-0.708929,-0.873503516
STARD10,1682.0,0.427301627,944.0,-2.005078,-1.378585101
STAT1,3294.0,0.408136156,388.0,1.167965,-0.597118598
STAT2,1791.0,0.409862748,203.0,0.308111,0.203633941
STAT6,1168.0,0.380869476,499.0,-0.360686,0.522255871
STMN1,1138.0,0.394107416,364.0,2.212965,-0.491206531
STOM,2222.0,0.387137797,117.0,-1.851441,0.650815865
STOML2,531.0,0.456962681,143.0,1.518317,-0.23453984
STX11,4481.0,0.457080677,192.0,0.521868,-0.095851708
STX3,5058.0,0.403902965,547.0,0.326594,0.1849561
STX7,14891.0,0.417568039,327.0,0.167278,0.451717392
STX8,107.0,0.378438911,150.0,-0.234743,-0.317959809
SUCLG1,223.0,0.43877655,193.0,-0.658056,0.449788942
SUFU,3380.0,0.361614756,191.0,-0.229042,0.399023436
SUMF1,999.0,0.37076871,37.0,-0.212486,0.629304826
SUPT4H1,1112.0,0.438747077,103.0,0.087879,-0.476791892
SURF2,1720.0,0.440503417,48.0,0.345067,-0.000816104
SURF4,2281.0,0.385472445,476.0,0.268717,-0.082581057
SURF6,4908.0,0.42467207,78.0,0.017186,-0.322486718
SYTL1,80.0,0.364244725,197.0,-1.26086,-0.860017571
TACC3,165.0,0.385699108,155.0,1.401112,0.08507726
TADA2B,3064.0,0.464060586,151.0,-0.753166,0.793040056
TAP2,5256.0,0.374969764,175.0,1.623269,-0.456883177
TATDN2,2040.0,0.415810908,581.0,0.434984,-0.287421659
TBC1D20,3109.0,0.435441414,148.0,-0.615616,0.691361858
TBC1D9B,1396.0,0.395340616,37.0,-0.61697,0.151726419
TBCC,556.0,0.434161456,73.0,0.381647,-0.288692264
TCEAL3,260.0,0.368171822,262.0,-1.428007,0.055382528
TCEAL4,3020.0,0.432120515,489.0,-1.336524,0.060369747
TCOF1,1640.0,0.41523122,108.0,0.975589,-0.218878288
TDP1,1721.0,0.418036689,317.0,0.790421,-0.29158647
TDRD7,242.0,0.375852104,234.0,0.908763,0.139867922
TDRKH,973.0,0.419795099,182.0,-0.569298,0.424159099
TEP1,2777.0,0.379550228,40.0,0.131189,0.256308025
TFE3,1431.0,0.379068139,541.0,-0.857339,-0.407786796
TFEB,621.0,0.429366592,302.0,-0.137736,0.332726763
THADA,112.0,0.415199561,352.0,-0.854698,-0.418208186
THBD,2144.0,0.448063145,160.0,-0.257482,0.314136484
THUMPD1,2715.0,0.455087735,225.0,-0.456802,-0.608840325
THYN1,205.0,0.377954149,484.0,-0.935918,0.182678434
TIMM50,3932.0,0.424829064,722.0,0.120828,-0.296343655
TIMM8B,2046.0,0.447942532,30.0,-0.883299,0.477703309
TK2,3965.0,0.360054507,593.0,-1.105594,1.457949327
TLE1,571.0,0.374791795,1295.0,1.117183,0.574022451
TM9SF2,2020.0,0.372522209,233.0,0.385899,-1.352548784
TMED3,1710.0,0.439016102,188.0,-0.852552,-0.052150972
TMED9,708.0,0.44685712,67.0,-0.618995,-0.266153076
TMEM126A,52.0,0.406087664,295.0,-1.553754,0.124659342
TMEM199,2431.0,0.370998168,90.0,-0.134823,-0.415653925
TMEM63A,1407.0,0.385482014,622.0,-0.122868,-0.843302368
TMOD1,2050.0,0.392927141,213.0,-0.245099,1.20962622
TMSB10,278.0,0.470652003,95.0,0.495099,0.728510621
TNFAIP2,2079.0,0.44214387,131.0,1.28562,0.177994936
TNFAIP3,1995.0,0.416242917,370.0,1.694444,3.463672466
TNFAIP8L2,497.0,0.440670719,126.0,0.141695,0.549173266
TNIP1,770.0,0.448321216,241.0,0.467178,0.141168977
TNK2,822.0,0.420245651,543.0,0.257803,0.114400868
TNPO2,2070.0,0.408799881,358.0,0.120363,-0.727162529
TNRC18,1316.0,0.449521205,349.0,-0.508273,-1.218268305
TOMM5,518.0,0.441712708,107.0,1.043002,-0.440808249
TOMM6,1957.0,0.431553434,255.0,0.097008,1.749287516
TOP2A,1003.0,0.364102812,159.0,1.935662,-0.982932765
TOR1A,3160.0,0.446121485,77.0,0.738119,-0.117959506
TPD52L2,1600.0,0.385071878,138.0,-0.018619,0.317020309
TPI1,620.0,0.479135356,527.0,1.375686,0.172106784
TPM1,757.0,0.403626605,257.0,0.558255,1.49647279
TRAF1,7433.0,0.438949906,572.0,2.248456,0.002116054
TRAF6,6100.0,0.426668941,381.0,-0.109155,-0.201022057
TRAPPC3,634.0,0.441060625,519.0,-0.148238,0.223079653
TRAPPC5,42.0,0.453352607,241.0,-0.059217,0.176801022
TRAPPC6B,2539.0,0.437369008,335.0,-1.1618,0.454000861
TRAPPC9,3079.0,0.431357199,134.0,0.139594,-0.006908726
TRIM11,3522.0,0.453298916,255.0,-0.419627,-0.090070639
TRIM14,3117.0,0.369225689,165.0,1.186518,-0.197992991
TRIM22,1215.0,0.424423711,379.0,1.025502,0.314027029
TRIM26,1431.0,0.384319522,565.0,0.011855,0.015246534
TRIM27,2956.0,0.441704825,359.0,0.644837,-0.293312535
TRIM41,1657.0,0.454716896,737.0,-0.831197,0.759515736
TRIM5,2312.0,0.426412011,303.0,0.043092,0.463078955
TRIP12,3739.0,0.40441217,297.0,0.514866,-0.490280477
TRIP13,2852.0,0.433721983,145.0,2.097114,-0.936303784
TRMT5,3660.0,0.405137655,572.0,0.081222,-0.096334552
TRUB2,4655.0,0.434714666,759.0,0.021865,-0.32500585
TSFM,1390.0,0.429356434,57.0,-0.387342,-0.332937341
TSPYL1,7303.0,0.373212405,287.0,-0.956171,-0.457436758
TSR2,1366.0,0.464925113,443.0,-1.456622,0.063100967
TTC39C,3394.0,0.378954091,452.0,-0.732336,-0.162805661
TTC7A,2213.0,0.393400181,1272.0,1.06341,-0.015779338
TTPAL,5319.0,0.425556123,145.0,0.240025,0.137822799
TUBA1C,110.0,0.451729991,576.0,1.304079,-0.342683054
TUBA4A,644.0,0.402818439,556.0,-0.299093,-0.637769257
TUBB,1030.0,0.390058461,509.0,1.1061,-0.206910814
TUBB6,2302.0,0.468445054,1139.0,2.787605,0.923832566
TUSC1,1294.0,0.429789613,537.0,0.139047,-0.630976302
TXNL4A,3129.0,0.472736328,466.0,-0.262086,-0.222169651
TYMP,18.0,0.429537249,376.0,0.669813,-0.134859482
TYMS,581.0,0.364557025,159.0,2.555863,0.178083655
TYROBP,168.0,0.417048036,81.0,0.281133,0.27638056
UBAP2L,353.0,0.367068802,167.0,0.610586,-0.507843274
UBE2B,4002.0,0.405496028,420.0,-1.025273,-0.230340129
UBE2L3,2365.0,0.455573936,198.0,-0.061124,-0.298871364
UBE2L6,703.0,0.431638779,653.0,0.401769,-0.482183401
UBE4B,1283.0,0.418913915,688.0,0.561732,-0.019840076
UBR4,797.0,0.387393976,4.0,0.461147,-0.504072951
UBTF,2209.0,0.400105612,296.0,-0.315669,-0.180981615
UBXN1,220.0,0.422601268,194.0,-0.641045,0.071228942
UCK2,4043.0,0.447469338,640.0,1.923384,-0.246824907
UGGT1,5935.0,0.374564832,178.0,0.63844,0.073458418
UHRF1BP1,5130.0,0.373569339,234.0,1.033028,0.253434365
UNC45A,377.0,0.475530537,1022.0,-0.745938,-0.564170209
UNG,1024.0,0.368897526,209.0,0.796229,0.467130898
UNK,1388.0,0.447315534,42.0,0.682694,0.243932981
UQCR11,4379.0,0.470309826,75.0,-0.554473,-0.327937233
UQCRC1,129.0,0.462829321,45.0,0.183186,0.447483744
UQCRH,193.0,0.365128489,320.0,0.236949,-0.124082439
UROD,171.0,0.391539164,133.0,-0.902766,0.206537714
UROS,3849.0,0.422413435,266.0,-1.236166,0.227513361
USP18,580.0,0.434940763,338.0,2.000346,-1.594943172
USP39,571.0,0.39295741,223.0,0.376,-0.848210633
UTP6,2466.0,0.429918331,83.0,0.289619,-0.430796399
VAC14,489.0,0.396517204,827.0,0.046714,-0.236394763
VAMP8,451.0,0.398153421,156.0,-0.922776,-0.908063526
VASP,824.0,0.388921088,342.0,-0.338622,0.22686492
VAT1,1456.0,0.406330787,120.0,0.094752,0.334491957
VDAC3,475.0,0.440388181,210.0,1.19629,-0.479730339
VGLL4,2489.0,0.432812067,506.0,0.629388,0.023285293
VIM,431.0,0.411136971,462.0,1.050002,1.364062073
VPS28,291.0,0.476756313,109.0,-0.435632,-0.701185245
VPS33B,559.0,0.447669729,583.0,-0.955221,0.150033076
VPS39,2053.0,0.440628838,173.0,-0.52068,0.354405418
VPS52,2870.0,0.393546356,887.0,0.046506,-0.130063664
WASF2,4090.0,0.365213822,245.0,0.71812,0.194402718
WBP2,1040.0,0.392225719,515.0,-0.119173,-0.136769998
WDFY2,7044.0,0.36603015,340.0,0.573674,1.336751309
WDR1,1039.0,0.393247178,368.0,0.439273,-0.019563524
WDR36,3619.0,0.40459335,117.0,-0.06222,-0.30515895
WDR37,8068.0,0.365587877,173.0,0.143618,0.280580418
WDR4,293.0,0.380589271,581.0,2.114965,0.002648983
WDR47,1216.0,0.402106333,376.0,0.126749,0.17145362
WDR48,1924.0,0.419028298,472.0,0.467046,0.08015183
WDR5,1979.0,0.401607191,171.0,1.181206,-0.253588784
WDR54,97.0,0.394793766,128.0,-0.003249,-0.477077192
WDR61,197.0,0.411764619,310.0,-1.349545,-0.152285434
WDR77,4184.0,0.412330102,139.0,0.505102,-0.481551506
WDR91,4946.0,0.380864599,823.0,-1.326115,0.745254578
WDR92,2520.0,0.427217839,117.0,-0.10508,-0.281749366
YTHDF1,1279.0,0.384821843,294.0,-0.348768,-0.013849953
YTHDF3,3082.0,0.406652071,509.0,0.452673,-0.307114486
YY1,5192.0,0.440120149,480.0,0.727489,-0.187149933
ZBED1,2221.0,0.457533868,282.0,-0.581708,0.061439946
ZBTB8OS,1087.0,0.406816332,276.0,-0.756327,-0.707853409
ZC3H12A,768.0,0.421626239,1056.0,-0.229849,0.153936752
ZC3H4,2169.0,0.436042942,38.0,-0.095607,-0.219214571
ZFP36L1,2846.0,0.395541595,976.0,0.409267,1.030567477
ZMAT2,1942.0,0.460376067,101.0,-1.099082,0.143701184
ZMYM3,1292.0,0.378831729,749.0,0.381595,-0.6566295
ZNF207,13817.0,0.386696564,148.0,0.421722,-0.43279522
ZNF414,113.0,0.422835658,118.0,-0.312039,0.161364043
ZNF511,243.0,0.452392726,55.0,0.456285,-0.270427709
ZNF516,4816.0,0.393186692,318.0,0.624667,-0.302106137
ZNF622,1298.0,0.463753859,120.0,-1.029956,-0.161624639
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,0.028281335
ZWINT,4585.0,0.411772707,37.0,0.891833,0.398071863
