,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AW,TCGA-AR-A1AW.1
SLC25A19,477.0,0.386093473,224.0,0.666631,0.45373152
SLC25A20,787.0,0.382641976,199.0,0.123842,0.198682538
SLC25A3,504.0,0.383836987,354.0,-0.540348,0.356169088
SLC25A42,2156.0,0.366871382,156.0,0.980645,0.038964808
SLC25A6,450.0,0.487227384,137.0,-0.258396,0.523078347
SLC27A3,163.0,0.439664345,91.0,-0.569167,-0.01309794
SLC39A10,2661.0,0.346494338,214.0,0.295121,0.023789778
SLC43A3,838.0,0.382351997,447.0,0.319343,0.272685636
SLC44A1,8291.0,0.4365497,264.0,0.06622,0.093555682
SLC9A3R1,709.0,0.400889529,235.0,-0.759144,-0.089233217
SMAP2,1225.0,0.404145004,415.0,1.288533,0.278386126
SMC1A,5954.0,0.490702048,340.0,0.382387,0.043840284
SMG5,1363.0,0.383248033,540.0,0.06339,-0.017569104
SMS,2660.0,0.417677888,252.0,0.41538,0.873834352
SMYD3,223.0,0.378821529,130.0,-0.169699,-0.318445912
SNRNP200,676.0,0.454045162,132.0,0.102481,0.172180446
SNRPC,474.0,0.427936125,450.0,-0.226948,0.11873415
SNRPD1,4386.0,0.384326147,161.0,0.580193,0.165181865
SNRPN,279.0,0.390283395,1145.0,-0.636317,0.177388348
SNX24,5071.0,0.338464018,185.0,0.319947,0.234649814
SNX30,6144.0,0.426743352,148.0,0.260627,0.077526129
SNX33,5086.0,0.383330712,96.0,-0.729756,-0.569579748
SOD1,353.0,0.438546885,148.0,-0.013912,-0.158671936
SOD2,13436.0,0.435065133,1828.0,1.349145,0.650432009
SP110,3922.0,0.401738483,258.0,1.511274,0.923151752
SPC24,1691.0,0.381793277,320.0,1.047058,-0.383601867
SPC25,540.0,0.373816265,131.0,-0.156081,-0.288491304
SPCS1,3333.0,0.417439524,205.0,0.230799,0.706440145
SPI1,383.0,0.406748349,223.0,1.4326,0.229925619
SPRYD4,1406.0,0.430591965,75.0,-0.385564,-0.03078264
SQSTM1,1485.0,0.412192979,360.0,-0.508316,-0.614306845
SRC,2671.0,0.437602812,449.0,0.263223,0.340819128
SRGAP2,3018.0,0.377689891,542.0,0.154185,0.041015155
SRI,5365.0,0.424260151,79.0,-0.166988,-0.00504324
SRP19,2645.0,0.430943803,189.0,0.053723,0.074903328
SRPRB,1784.0,0.427990824,285.0,-0.12451,0.54094403
SRR,1392.0,0.393840903,354.0,0.838448,-0.315747475
SRXN1,2099.0,0.37663928,185.0,1.443045,1.096123559
SS18L2,777.0,0.45997865,208.0,0.102368,0.104536234
SSH1,5298.0,0.373517564,146.0,0.430028,0.229911094
SSH3,2595.0,0.376349937,178.0,-0.95578,-0.496985918
SSR2,592.0,0.425839932,80.0,-0.289387,0.980177307
SSR3,3698.0,0.388415977,156.0,0.192915,0.677344266
SSR4,87.0,0.444947593,150.0,0.878397,0.332905519
SSRP1,422.0,0.394601844,267.0,0.134589,-0.046985308
SSU72,400.0,0.445120823,325.0,0.095711,0.31394254
ST13,3666.0,0.439823793,468.0,-0.165649,-0.107771579
ST14,553.0,0.454138745,193.0,0.226915,-0.129022787
STAP1,541.0,0.398288494,113.0,4.996555,1.079756862
STARD10,1682.0,0.427301627,944.0,-1.203599,-0.753459324
STAT1,3294.0,0.408136156,388.0,2.903377,1.365655248
STAT2,1791.0,0.409862748,203.0,1.253609,0.572713788
STAT6,1168.0,0.380869476,499.0,-0.021686,0.194033825
STMN1,1138.0,0.394107416,364.0,0.636978,0.316905811
STOM,2222.0,0.387137797,117.0,-0.630977,-0.349959961
STOML2,531.0,0.456962681,143.0,-0.4957,-0.08202174
STX3,5058.0,0.403902965,547.0,-0.342261,0.297110602
STX7,14891.0,0.417568039,327.0,0.771747,0.208767404
STX8,107.0,0.378438911,150.0,0.317004,0.149795844
SUCLG1,223.0,0.43877655,193.0,-0.673359,-0.054196477
SUFU,3380.0,0.361614756,191.0,0.666559,-0.268908304
SUMF1,999.0,0.37076871,37.0,-0.477001,-0.064896967
SUPT4H1,1112.0,0.438747077,103.0,0.224388,0.332924524
SURF2,1720.0,0.440503417,48.0,-0.973092,0.041885007
SURF4,2281.0,0.385472445,476.0,-0.30443,0.255775294
SURF6,4908.0,0.42467207,78.0,-0.322821,0.067020501
SYTL1,80.0,0.364244725,197.0,0.498012,0.374733834
TACC3,165.0,0.385699108,155.0,0.57107,-0.002682373
TADA2B,3064.0,0.464060586,151.0,-0.330589,0.125774048
TAF12,689.0,0.435926756,522.0,-0.142567,0.174605688
TAP2,5256.0,0.374969764,175.0,2.025203,1.107469493
TATDN2,2040.0,0.415810908,581.0,0.397691,-0.30412086
TBC1D20,3109.0,0.435441414,148.0,1.396753,0.672432047
TBC1D9B,1396.0,0.395340616,37.0,-0.408034,-0.095385458
TBCC,556.0,0.434161456,73.0,-0.004775,-0.184807209
TCEAL3,260.0,0.368171822,262.0,-1.103527,-0.677669261
TCEAL4,3020.0,0.432120515,489.0,-1.118413,-0.600982506
TCOF1,1640.0,0.41523122,108.0,0.2219,0.182852733
TDP1,1721.0,0.418036689,317.0,0.487538,0.291830511
TDRD7,242.0,0.375852104,234.0,0.541958,0.080818567
TDRKH,973.0,0.419795099,182.0,1.020815,0.3128719
TEP1,2777.0,0.379550228,40.0,0.901899,-0.058260449
TFE3,1431.0,0.379068139,541.0,-0.246738,-0.878666436
TFEB,621.0,0.429366592,302.0,0.72742,0.564552504
THADA,112.0,0.415199561,352.0,0.160697,0.06903796
THUMPD1,2715.0,0.455087735,225.0,0.071808,-0.075639364
THYN1,205.0,0.377954149,484.0,0.876275,0.676301415
TIMM50,3932.0,0.424829064,722.0,-0.126053,0.486045151
TIMM8B,2046.0,0.447942532,30.0,-0.398985,-0.350360135
TK2,3965.0,0.360054507,593.0,-0.153452,0.002467358
TLE1,571.0,0.374791795,1295.0,-1.245161,-0.858838908
TM9SF2,2020.0,0.372522209,233.0,-0.283398,-0.379716908
TMED3,1710.0,0.439016102,188.0,-1.492358,-0.32682895
TMED9,708.0,0.44685712,67.0,-0.32539,0.077928115
TMEM126A,52.0,0.406087664,295.0,-0.547176,0.009870267
TMEM199,2431.0,0.370998168,90.0,0.38663,0.371372878
TMEM63A,1407.0,0.385482014,622.0,-0.154408,0.16999819
TMOD1,2050.0,0.392927141,213.0,-0.907004,-0.928992686
TMSB10,278.0,0.470652003,95.0,0.452966,-0.192989061
TNFAIP2,2079.0,0.44214387,131.0,0.548191,-0.144860268
TNFAIP3,1995.0,0.416242917,370.0,2.608202,0.491766285
TNFAIP8L2,497.0,0.440670719,126.0,1.893705,0.252390298
TNIP1,770.0,0.448321216,241.0,0.168151,-0.058549268
TNK2,822.0,0.420245651,543.0,0.111171,-0.021198199
TNPO2,2070.0,0.408799881,358.0,0.627157,0.572957751
TNRC18,1316.0,0.449521205,349.0,-0.470002,-0.155685457
TOMM5,518.0,0.441712708,107.0,-0.391037,0.378835695
TOP2A,1003.0,0.364102812,159.0,0.826453,-0.212475623
TOR1A,3160.0,0.446121485,77.0,-0.364555,-0.087866807
TPD52L2,1600.0,0.385071878,138.0,-0.477951,-0.075399019
TPI1,620.0,0.479135356,527.0,-0.598817,-0.019008599
TPM1,757.0,0.403626605,257.0,-1.378919,-0.868745394
TRAF1,7433.0,0.438949906,572.0,2.587758,0.914706806
TRAF3,5716.0,0.386659664,353.0,1.085487,-0.244721509
TRAF6,6100.0,0.426668941,381.0,-0.050375,0.095757323
TRAPPC3,634.0,0.441060625,519.0,-0.497585,0.102941433
TRAPPC5,42.0,0.453352607,241.0,-0.200222,0.125854791
TRAPPC6B,2539.0,0.437369008,335.0,0.26204,0.205244061
TRAPPC9,3079.0,0.431357199,134.0,0.8655,0.163358649
TRIM11,3522.0,0.453298916,255.0,-0.585518,-0.215318264
TRIM13,5308.0,0.419190719,763.0,-0.239421,0.142967024
TRIM14,3117.0,0.369225689,165.0,0.969828,0.07759753
TRIM22,1215.0,0.424423711,379.0,2.252299,1.042192719
TRIM26,1431.0,0.384319522,565.0,0.243436,0.317649485
TRIM27,2956.0,0.441704825,359.0,-0.220671,-0.071551881
TRIM41,1657.0,0.454716896,737.0,0.105186,0.014434789
TRIM5,2312.0,0.426412011,303.0,0.160707,-0.173187472
TRIP12,3739.0,0.40441217,297.0,0.504297,0.236168977
TRIP13,2852.0,0.433721983,145.0,0.113396,-0.371763068
TRMT5,3660.0,0.405137655,572.0,-0.00089,-0.080762549
TRUB2,4655.0,0.434714666,759.0,-0.436924,0.013162245
TSFM,1390.0,0.429356434,57.0,-0.502248,-0.182027773
TSPAN14,15147.0,0.398868986,305.0,0.19872,0.246003201
TSPYL1,7303.0,0.373212405,287.0,-0.007462,-0.063117753
TSR2,1366.0,0.464925113,443.0,-0.420453,-0.238788712
TTC39C,3394.0,0.378954091,452.0,0.096751,-0.056291687
TTC7A,2213.0,0.393400181,1272.0,0.848576,0.125992918
TTPAL,5319.0,0.425556123,145.0,0.289997,-0.08027262
TUBA1C,110.0,0.451729991,576.0,-0.809981,-0.269082335
TUBA4A,644.0,0.402818439,556.0,0.573654,0.161528352
TUBB,1030.0,0.390058461,509.0,0.168265,-0.098406508
TUBB6,2302.0,0.468445054,1139.0,-1.025631,-0.457421004
TUBGCP4,1934.0,0.368175973,296.0,-0.081918,0.090306663
TUSC1,1294.0,0.429789613,537.0,-1.532818,-0.043067237
TXNL4A,3129.0,0.472736328,466.0,0.261296,0.301097808
TYMP,18.0,0.429537249,376.0,1.199308,0.641277191
TYMS,581.0,0.364557025,159.0,0.438146,-0.061369732
UBAP2L,353.0,0.367068802,167.0,0.316246,0.028016146
UBE2B,4002.0,0.405496028,420.0,-0.251544,-0.327484339
UBE2E1,1034.0,0.417917446,229.0,0.061024,-0.075870563
UBE2L3,2365.0,0.455573936,198.0,-0.222128,-0.106133785
UBE2L6,703.0,0.431638779,653.0,1.499683,0.854513321
UBE4B,1283.0,0.418913915,688.0,0.018556,0.135038863
UBR4,797.0,0.387393976,4.0,0.262931,0.18417745
UBTF,2209.0,0.400105612,296.0,0.166072,0.42308895
UBXN1,220.0,0.422601268,194.0,0.131325,0.072301665
UCK2,4043.0,0.447469338,640.0,0.1832,0.062916843
UGGT1,5935.0,0.374564832,178.0,0.341968,0.115396181
UHRF1BP1,5130.0,0.373569339,234.0,0.666127,0.180806644
UNC45A,377.0,0.475530537,1022.0,-0.955699,-0.498944568
UNG,1024.0,0.368897526,209.0,0.153852,0.372287194
UNK,1388.0,0.447315534,42.0,0.278017,0.235712197
UQCR11,4379.0,0.470309826,75.0,-0.948545,-0.358834376
UQCRC1,129.0,0.462829321,45.0,-0.521342,0.233745129
UQCRH,193.0,0.365128489,320.0,-0.605387,0.103663019
UROD,171.0,0.391539164,133.0,-0.331197,-0.057527728
UROS,3849.0,0.422413435,266.0,-0.030904,-0.373010956
USP18,580.0,0.434940763,338.0,1.48063,0.819792718
USP39,571.0,0.39295741,223.0,0.181101,0.186692441
UTP6,2466.0,0.429918331,83.0,0.364843,-0.021101914
VAC14,489.0,0.396517204,827.0,0.33988,0.293498281
VAMP8,451.0,0.398153421,156.0,-0.171741,0.42926376
VASP,824.0,0.388921088,342.0,-0.243419,0.240389619
VAT1,1456.0,0.406330787,120.0,-0.216859,0.096706405
VDAC3,475.0,0.440388181,210.0,-0.764968,-0.011111728
VDR,3209.0,0.450036866,401.0,0.017532,0.052255978
VGLL4,2489.0,0.432812067,506.0,-0.471849,-0.376151554
VIM,431.0,0.411136971,462.0,-0.19373,-0.121206593
VPS28,291.0,0.476756313,109.0,0.200401,-0.098247269
VPS33B,559.0,0.447669729,583.0,-0.298682,-0.101605633
VPS39,2053.0,0.440628838,173.0,0.108368,0.178255767
VPS52,2870.0,0.393546356,887.0,-0.179631,-0.187976904
WASF2,4090.0,0.365213822,245.0,0.079337,0.433531172
WBP2,1040.0,0.392225719,515.0,-0.504853,-0.309877669
WDFY2,7044.0,0.36603015,340.0,0.022166,-0.49597125
WDR1,1039.0,0.393247178,368.0,0.139665,0.036928624
WDR36,3619.0,0.40459335,117.0,0.265936,-0.110173347
WDR37,8068.0,0.365587877,173.0,0.550729,0.26876429
WDR4,293.0,0.380589271,581.0,0.227336,-0.453097387
WDR47,1216.0,0.402106333,376.0,0.19814,0.152721148
WDR48,1924.0,0.419028298,472.0,0.689066,0.09979802
WDR5,1979.0,0.401607191,171.0,-0.291699,0.024629581
WDR54,97.0,0.394793766,128.0,-0.853023,-0.507225237
WDR61,197.0,0.411764619,310.0,-0.822742,-0.226964351
WDR77,4184.0,0.412330102,139.0,-0.185132,0.074195732
WDR91,4946.0,0.380864599,823.0,0.216826,0.160346751
WDR92,2520.0,0.427217839,117.0,0.251093,0.18302239
YTHDF1,1279.0,0.384821843,294.0,-0.00572,-0.02711265
YTHDF3,3082.0,0.406652071,509.0,0.703572,0.070118593
YY1,5192.0,0.440120149,480.0,-0.064035,0.300246227
ZBED1,2221.0,0.457533868,282.0,-0.469573,-0.213282918
ZBTB8OS,1087.0,0.406816332,276.0,0.045277,0.076223997
ZC3H12A,768.0,0.421626239,1056.0,-0.03637,0.205525946
ZC3H4,2169.0,0.436042942,38.0,0.122773,0.106116509
ZCCHC10,81.0,0.361883573,67.0,0.232415,0.253844429
ZCCHC2,2006.0,0.404185753,0.0,0.909586,0.315241891
ZFP36L1,2846.0,0.395541595,976.0,-0.232302,0.177154313
ZMAT2,1942.0,0.460376067,101.0,0.389682,0.428512871
ZMIZ2,4165.0,0.419562196,128.0,0.314712,0.139238338
ZMYM3,1292.0,0.378831729,749.0,0.101021,0.074172083
ZNF207,13817.0,0.386696564,148.0,0.24135,0.077655885
ZNF414,113.0,0.422835658,118.0,-0.032802,0.287693401
ZNF511,243.0,0.452392726,55.0,-0.1014,-0.462532164
ZNF516,4816.0,0.393186692,318.0,1.863176,0.665753508
ZNF622,1298.0,0.463753859,120.0,-0.277391,0.013793343
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,-0.052495412
ZNHIT3,419.0,0.425204303,73.0,0.200441,0.307255193
ZWINT,4585.0,0.411772707,37.0,0.083054,-0.324275197
