,3prime,tAI,max_5_UTR_length,TCGA-BH-A18U,TCGA-BH-A18U.1
SIPA1,2933.0,0.437718847,296.0,-0.209323,0.202458432
SIRPA,3027.0,0.429235057,360.0,-0.324369,0.01875999
SKP1,8791.0,0.433886974,179.0,0.516421,0.045126291
SLBP,3046.0,0.391438372,553.0,-0.032233,-0.348867697
SLC25A10,1929.0,0.386184273,191.0,-0.139306,-0.02052071
SLC25A19,477.0,0.386093473,224.0,0.95134,-0.503939912
SLC25A20,787.0,0.382641976,199.0,0.584014,-0.343002004
SLC25A3,504.0,0.383836987,354.0,0.21256,-0.860745888
SLC25A40,2688.0,0.363984785,375.0,-0.073248,0.252340541
SLC25A6,450.0,0.487227384,137.0,0.081705,-0.670414072
SLC27A3,163.0,0.439664345,91.0,-0.149805,-0.387790986
SLC39A10,2661.0,0.346494338,214.0,0.339662,-0.376818437
SLC44A1,8291.0,0.4365497,264.0,0.204614,-0.484510086
SLC9A3R1,709.0,0.400889529,235.0,0.189542,-0.464473862
SMAP2,1225.0,0.404145004,415.0,0.297568,0.206907291
SMC1A,5954.0,0.490702048,340.0,-0.258492,0.061690906
SMG5,1363.0,0.383248033,540.0,-0.081119,-0.01800657
SMS,2660.0,0.417677888,252.0,0.583728,-0.157686484
SMYD3,223.0,0.378821529,130.0,0.397648,0.082474305
SNRNP200,676.0,0.454045162,132.0,0.451991,-0.00472518
SNRPC,474.0,0.427936125,450.0,0.815968,-0.356751407
SNRPD1,4386.0,0.384326147,161.0,-0.063228,0.299355644
SNRPN,279.0,0.390283395,1145.0,-0.987174,0.209803789
SNX24,5071.0,0.338464018,185.0,0.907058,0.520006109
SNX30,6144.0,0.426743352,148.0,-0.129073,0.023505242
SNX33,5086.0,0.383330712,96.0,-1.399801,0.033456826
SOD1,353.0,0.438546885,148.0,-0.136836,-0.741651524
SOD2,13436.0,0.435065133,1828.0,0.411814,0.969827273
SP110,3922.0,0.401738483,258.0,1.139892,-0.025769374
SPC24,1691.0,0.381793277,320.0,1.030178,0.145349705
SPC25,540.0,0.373816265,131.0,1.707766,0.250206916
SPCS1,3333.0,0.417439524,205.0,1.120212,-0.784890573
SPI1,383.0,0.406748349,223.0,-0.047326,0.473937138
SPRYD4,1406.0,0.430591965,75.0,0.516218,0.247148892
SQSTM1,1485.0,0.412192979,360.0,0.80233,0.061442583
SRC,2671.0,0.437602812,449.0,-1.840316,-0.189694403
SRGAP2,3018.0,0.377689891,542.0,0.81073,0.23542189
SRI,5365.0,0.424260151,79.0,-0.262467,0.028335898
SRP19,2645.0,0.430943803,189.0,0.524738,0.129535571
SRPRB,1784.0,0.427990824,285.0,0.599888,-0.4798426
SRR,1392.0,0.393840903,354.0,1.021575,0.680168282
SRXN1,2099.0,0.37663928,185.0,1.490415,0.880447125
SS18L2,777.0,0.45997865,208.0,0.656425,0.156421893
SSH1,5298.0,0.373517564,146.0,-0.413373,0.165085013
SSH3,2595.0,0.376349937,178.0,-0.191162,-0.25598918
SSR2,592.0,0.425839932,80.0,-0.096839,-1.413539766
SSR3,3698.0,0.388415977,156.0,0.580518,-1.322788611
SSR4,87.0,0.444947593,150.0,-0.356754,0.002466894
SSRP1,422.0,0.394601844,267.0,0.84193,-0.189463797
SSU72,400.0,0.445120823,325.0,-0.651958,0.306827354
ST13,3666.0,0.439823793,468.0,0.738079,0.304658617
ST14,553.0,0.454138745,193.0,-0.453082,-0.230323877
STAP1,541.0,0.398288494,113.0,1.212081,0.871032556
STARD10,1682.0,0.427301627,944.0,0.258957,-0.156613542
STAT1,3294.0,0.408136156,388.0,1.224731,0.434669828
STAT2,1791.0,0.409862748,203.0,-0.111917,0.230287665
STAT6,1168.0,0.380869476,499.0,-1.775168,-0.096248738
STMN1,1138.0,0.394107416,364.0,0.885911,-0.338648978
STOM,2222.0,0.387137797,117.0,0.308199,-0.355460097
STOML2,531.0,0.456962681,143.0,-0.294889,-0.334679323
STX11,4481.0,0.457080677,192.0,-0.410668,0.291135863
STX3,5058.0,0.403902965,547.0,1.205213,-0.332616477
STX7,14891.0,0.417568039,327.0,-0.164509,-0.772052907
STX8,107.0,0.378438911,150.0,-0.43705,-0.421540844
SUCLG1,223.0,0.43877655,193.0,0.101822,-0.111514743
SUFU,3380.0,0.361614756,191.0,-0.13771,0.135367157
SUMF1,999.0,0.37076871,37.0,-0.007303,0.094479789
SUPT4H1,1112.0,0.438747077,103.0,0.009494,0.264677492
SURF2,1720.0,0.440503417,48.0,0.296283,0.080412915
SURF4,2281.0,0.385472445,476.0,0.125254,-0.48196521
SURF6,4908.0,0.42467207,78.0,-0.065724,-0.023924676
SVIP,4195.0,0.357937352,217.0,0.448926,-0.05574529
SYTL1,80.0,0.364244725,197.0,-0.252319,0.192184182
TACC3,165.0,0.385699108,155.0,0.178799,0.105718183
TAF12,689.0,0.435926756,522.0,0.480373,0.440642254
TAP2,5256.0,0.374969764,175.0,0.43316,-0.457865746
TATDN2,2040.0,0.415810908,581.0,-0.250049,0.273903891
TBC1D20,3109.0,0.435441414,148.0,0.676241,0.276033266
TBC1D9B,1396.0,0.395340616,37.0,-0.394669,-0.022676101
TBCC,556.0,0.434161456,73.0,0.100555,0.190583985
TCEAL3,260.0,0.368171822,262.0,1.134201,-0.172070257
TCEAL4,3020.0,0.432120515,489.0,1.281445,-0.443356335
TCOF1,1640.0,0.41523122,108.0,0.083545,-0.33194942
TDP1,1721.0,0.418036689,317.0,0.321483,0.11035586
TDRD7,242.0,0.375852104,234.0,0.299217,0.199110296
TDRKH,973.0,0.419795099,182.0,1.424198,0.238847506
TEP1,2777.0,0.379550228,40.0,-0.896186,0.049339754
TFE3,1431.0,0.379068139,541.0,-0.647837,-0.582318776
TFEB,621.0,0.429366592,302.0,-1.213323,-0.841877681
THADA,112.0,0.415199561,352.0,0.390367,0.003459174
THUMPD1,2715.0,0.455087735,225.0,-0.005884,0.219082069
THYN1,205.0,0.377954149,484.0,0.144416,0.53373441
TIMM50,3932.0,0.424829064,722.0,0.279267,-0.098374895
TIMM8B,2046.0,0.447942532,30.0,1.344235,0.110086894
TK2,3965.0,0.360054507,593.0,-0.787225,0.190454096
TLE1,571.0,0.374791795,1295.0,-0.775928,-0.11225106
TM9SF2,2020.0,0.372522209,233.0,-0.38399,-0.85353915
TMED3,1710.0,0.439016102,188.0,0.4342,0.036569083
TMED9,708.0,0.44685712,67.0,0.007607,0.181547442
TMEM126A,52.0,0.406087664,295.0,0.940162,0.077247509
TMEM199,2431.0,0.370998168,90.0,0.531472,-0.742058248
TMEM63A,1407.0,0.385482014,622.0,-1.097439,-0.811355337
TMOD1,2050.0,0.392927141,213.0,-1.700323,-0.276498717
TMSB10,278.0,0.470652003,95.0,-0.508111,-0.265439889
TNFAIP2,2079.0,0.44214387,131.0,-0.154962,-0.255938413
TNFAIP3,1995.0,0.416242917,370.0,-0.37734,-0.335904206
TNFAIP8L2,497.0,0.440670719,126.0,-0.211532,-0.248704962
TNIP1,770.0,0.448321216,241.0,-0.669375,-0.078396658
TNK2,822.0,0.420245651,543.0,-0.462516,-0.876516659
TNPO2,2070.0,0.408799881,358.0,-0.371424,-0.413197028
TNRC18,1316.0,0.449521205,349.0,-1.436058,-0.376488895
TOMM5,518.0,0.441712708,107.0,0.475362,-0.188072036
TOMM6,1957.0,0.431553434,255.0,0.703624,-0.496025346
TOP2A,1003.0,0.364102812,159.0,2.414853,0.22204445
TOR1A,3160.0,0.446121485,77.0,-0.562363,-0.029669319
TPD52L2,1600.0,0.385071878,138.0,0.125796,-0.19224732
TPI1,620.0,0.479135356,527.0,0.225729,0.017728023
TPM1,757.0,0.403626605,257.0,-0.920669,-0.124668296
TRAF1,7433.0,0.438949906,572.0,-0.688219,0.168251972
TRAF3,5716.0,0.386659664,353.0,-0.554672,0.185792921
TRAF6,6100.0,0.426668941,381.0,-0.06848,-0.017315722
TRAPPC3,634.0,0.441060625,519.0,-0.312557,-0.002407621
TRAPPC5,42.0,0.453352607,241.0,-0.266871,0.247100823
TRAPPC6B,2539.0,0.437369008,335.0,-0.120753,0.217575291
TRAPPC9,3079.0,0.431357199,134.0,0.721092,-0.071228353
TRIM11,3522.0,0.453298916,255.0,-0.382894,0.86505791
TRIM13,5308.0,0.419190719,763.0,-0.468638,-0.400409354
TRIM14,3117.0,0.369225689,165.0,-0.241536,-0.086342706
TRIM22,1215.0,0.424423711,379.0,-0.183874,0.25210072
TRIM26,1431.0,0.384319522,565.0,-0.149532,-0.11738835
TRIM27,2956.0,0.441704825,359.0,0.028065,0.154184819
TRIM41,1657.0,0.454716896,737.0,0.328072,-0.087503357
TRIM5,2312.0,0.426412011,303.0,-0.628158,0.055049704
TRIP12,3739.0,0.40441217,297.0,-0.15062,0.062149911
TRIP13,2852.0,0.433721983,145.0,1.876871,-0.139396856
TRMT5,3660.0,0.405137655,572.0,-0.182467,0.122942299
TRUB2,4655.0,0.434714666,759.0,0.363945,0.214898268
TSFM,1390.0,0.429356434,57.0,-0.119811,0.351930073
TSPAN14,15147.0,0.398868986,305.0,-0.477633,-0.668221775
TSPYL1,7303.0,0.373212405,287.0,0.19495,-0.008376933
TSR2,1366.0,0.464925113,443.0,-0.005023,0.401023524
TTC39C,3394.0,0.378954091,452.0,-0.936423,-0.011896002
TTC7A,2213.0,0.393400181,1272.0,-0.557747,0.209575899
TTPAL,5319.0,0.425556123,145.0,0.464445,-0.226117378
TUBA1C,110.0,0.451729991,576.0,0.283635,-0.007039619
TUBA4A,644.0,0.402818439,556.0,0.889259,0.500162204
TUBB,1030.0,0.390058461,509.0,0.721895,0.021533054
TUBB6,2302.0,0.468445054,1139.0,-0.612448,0.213904997
TUBGCP4,1934.0,0.368175973,296.0,0.190276,-0.086053502
TUSC1,1294.0,0.429789613,537.0,-0.461583,-1.265323216
TXNL4A,3129.0,0.472736328,466.0,-0.928586,-0.01356621
TYMP,18.0,0.429537249,376.0,-0.671075,0.374214653
TYMS,581.0,0.364557025,159.0,0.739257,-0.11857404
UBAP2L,353.0,0.367068802,167.0,0.063336,-0.112863293
UBE2B,4002.0,0.405496028,420.0,0.095234,-0.092192582
UBE2E1,1034.0,0.417917446,229.0,0.463976,-0.858731361
UBE2L3,2365.0,0.455573936,198.0,0.320723,0.119733202
UBE2L6,703.0,0.431638779,653.0,1.779362,0.426708244
UBE4B,1283.0,0.418913915,688.0,-0.221702,-0.052782476
UBR4,797.0,0.387393976,4.0,-0.267513,-0.29185146
UBTF,2209.0,0.400105612,296.0,-0.186659,-0.093411677
UBXN1,220.0,0.422601268,194.0,0.13211,0.152935873
UCK2,4043.0,0.447469338,640.0,0.489114,0.185058839
UGGT1,5935.0,0.374564832,178.0,-0.022168,0.110357133
UHRF1BP1,5130.0,0.373569339,234.0,0.657686,0.174884674
UNC45A,377.0,0.475530537,1022.0,-0.471056,-0.034958993
UNG,1024.0,0.368897526,209.0,0.485177,0.249869877
UNK,1388.0,0.447315534,42.0,0.064614,-0.404893411
UQCR11,4379.0,0.470309826,75.0,-0.265998,0.102568365
UQCRC1,129.0,0.462829321,45.0,0.616079,0.258190952
UQCRH,193.0,0.365128489,320.0,-0.102255,-0.122505499
UROD,171.0,0.391539164,133.0,-0.217928,0.218831988
UROS,3849.0,0.422413435,266.0,0.25689,0.280930883
USP18,580.0,0.434940763,338.0,1.170924,-0.535238441
USP39,571.0,0.39295741,223.0,0.15433,-0.26158458
UTP6,2466.0,0.429918331,83.0,2.514527,0.215236706
VAC14,489.0,0.396517204,827.0,-0.180881,0.088210515
VAMP8,451.0,0.398153421,156.0,-0.555742,-0.986322044
VASP,824.0,0.388921088,342.0,-0.454385,0.058617601
VAT1,1456.0,0.406330787,120.0,-0.56193,0.122988555
VDAC3,475.0,0.440388181,210.0,-0.290745,-0.665142476
VDR,3209.0,0.450036866,401.0,0.191123,0.168146988
VGLL4,2489.0,0.432812067,506.0,-0.27757,-0.085869585
VIM,431.0,0.411136971,462.0,-0.655771,0.247775157
VPS28,291.0,0.476756313,109.0,0.488838,0.06390258
VPS33B,559.0,0.447669729,583.0,-0.368186,0.100078294
VPS39,2053.0,0.440628838,173.0,-0.07837,0.206084261
VPS52,2870.0,0.393546356,887.0,0.675313,0.06803718
WASF2,4090.0,0.365213822,245.0,-0.663238,-0.14712319
WBP2,1040.0,0.392225719,515.0,0.153512,-0.468736839
WDFY2,7044.0,0.36603015,340.0,-0.282473,-0.105952745
WDR1,1039.0,0.393247178,368.0,-0.302843,0.083787393
WDR36,3619.0,0.40459335,117.0,0.732224,-0.06050429
WDR37,8068.0,0.365587877,173.0,-0.659642,-0.088285692
WDR4,293.0,0.380589271,581.0,0.288232,0.424062393
WDR47,1216.0,0.402106333,376.0,-0.314867,0.09174997
WDR48,1924.0,0.419028298,472.0,0.715623,0.041086003
WDR5,1979.0,0.401607191,171.0,0.123853,0.171887562
WDR54,97.0,0.394793766,128.0,1.553336,0.350606382
WDR61,197.0,0.411764619,310.0,0.241489,0.39471729
WDR77,4184.0,0.412330102,139.0,0.058024,0.000504631
WDR91,4946.0,0.380864599,823.0,-0.207065,0.019631263
WDR92,2520.0,0.427217839,117.0,0.302294,0.329018592
YTHDF1,1279.0,0.384821843,294.0,0.66656,0.146774808
YTHDF3,3082.0,0.406652071,509.0,0.482017,-0.057903746
YY1,5192.0,0.440120149,480.0,0.24504,-0.692597403
ZBED1,2221.0,0.457533868,282.0,-0.475375,0.127243208
ZBTB8OS,1087.0,0.406816332,276.0,0.466558,0.37583284
ZC3H12A,768.0,0.421626239,1056.0,-0.004494,-0.313172739
ZC3H4,2169.0,0.436042942,38.0,-0.522446,-0.108306707
ZFP36L1,2846.0,0.395541595,976.0,-0.321888,-0.107872393
ZMAT2,1942.0,0.460376067,101.0,0.622146,-0.692467857
ZMIZ2,4165.0,0.419562196,128.0,0.013328,0.252190042
ZMYM3,1292.0,0.378831729,749.0,-0.316743,-0.241603942
ZNF207,13817.0,0.386696564,148.0,1.253248,0.159607514
ZNF414,113.0,0.422835658,118.0,-1.04539,-0.965325288
ZNF511,243.0,0.452392726,55.0,-0.653891,-0.158032391
ZNF516,4816.0,0.393186692,318.0,-0.63955,-0.396502518
ZNF622,1298.0,0.463753859,120.0,0.156428,0.013789973
ZNHIT2,49.0,0.440612513,85.0,-0.285096,0.370441457
ZNHIT3,419.0,0.425204303,73.0,0.835991,-0.726304146
ZWINT,4585.0,0.411772707,37.0,1.820796,0.588102898
