,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JJ,TCGA-AO-A0JJ.1
SEC24D,2115.0,0.386600041,297.0,0.289501,0.067087205
SEC61B,270.0,0.404562259,76.0,-0.081642,0.142330488
SEMA3F,960.0,0.38837398,318.0,0.254357,0.438250025
SEMA4A,755.0,0.412797256,345.0,0.338308,0.381089433
SEMA4D,2318.0,0.393173667,572.0,0.286006,0.560116032
SERPINA1,1707.0,0.420489385,573.0,3.526627,0.38671261
SERPINB8,2096.0,0.38524815,520.0,-0.01743,0.204128752
SETMAR,321.0,0.414235412,398.0,-0.471381,0.073187374
SF1,2419.0,0.374481437,721.0,-0.055028,-0.078638491
SF3B2,563.0,0.453902675,40.0,-0.087102,-0.032199176
SFXN4,500.0,0.402513841,45.0,0.29868,-0.02465915
SH3BP1,433.0,0.395530944,313.0,0.922699,0.471083683
SH3PXD2B,4870.0,0.420952884,171.0,0.284195,0.048089124
SHMT1,4335.0,0.394510245,509.0,0.995382,0.613835062
SIGLEC1,1590.0,0.42099348,0.0,0.269942,0.4895837
SIPA1,2933.0,0.437718847,296.0,0.721886,0.327067628
SIRPA,3027.0,0.429235057,360.0,0.367973,0.498427803
SKP1,8791.0,0.433886974,179.0,0.126243,-0.009524293
SLBP,3046.0,0.391438372,553.0,0.159286,0.126444766
SLC25A10,1929.0,0.386184273,191.0,0.289305,-0.015415994
SLC25A19,477.0,0.386093473,224.0,-0.257076,-0.000364799
SLC25A20,787.0,0.382641976,199.0,0.499765,-0.083534524
SLC25A3,504.0,0.383836987,354.0,-0.074324,-0.421678788
SLC25A40,2688.0,0.363984785,375.0,0.343673,0.411399074
SLC25A6,450.0,0.487227384,137.0,0.322609,0.017995683
SLC27A3,163.0,0.439664345,91.0,0.472596,0.536982899
SLC39A10,2661.0,0.346494338,214.0,0.237945,0.110149805
SLC43A2,6357.0,0.437839378,341.0,0.313733,0.395929702
SLC43A3,838.0,0.382351997,447.0,0.251368,1.108664537
SLC44A1,8291.0,0.4365497,264.0,0.459237,0.473608941
SLC9A3R1,709.0,0.400889529,235.0,-0.161053,-0.516115536
SMAP2,1225.0,0.404145004,415.0,0.329575,0.258098339
SMC1A,5954.0,0.490702048,340.0,-0.15101,0.213452977
SMG5,1363.0,0.383248033,540.0,-0.79063,-0.014901778
SMS,2660.0,0.417677888,252.0,-0.70151,-0.479143468
SMYD3,223.0,0.378821529,130.0,0.379708,0.337899072
SNRNP200,676.0,0.454045162,132.0,-0.099783,-0.171048334
SNRPC,474.0,0.427936125,450.0,-0.846944,-0.529545235
SNRPD1,4386.0,0.384326147,161.0,0.02423,-0.385438012
SNRPN,279.0,0.390283395,1145.0,0.260968,0.217959865
SNX24,5071.0,0.338464018,185.0,0.592131,0.286817883
SNX30,6144.0,0.426743352,148.0,-0.005951,0.034105704
SNX33,5086.0,0.383330712,96.0,-0.093848,-0.079833875
SOD1,353.0,0.438546885,148.0,0.198135,0.066977251
SOD2,13436.0,0.435065133,1828.0,0.227163,0.081867477
SP110,3922.0,0.401738483,258.0,0.198112,0.08236024
SPC24,1691.0,0.381793277,320.0,0.312739,-0.426911192
SPC25,540.0,0.373816265,131.0,-0.377737,-0.219905861
SPCS1,3333.0,0.417439524,205.0,0.39133,0.517659514
SPI1,383.0,0.406748349,223.0,0.833422,0.516010732
SPRYD4,1406.0,0.430591965,75.0,-0.20763,-0.362390812
SQSTM1,1485.0,0.412192979,360.0,0.195597,-0.368798037
SRC,2671.0,0.437602812,449.0,-0.85651,-0.466791272
SRGAP2,3018.0,0.377689891,542.0,0.450441,0.509925155
SRI,5365.0,0.424260151,79.0,0.05391,0.263138552
SRP19,2645.0,0.430943803,189.0,-0.359988,-0.16876062
SRPRB,1784.0,0.427990824,285.0,0.095878,-0.323177003
SRR,1392.0,0.393840903,354.0,0.393031,0.015119999
SRXN1,2099.0,0.37663928,185.0,-0.421653,-0.405842294
SS18L2,777.0,0.45997865,208.0,0.334924,0.113613059
SSH1,5298.0,0.373517564,146.0,-0.1831,-0.019525543
SSH3,2595.0,0.376349937,178.0,-0.160196,0.177061007
SSR2,592.0,0.425839932,80.0,0.410165,0.523916969
SSR3,3698.0,0.388415977,156.0,0.509706,-0.56429213
SSR4,87.0,0.444947593,150.0,0.518821,-0.206148859
SSRP1,422.0,0.394601844,267.0,-0.152541,-0.08445952
SSU72,400.0,0.445120823,325.0,-0.025683,0.205708379
ST13,3666.0,0.439823793,468.0,0.084479,-0.208568598
ST14,553.0,0.454138745,193.0,-0.600123,-0.440220552
STARD10,1682.0,0.427301627,944.0,1.042981,0.357041975
STAT1,3294.0,0.408136156,388.0,0.455222,-0.264192933
STAT2,1791.0,0.409862748,203.0,-0.145168,-0.116263631
STAT6,1168.0,0.380869476,499.0,0.111585,0.321424639
STMN1,1138.0,0.394107416,364.0,-0.119794,-0.344654331
STOM,2222.0,0.387137797,117.0,-0.370034,0.239362219
STOML2,531.0,0.456962681,143.0,-0.115102,-0.315100951
STX11,4481.0,0.457080677,192.0,0.52417,0.570894994
STX3,5058.0,0.403902965,547.0,0.016296,0.304266966
STX7,14891.0,0.417568039,327.0,-0.105522,0.132250689
STX8,107.0,0.378438911,150.0,0.07096,-0.011776302
SUCLG1,223.0,0.43877655,193.0,-0.104322,0.056024433
SUFU,3380.0,0.361614756,191.0,0.199684,0.115191226
SUMF1,999.0,0.37076871,37.0,-0.17948,-0.280734569
SUPT4H1,1112.0,0.438747077,103.0,0.235859,0.235669524
SURF2,1720.0,0.440503417,48.0,-0.044442,-0.045344782
SURF4,2281.0,0.385472445,476.0,0.082114,0.054064012
SURF6,4908.0,0.42467207,78.0,-0.245995,-0.154052498
SUV39H1,1669.0,0.463566826,266.0,-0.213584,-0.09686258
SVIP,4195.0,0.357937352,217.0,0.459559,0.663038568
SYTL1,80.0,0.364244725,197.0,0.734419,0.596078969
TACC3,165.0,0.385699108,155.0,-0.135743,-0.166595487
TADA2B,3064.0,0.464060586,151.0,0.02715,0.533626208
TAF12,689.0,0.435926756,522.0,0.306665,0.278311026
TAP2,5256.0,0.374969764,175.0,0.013775,-0.318179347
TATDN2,2040.0,0.415810908,581.0,-0.194979,0.220799728
TBC1D20,3109.0,0.435441414,148.0,-0.22344,-0.367157414
TBC1D9B,1396.0,0.395340616,37.0,-0.374555,0.237126374
TBCC,556.0,0.434161456,73.0,-1.019983,-0.355406141
TCEAL3,260.0,0.368171822,262.0,0.309384,0.078791439
TCEAL4,3020.0,0.432120515,489.0,-0.012019,-0.273073674
TCOF1,1640.0,0.41523122,108.0,-0.297605,0.172116997
TDP1,1721.0,0.418036689,317.0,-0.164587,0.054508813
TDRD7,242.0,0.375852104,234.0,0.371623,0.218247657
TDRKH,973.0,0.419795099,182.0,-0.495191,-0.334217924
TEP1,2777.0,0.379550228,40.0,-0.610624,0.05052055
TFE3,1431.0,0.379068139,541.0,-0.15718,0.01325298
TFEB,621.0,0.429366592,302.0,0.467733,0.316424958
THADA,112.0,0.415199561,352.0,0.091706,-0.185218643
THBD,2144.0,0.448063145,160.0,0.941078,0.657925208
THUMPD1,2715.0,0.455087735,225.0,-0.084157,-0.020680039
THYN1,205.0,0.377954149,484.0,0.402088,0.722812868
TIMM50,3932.0,0.424829064,722.0,-0.327674,-0.0945633
TIMM8B,2046.0,0.447942532,30.0,0.517174,-0.337726455
TK2,3965.0,0.360054507,593.0,0.108749,0.352023711
TLE1,571.0,0.374791795,1295.0,0.774636,0.282207814
TM9SF2,2020.0,0.372522209,233.0,-0.198854,-0.289007473
TMED3,1710.0,0.439016102,188.0,1.054026,-0.059580092
TMED9,708.0,0.44685712,67.0,0.001138,-0.060143406
TMEM126A,52.0,0.406087664,295.0,0.391254,0.044437995
TMEM199,2431.0,0.370998168,90.0,-0.001924,-0.57133082
TMEM63A,1407.0,0.385482014,622.0,0.147937,0.318321417
TMOD1,2050.0,0.392927141,213.0,-0.012023,0.138093451
TMSB10,278.0,0.470652003,95.0,-0.667019,-0.630011958
TNFAIP1,2409.0,0.451408648,449.0,-0.482355,-0.363919252
TNFAIP2,2079.0,0.44214387,131.0,-0.407407,-0.344410698
TNFAIP3,1995.0,0.416242917,370.0,0.465797,0.338198219
TNFAIP8L2,497.0,0.440670719,126.0,1.39905,0.458086996
TNIP1,770.0,0.448321216,241.0,0.052764,0.051839831
TNK2,822.0,0.420245651,543.0,-0.470809,0.056316789
TNPO2,2070.0,0.408799881,358.0,-0.450435,-0.372474684
TNRC18,1316.0,0.449521205,349.0,0.311382,0.141094148
TOMM5,518.0,0.441712708,107.0,-0.051546,-0.740772518
TOMM6,1957.0,0.431553434,255.0,-0.716276,0.501985266
TOP2A,1003.0,0.364102812,159.0,-0.022979,-0.452679386
TOR1A,3160.0,0.446121485,77.0,0.12659,-0.126528963
TPD52L2,1600.0,0.385071878,138.0,-0.437413,0.18884291
TPI1,620.0,0.479135356,527.0,-0.138909,0.139863388
TPM1,757.0,0.403626605,257.0,-0.609289,0.064725312
TRAF1,7433.0,0.438949906,572.0,0.247178,0.248277406
TRAF3,5716.0,0.386659664,353.0,-0.485161,0.068896668
TRAF6,6100.0,0.426668941,381.0,-0.096684,0.073032144
TRAPPC3,634.0,0.441060625,519.0,0.293908,-0.240187985
TRAPPC5,42.0,0.453352607,241.0,0.094854,0.296513219
TRAPPC6B,2539.0,0.437369008,335.0,-0.040849,0.036992295
TRAPPC9,3079.0,0.431357199,134.0,-0.402181,-0.158784859
TRIM11,3522.0,0.453298916,255.0,-0.333587,0.098023001
TRIM13,5308.0,0.419190719,763.0,-0.227901,-1.005612399
TRIM14,3117.0,0.369225689,165.0,0.378942,0.206229545
TRIM22,1215.0,0.424423711,379.0,0.655583,0.277191131
TRIM26,1431.0,0.384319522,565.0,-0.698758,-0.012497479
TRIM27,2956.0,0.441704825,359.0,-0.696754,-0.48715978
TRIM41,1657.0,0.454716896,737.0,-0.253988,0.106031396
TRIM5,2312.0,0.426412011,303.0,-0.275649,-0.134048468
TRIP12,3739.0,0.40441217,297.0,0.02034,-0.353506259
TRIP13,2852.0,0.433721983,145.0,-0.192739,-0.558195956
TRMT5,3660.0,0.405137655,572.0,0.04903,0.057679151
TRUB2,4655.0,0.434714666,759.0,-0.107477,-0.241808562
TSFM,1390.0,0.429356434,57.0,-0.22836,-0.395272906
TSPAN14,15147.0,0.398868986,305.0,-0.312779,0.5834912
TSPYL1,7303.0,0.373212405,287.0,-0.305053,0.226772666
TSR2,1366.0,0.464925113,443.0,-0.165861,0.301384498
TTC39C,3394.0,0.378954091,452.0,0.864081,0.464918247
TTC7A,2213.0,0.393400181,1272.0,0.567326,0.034533309
TTPAL,5319.0,0.425556123,145.0,-0.499043,-0.033573299
TTYH3,3063.0,0.383645273,187.0,-0.235556,0.249291848
TUBA1C,110.0,0.451729991,576.0,-0.815258,-0.489159424
TUBA4A,644.0,0.402818439,556.0,0.552046,0.225934501
TUBB,1030.0,0.390058461,509.0,-0.73136,-0.42962044
TUBB6,2302.0,0.468445054,1139.0,-0.41057,-0.074879146
TUBGCP4,1934.0,0.368175973,296.0,0.233401,0.003225723
TUSC1,1294.0,0.429789613,537.0,-0.205038,0.04312555
TXNL4A,3129.0,0.472736328,466.0,-0.456768,0.059024602
TYMP,18.0,0.429537249,376.0,0.412484,-0.033603612
TYMS,581.0,0.364557025,159.0,0.256886,-0.11620496
TYROBP,168.0,0.417048036,81.0,1.018968,0.759709095
UBAP2L,353.0,0.367068802,167.0,-0.099075,-0.257465754
UBE2B,4002.0,0.405496028,420.0,0.185042,-0.198221739
UBE2E1,1034.0,0.417917446,229.0,-0.05901,-0.233346056
UBE2L3,2365.0,0.455573936,198.0,-0.196935,-0.154827065
UBE2L6,703.0,0.431638779,653.0,0.297624,-0.313883982
UBE4B,1283.0,0.418913915,688.0,-0.280462,-0.257018401
UBIAD1,2303.0,0.446280173,334.0,0.226969,0.121477118
UBR4,797.0,0.387393976,4.0,-0.338855,-0.178716485
UBTF,2209.0,0.400105612,296.0,0.067156,0.204399774
UBXN1,220.0,0.422601268,194.0,0.225169,0.610101071
UCK2,4043.0,0.447469338,640.0,-0.671313,-0.371372701
UGGT1,5935.0,0.374564832,178.0,-0.293388,-0.110922247
UHRF1BP1,5130.0,0.373569339,234.0,-0.97394,-0.219977858
UNC45A,377.0,0.475530537,1022.0,-0.195377,-0.30116359
UNG,1024.0,0.368897526,209.0,-0.099041,-0.392009936
UNK,1388.0,0.447315534,42.0,0.025192,0.248733889
UQCR11,4379.0,0.470309826,75.0,0.384001,-0.774872539
UQCRC1,129.0,0.462829321,45.0,0.036233,-0.010309163
UQCRH,193.0,0.365128489,320.0,0.202644,-0.457475957
UROD,171.0,0.391539164,133.0,0.040709,0.054011126
UROS,3849.0,0.422413435,266.0,0.535553,0.509492618
USP18,580.0,0.434940763,338.0,0.038232,-0.211442812
USP39,571.0,0.39295741,223.0,-0.228883,-0.145842887
UTP6,2466.0,0.429918331,83.0,-0.046755,-0.12485026
VAC14,489.0,0.396517204,827.0,-0.716485,-0.324904977
VAMP8,451.0,0.398153421,156.0,-0.285566,-0.04316177
VASP,824.0,0.388921088,342.0,-0.388355,-0.047308902
VAT1,1456.0,0.406330787,120.0,0.653008,0.37952914
VDAC3,475.0,0.440388181,210.0,-0.121455,0.18023265
VDR,3209.0,0.450036866,401.0,-0.514714,0.02535783
VGLL4,2489.0,0.432812067,506.0,-0.045331,0.055763053
VIM,431.0,0.411136971,462.0,0.180217,0.069510035
VLDLR,6202.0,0.388727284,416.0,1.876057,0.25022421
VPS28,291.0,0.476756313,109.0,0.023336,-0.222797483
VPS33B,559.0,0.447669729,583.0,-0.248654,0.005804865
VPS39,2053.0,0.440628838,173.0,-0.048666,-0.020499251
VPS52,2870.0,0.393546356,887.0,-0.719358,-0.2173512
WASF2,4090.0,0.365213822,245.0,-0.019342,0.50136419
WBP2,1040.0,0.392225719,515.0,0.43184,0.333049187
WDFY2,7044.0,0.36603015,340.0,-0.079295,0.045081402
WDR1,1039.0,0.393247178,368.0,-0.248432,0.055937418
WDR36,3619.0,0.40459335,117.0,0.235857,-0.228542662
WDR37,8068.0,0.365587877,173.0,-0.849356,0.236895214
WDR4,293.0,0.380589271,581.0,-0.98095,-0.115343759
WDR47,1216.0,0.402106333,376.0,-0.064607,-0.044013353
WDR48,1924.0,0.419028298,472.0,0.064933,-0.080210857
WDR5,1979.0,0.401607191,171.0,-0.597392,0.220934767
WDR54,97.0,0.394793766,128.0,0.60435,0.084000745
WDR61,197.0,0.411764619,310.0,0.261605,-0.005535815
WDR77,4184.0,0.412330102,139.0,-0.043526,-0.146151011
WDR91,4946.0,0.380864599,823.0,-0.093627,0.367862914
WDR92,2520.0,0.427217839,117.0,-0.059328,-0.025432051
YTHDF1,1279.0,0.384821843,294.0,-0.470728,0.003838256
YTHDF3,3082.0,0.406652071,509.0,0.089161,-0.238341142
YY1,5192.0,0.440120149,480.0,0.232792,0.515474545
ZBED1,2221.0,0.457533868,282.0,0.172681,0.55859833
ZBTB8OS,1087.0,0.406816332,276.0,0.043543,-0.038520782
ZC3H12A,768.0,0.421626239,1056.0,-0.992243,0.183850569
ZC3H4,2169.0,0.436042942,38.0,0.047725,0.085806837
ZCCHC10,81.0,0.361883573,67.0,0.288723,0.435213719
ZFP36L1,2846.0,0.395541595,976.0,0.531902,0.115092418
ZMAT2,1942.0,0.460376067,101.0,-0.137731,0.272311675
ZMIZ2,4165.0,0.419562196,128.0,-0.445193,0.058972364
ZMYM3,1292.0,0.378831729,749.0,-0.451394,-0.05321656
ZNF207,13817.0,0.386696564,148.0,-0.044334,-0.155471176
ZNF414,113.0,0.422835658,118.0,0.015848,0.236858581
ZNF511,243.0,0.452392726,55.0,0.097828,0.14889773
ZNF516,4816.0,0.393186692,318.0,0.041028,-0.084853275
ZNF622,1298.0,0.463753859,120.0,-0.140681,-0.096052255
ZNHIT2,49.0,0.440612513,85.0,0.394197,0.192555182
ZNHIT3,419.0,0.425204303,73.0,0.129098,-0.044977939
ZWINT,4585.0,0.411772707,37.0,0.514942,-0.019609864
