,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EX,TCGA-A2-A0EX.1
SEC13,332.0,0.457264526,210.0,-0.104381,0.016289051
SEC14L1,2986.0,0.420320088,665.0,-0.201325,-0.060555703
SEC22A,2559.0,0.422343815,79.0,-0.006525,-0.050940276
SEC24B,1221.0,0.400931805,155.0,-0.166544,-0.010503177
SEC24D,2115.0,0.386600041,297.0,-0.338087,0.325926205
SEC61B,270.0,0.404562259,76.0,-0.118148,0.125268419
SEMA3F,960.0,0.38837398,318.0,0.233925,0.140556789
SEMA4A,755.0,0.412797256,345.0,-0.537889,0.540599953
SEMA4D,2318.0,0.393173667,572.0,-0.394783,-0.106614185
SERPINA1,1707.0,0.420489385,573.0,-0.080332,0.066671856
SERPINB8,2096.0,0.38524815,520.0,-0.198222,0.49105896
SETMAR,321.0,0.414235412,398.0,-0.045644,0.326167401
SEZ6L2,540.0,0.431800162,245.0,-0.475685,0.197391002
SF1,2419.0,0.374481437,721.0,-0.059469,0.050258689
SF3B2,563.0,0.453902675,40.0,-0.003986,0.026973295
SFXN4,500.0,0.402513841,45.0,0.338959,-0.165451906
SH3BP1,433.0,0.395530944,313.0,-0.860144,0.033901427
SH3PXD2B,4870.0,0.420952884,171.0,-0.024365,0.583475026
SHMT1,4335.0,0.394510245,509.0,0.095358,-0.00068122
SIGLEC1,1590.0,0.42099348,0.0,-2.373834,-0.327725788
SIPA1,2933.0,0.437718847,296.0,-0.303842,0.191633425
SIRPA,3027.0,0.429235057,360.0,-0.787297,0.051295254
SKP1,8791.0,0.433886974,179.0,0.373196,0.001306128
SLBP,3046.0,0.391438372,553.0,-0.384892,-0.201871909
SLC25A10,1929.0,0.386184273,191.0,-0.067586,-0.711114837
SLC25A19,477.0,0.386093473,224.0,-0.147846,-0.809853643
SLC25A20,787.0,0.382641976,199.0,-0.234641,-0.376592701
SLC25A3,504.0,0.383836987,354.0,0.344685,-0.516237698
SLC25A40,2688.0,0.363984785,375.0,-0.090408,-0.207174211
SLC25A6,450.0,0.487227384,137.0,0.730487,-0.70901906
SLC27A3,163.0,0.439664345,91.0,-0.688604,-0.363309427
SLC39A10,2661.0,0.346494338,214.0,0.22965,0.204470774
SLC43A2,6357.0,0.437839378,341.0,-0.454835,-0.051266834
SLC44A1,8291.0,0.4365497,264.0,0.536652,0.135746337
SLC9A3R1,709.0,0.400889529,235.0,-0.38376,-0.56946779
SMAP2,1225.0,0.404145004,415.0,0.224314,0.054921398
SMC1A,5954.0,0.490702048,340.0,-0.386691,0.105073822
SMG5,1363.0,0.383248033,540.0,-0.296191,-0.25863447
SMS,2660.0,0.417677888,252.0,1.616503,0.503547648
SMYD3,223.0,0.378821529,130.0,-0.02211,-0.300241125
SNRNP200,676.0,0.454045162,132.0,-0.001142,-0.063957942
SNRPC,474.0,0.427936125,450.0,-0.087727,0.007804089
SNRPD1,4386.0,0.384326147,161.0,-0.138502,0.153892925
SNRPN,279.0,0.390283395,1145.0,0.385755,0.190669293
SNX24,5071.0,0.338464018,185.0,-0.159036,0.408000833
SNX30,6144.0,0.426743352,148.0,0.33454,0.420181539
SNX33,5086.0,0.383330712,96.0,0.443065,0.369888307
SOD1,353.0,0.438546885,148.0,0.321689,-0.591116414
SOD2,13436.0,0.435065133,1828.0,-0.4177,0.078623453
SP110,3922.0,0.401738483,258.0,-0.478042,-0.361985097
SPC24,1691.0,0.381793277,320.0,-1.852756,-0.361288887
SPC25,540.0,0.373816265,131.0,-1.680735,-0.397609197
SPCS1,3333.0,0.417439524,205.0,0.076073,-0.207202135
SPI1,383.0,0.406748349,223.0,-0.584444,0.241557775
SPRYD4,1406.0,0.430591965,75.0,0.570436,-0.428869265
SQSTM1,1485.0,0.412192979,360.0,-0.092503,-0.490859068
SRC,2671.0,0.437602812,449.0,0.535379,-0.113084103
SRGAP2,3018.0,0.377689891,542.0,-0.075379,0.315564284
SRI,5365.0,0.424260151,79.0,1.243697,0.590979729
SRP19,2645.0,0.430943803,189.0,-0.269857,-0.031648476
SRPRB,1784.0,0.427990824,285.0,0.111235,-0.20120729
SRR,1392.0,0.393840903,354.0,-0.159723,0.518139717
SRXN1,2099.0,0.37663928,185.0,-0.068769,-0.124208684
SS18L2,777.0,0.45997865,208.0,0.041966,0.091732609
SSH1,5298.0,0.373517564,146.0,-0.051512,0.134948883
SSH3,2595.0,0.376349937,178.0,0.402163,0.386119379
SSR2,592.0,0.425839932,80.0,-0.178764,-0.24486646
SSR3,3698.0,0.388415977,156.0,-0.10614,-0.275029425
SSR4,87.0,0.444947593,150.0,0.169971,0.06138248
SSRP1,422.0,0.394601844,267.0,0.254913,-0.251699733
SSU72,400.0,0.445120823,325.0,0.35101,0.123214528
ST13,3666.0,0.439823793,468.0,0.735319,0.092773267
ST14,553.0,0.454138745,193.0,-0.119045,-0.240180716
STARD10,1682.0,0.427301627,944.0,0.469165,-0.408740687
STAT1,3294.0,0.408136156,388.0,-0.773501,-0.579552288
STAT2,1791.0,0.409862748,203.0,-0.47475,0.122470014
STAT6,1168.0,0.380869476,499.0,0.206537,0.297187172
STMN1,1138.0,0.394107416,364.0,-0.297407,-0.375666317
STOM,2222.0,0.387137797,117.0,1.015714,0.438011108
STOML2,531.0,0.456962681,143.0,0.374434,-0.415864324
STX11,4481.0,0.457080677,192.0,-0.676365,0.065226109
STX3,5058.0,0.403902965,547.0,-0.184633,-0.132079383
STX7,14891.0,0.417568039,327.0,0.235967,0.140972917
STX8,107.0,0.378438911,150.0,-0.08814,-0.116047162
SUCLG1,223.0,0.43877655,193.0,0.041647,-0.085638665
SUFU,3380.0,0.361614756,191.0,0.270783,0.280869919
SUMF1,999.0,0.37076871,37.0,0.382905,0.010127196
SUPT4H1,1112.0,0.438747077,103.0,0.20454,0.121204948
SURF2,1720.0,0.440503417,48.0,0.564504,0.00078956
SURF4,2281.0,0.385472445,476.0,-0.072611,0.020612985
SURF6,4908.0,0.42467207,78.0,0.101515,0.264635118
SVIP,4195.0,0.357937352,217.0,0.170171,-0.124136253
SYTL1,80.0,0.364244725,197.0,-0.374545,0.04153972
TACC3,165.0,0.385699108,155.0,-1.757918,-0.373429917
TADA2B,3064.0,0.464060586,151.0,0.517407,0.167906949
TAF12,689.0,0.435926756,522.0,0.301348,0.569777668
TAP2,5256.0,0.374969764,175.0,-1.260538,-0.626277952
TATDN2,2040.0,0.415810908,581.0,-0.126364,-0.096255093
TBC1D20,3109.0,0.435441414,148.0,-0.187418,-0.182633577
TBC1D9B,1396.0,0.395340616,37.0,0.052625,0.225593285
TBCC,556.0,0.434161456,73.0,0.032044,0.020626682
TCEAL3,260.0,0.368171822,262.0,0.211613,0.33385575
TCEAL4,3020.0,0.432120515,489.0,0.697187,0.297034213
TCOF1,1640.0,0.41523122,108.0,-0.58761,0.018623169
TDP1,1721.0,0.418036689,317.0,-0.122263,0.066002574
TDRD7,242.0,0.375852104,234.0,-0.529411,-0.153451234
TDRKH,973.0,0.419795099,182.0,-0.50379,-0.328081675
TEP1,2777.0,0.379550228,40.0,-0.760907,0.159572133
TFE3,1431.0,0.379068139,541.0,-0.185538,0.032798169
TFEB,621.0,0.429366592,302.0,-0.118828,0.124538539
THADA,112.0,0.415199561,352.0,0.153477,-0.059511965
THBD,2144.0,0.448063145,160.0,0.537836,0.145370089
THUMPD1,2715.0,0.455087735,225.0,-0.059407,0.12297443
THYN1,205.0,0.377954149,484.0,0.458492,0.534688289
TIMM50,3932.0,0.424829064,722.0,0.451012,-0.356075995
TIMM8B,2046.0,0.447942532,30.0,0.970085,0.119173767
TK2,3965.0,0.360054507,593.0,0.003493,0.122241354
TLE1,571.0,0.374791795,1295.0,-1.117009,-0.231138933
TM9SF2,2020.0,0.372522209,233.0,0.236523,-0.336376261
TMED3,1710.0,0.439016102,188.0,0.473124,-0.222182347
TMED9,708.0,0.44685712,67.0,0.01074,-0.226572359
TMEM126A,52.0,0.406087664,295.0,0.168822,-0.317689694
TMEM199,2431.0,0.370998168,90.0,0.140606,-0.227109511
TMEM63A,1407.0,0.385482014,622.0,-1.57855,-0.416959278
TMOD1,2050.0,0.392927141,213.0,0.069855,0.436535575
TMSB10,278.0,0.470652003,95.0,-0.269809,0.041064017
TNFAIP2,2079.0,0.44214387,131.0,-1.648592,-0.504851353
TNFAIP3,1995.0,0.416242917,370.0,-0.786254,-0.020613285
TNFAIP8L2,497.0,0.440670719,126.0,-0.043111,-0.191489983
TNIP1,770.0,0.448321216,241.0,-0.116575,0.165792956
TNK2,822.0,0.420245651,543.0,-0.73741,0.007048561
TNPO2,2070.0,0.408799881,358.0,-0.209401,0.055845788
TNRC18,1316.0,0.449521205,349.0,-0.512047,-0.161909565
TOMM5,518.0,0.441712708,107.0,0.466462,-0.52182547
TOP2A,1003.0,0.364102812,159.0,-1.703501,-0.912411017
TOR1A,3160.0,0.446121485,77.0,-0.135683,-0.084777402
TPD52L2,1600.0,0.385071878,138.0,-0.019815,0.21400978
TPI1,620.0,0.479135356,527.0,0.083789,0.182109857
TPM1,757.0,0.403626605,257.0,0.903072,0.491409578
TRAF1,7433.0,0.438949906,572.0,-0.593539,0.157813136
TRAF3,5716.0,0.386659664,353.0,-0.229017,-0.276673797
TRAF6,6100.0,0.426668941,381.0,-0.176502,0.111130617
TRAPPC3,634.0,0.441060625,519.0,0.133796,0.019909441
TRAPPC5,42.0,0.453352607,241.0,0.947479,-0.020242267
TRAPPC6B,2539.0,0.437369008,335.0,-0.17612,0.280011578
TRAPPC9,3079.0,0.431357199,134.0,-0.191307,-0.17944524
TRIM11,3522.0,0.453298916,255.0,-0.452593,-0.162797951
TRIM14,3117.0,0.369225689,165.0,-0.144823,-0.17843151
TRIM22,1215.0,0.424423711,379.0,-0.296797,-0.040670428
TRIM26,1431.0,0.384319522,565.0,0.02423,-0.136743037
TRIM27,2956.0,0.441704825,359.0,-0.34682,-0.362052215
TRIM41,1657.0,0.454716896,737.0,-0.405837,1.049823495
TRIM5,2312.0,0.426412011,303.0,-0.775615,0.09812915
TRIP12,3739.0,0.40441217,297.0,-0.140153,-0.09341435
TRIP13,2852.0,0.433721983,145.0,0.14139,-0.372947918
TRMT5,3660.0,0.405137655,572.0,0.253445,0.190350179
TRUB2,4655.0,0.434714666,759.0,0.440084,-0.091120556
TSFM,1390.0,0.429356434,57.0,-0.111917,-0.440672721
TSPAN14,15147.0,0.398868986,305.0,-0.244351,-0.464714042
TSPYL1,7303.0,0.373212405,287.0,0.511842,0.00672347
TSR2,1366.0,0.464925113,443.0,0.326374,0.441570303
TTC39C,3394.0,0.378954091,452.0,0.549725,0.239599078
TTC7A,2213.0,0.393400181,1272.0,-0.799794,-0.088704198
TTPAL,5319.0,0.425556123,145.0,-0.091548,0.105955332
TTYH3,3063.0,0.383645273,187.0,-0.298508,-0.064888218
TUBA1C,110.0,0.451729991,576.0,-0.375454,-0.208172176
TUBA4A,644.0,0.402818439,556.0,0.07134,-0.458936723
TUBB,1030.0,0.390058461,509.0,0.071536,-0.07784399
TUBB6,2302.0,0.468445054,1139.0,-0.234304,0.438256199
TUBGCP4,1934.0,0.368175973,296.0,-0.295062,-0.050630285
TUSC1,1294.0,0.429789613,537.0,-0.328546,-0.435294895
TXNL4A,3129.0,0.472736328,466.0,0.04843,0.054627618
TYMP,18.0,0.429537249,376.0,-1.201296,-0.414736313
TYMS,581.0,0.364557025,159.0,-1.268864,-0.583664931
TYROBP,168.0,0.417048036,81.0,-0.300142,-0.353405301
UBAP2L,353.0,0.367068802,167.0,-0.413628,-0.089432202
UBE2B,4002.0,0.405496028,420.0,0.203656,0.157185638
UBE2E1,1034.0,0.417917446,229.0,0.203255,-0.227174169
UBE2E2,1962.0,0.352966355,180.0,0.435551,0.596418941
UBE2L3,2365.0,0.455573936,198.0,-0.011854,-0.12545558
UBE2L6,703.0,0.431638779,653.0,0.102556,-0.349247154
UBE4B,1283.0,0.418913915,688.0,0.546626,0.245828005
UBIAD1,2303.0,0.446280173,334.0,0.42064,-0.029990165
UBR4,797.0,0.387393976,4.0,-0.234908,0.044720306
UBTF,2209.0,0.400105612,296.0,0.36909,0.242215845
UBXN1,220.0,0.422601268,194.0,0.702841,0.096182671
UCK2,4043.0,0.447469338,640.0,-0.402769,-0.260670511
UGGT1,5935.0,0.374564832,178.0,-0.185181,-0.082387102
UHRF1BP1,5130.0,0.373569339,234.0,-0.490504,-0.073574453
UNC45A,377.0,0.475530537,1022.0,0.353768,-0.146861111
UNG,1024.0,0.368897526,209.0,-0.281876,-0.33188059
UNK,1388.0,0.447315534,42.0,-0.22174,0.173011064
UQCR11,4379.0,0.470309826,75.0,0.366742,-0.482172892
UQCRC1,129.0,0.462829321,45.0,0.273936,-0.366452213
UQCRH,193.0,0.365128489,320.0,0.287012,-0.744165855
UROD,171.0,0.391539164,133.0,0.640306,0.147104931
UROS,3849.0,0.422413435,266.0,0.460285,0.294019074
USP18,580.0,0.434940763,338.0,-0.759115,-1.271557863
USP39,571.0,0.39295741,223.0,-0.121159,-0.185933747
UTP6,2466.0,0.429918331,83.0,-0.139662,0.076721763
VAC14,489.0,0.396517204,827.0,-0.408783,-0.017752458
VAMP8,451.0,0.398153421,156.0,0.48394,-0.026253912
VASP,824.0,0.388921088,342.0,0.216548,0.216049808
VAT1,1456.0,0.406330787,120.0,0.402751,0.442252068
VDAC3,475.0,0.440388181,210.0,0.689068,-0.688980949
VDR,3209.0,0.450036866,401.0,0.069875,0.30054313
VGLL4,2489.0,0.432812067,506.0,-0.178932,0.185218772
VIM,431.0,0.411136971,462.0,0.153497,0.331182554
VPS28,291.0,0.476756313,109.0,1.999692,0.154981361
VPS33B,559.0,0.447669729,583.0,0.062125,0.130703592
VPS39,2053.0,0.440628838,173.0,-0.042904,0.177203833
VPS52,2870.0,0.393546356,887.0,0.075959,0.110333937
WASF2,4090.0,0.365213822,245.0,0.44012,0.131108254
WBP2,1040.0,0.392225719,515.0,0.224122,-0.110078371
WDFY2,7044.0,0.36603015,340.0,0.169326,0.090833512
WDR1,1039.0,0.393247178,368.0,0.256162,0.180686093
WDR36,3619.0,0.40459335,117.0,0.283323,0.03249672
WDR37,8068.0,0.365587877,173.0,0.16109,0.17923451
WDR4,293.0,0.380589271,581.0,0.356156,-0.180123571
WDR47,1216.0,0.402106333,376.0,-0.090289,0.187174648
WDR48,1924.0,0.419028298,472.0,-0.320605,-0.009401319
WDR5,1979.0,0.401607191,171.0,0.115579,0.141774158
WDR54,97.0,0.394793766,128.0,0.940828,0.085624735
WDR61,197.0,0.411764619,310.0,0.334491,0.08229406
WDR77,4184.0,0.412330102,139.0,-0.012636,0.147927384
WDR91,4946.0,0.380864599,823.0,-0.216417,0.39611896
WDR92,2520.0,0.427217839,117.0,0.270077,0.227841676
YTHDF1,1279.0,0.384821843,294.0,-0.032031,-0.078849667
YTHDF3,3082.0,0.406652071,509.0,0.81489,0.304887255
YY1,5192.0,0.440120149,480.0,0.172863,-0.101805792
ZBED1,2221.0,0.457533868,282.0,-0.105127,-0.258172256
ZBTB8OS,1087.0,0.406816332,276.0,-0.09056,0.000806057
ZC3H12A,768.0,0.421626239,1056.0,-1.099132,0.236134028
ZC3H4,2169.0,0.436042942,38.0,-0.07643,0.051970036
ZCCHC10,81.0,0.361883573,67.0,0.135582,-0.230653369
ZCCHC2,2006.0,0.404185753,0.0,-0.742542,-0.268682629
ZFP36L1,2846.0,0.395541595,976.0,-0.010088,0.242617747
ZMAT2,1942.0,0.460376067,101.0,0.264567,-0.250649602
ZMIZ2,4165.0,0.419562196,128.0,0.022536,0.078904368
ZMYM3,1292.0,0.378831729,749.0,-0.06197,-0.120347428
ZNF207,13817.0,0.386696564,148.0,-0.10671,0.176771651
ZNF414,113.0,0.422835658,118.0,-0.494383,0.191623882
ZNF511,243.0,0.452392726,55.0,-0.144159,-0.302058087
ZNF516,4816.0,0.393186692,318.0,0.440444,0.376159225
ZNF622,1298.0,0.463753859,120.0,0.710392,-0.123523248
ZNHIT2,49.0,0.440612513,85.0,-0.006764,-0.009156094
ZNHIT3,419.0,0.425204303,73.0,0.164166,0.019965522
ZWINT,4585.0,0.411772707,37.0,-0.808671,-0.164351618
