,3prime,tAI,max_5_UTR_length,TCGA-BH-A0E9,TCGA-BH-A0E9.1
SEZ6L2,540.0,0.431800162,245.0,0.520528,0.157145693
SF1,2419.0,0.374481437,721.0,0.075752,-0.246874465
SF3B2,563.0,0.453902675,40.0,-0.44469,-0.130476469
SFXN4,500.0,0.402513841,45.0,-0.166163,0.073714591
SH3BP1,433.0,0.395530944,313.0,-0.583504,-0.01067345
SH3PXD2B,4870.0,0.420952884,171.0,0.049389,0.300800225
SHMT1,4335.0,0.394510245,509.0,0.091619,0.268463425
SIGLEC1,1590.0,0.42099348,0.0,-0.779916,-0.254159932
SIPA1,2933.0,0.437718847,296.0,-0.429025,-0.059960812
SIRPA,3027.0,0.429235057,360.0,0.080575,0.174900587
SKP1,8791.0,0.433886974,179.0,-0.097116,-0.029614328
SLBP,3046.0,0.391438372,553.0,-0.893011,-0.150331617
SLC25A10,1929.0,0.386184273,191.0,-0.570669,-0.466425555
SLC25A19,477.0,0.386093473,224.0,-1.102932,-0.438992472
SLC25A20,787.0,0.382641976,199.0,-0.413782,-0.110415262
SLC25A3,504.0,0.383836987,354.0,-0.008876,-0.385420209
SLC25A40,2688.0,0.363984785,375.0,0.386912,-0.143890066
SLC25A6,450.0,0.487227384,137.0,0.131914,0.014684385
SLC27A3,163.0,0.439664345,91.0,-0.259568,0.200586173
SLC39A10,2661.0,0.346494338,214.0,1.387957,0.473274884
SLC44A1,8291.0,0.4365497,264.0,0.586547,0.103870948
SLC9A3R1,709.0,0.400889529,235.0,-0.112256,-0.61313293
SMAP2,1225.0,0.404145004,415.0,0.129127,-0.153205314
SMC1A,5954.0,0.490702048,340.0,-0.180786,-0.06177058
SMG5,1363.0,0.383248033,540.0,0.060279,-0.154626522
SMS,2660.0,0.417677888,252.0,0.027815,-0.039323388
SMYD3,223.0,0.378821529,130.0,0.611996,0.767117487
SNRNP200,676.0,0.454045162,132.0,0.264995,-0.296195242
SNRPC,474.0,0.427936125,450.0,-0.731586,-0.252898389
SNRPD1,4386.0,0.384326147,161.0,-0.204698,-0.016920204
SNRPN,279.0,0.390283395,1145.0,0.223927,0.199571748
SNX24,5071.0,0.338464018,185.0,-0.388441,0.677771502
SNX30,6144.0,0.426743352,148.0,0.738615,0.358803508
SNX33,5086.0,0.383330712,96.0,0.38232,0.381885243
SOD1,353.0,0.438546885,148.0,-1.003171,-0.742166021
SOD2,13436.0,0.435065133,1828.0,0.118024,0.471760901
SP110,3922.0,0.401738483,258.0,-0.079838,0.186909293
SPC24,1691.0,0.381793277,320.0,-0.409799,-0.515758464
SPC25,540.0,0.373816265,131.0,-0.689837,0.115932836
SPCS1,3333.0,0.417439524,205.0,-0.517103,-0.532183775
SPI1,383.0,0.406748349,223.0,-0.642617,0.202000859
SPRYD4,1406.0,0.430591965,75.0,-0.640556,-0.524720804
SQSTM1,1485.0,0.412192979,360.0,-0.75706,-0.323324805
SRC,2671.0,0.437602812,449.0,-0.074011,-0.053805763
SRGAP2,3018.0,0.377689891,542.0,0.186899,-0.053125939
SRI,5365.0,0.424260151,79.0,-0.055581,0.282736973
SRP19,2645.0,0.430943803,189.0,-0.459046,-0.279225293
SRPRB,1784.0,0.427990824,285.0,-0.53279,-0.538691466
SRR,1392.0,0.393840903,354.0,0.14716,0.797642541
SRXN1,2099.0,0.37663928,185.0,0.592963,-0.178110018
SS18L2,777.0,0.45997865,208.0,-0.443811,-0.02838622
SSH1,5298.0,0.373517564,146.0,0.105959,0.090923587
SSH3,2595.0,0.376349937,178.0,0.33792,0.272659226
SSR2,592.0,0.425839932,80.0,0.270933,-0.506257817
SSR3,3698.0,0.388415977,156.0,0.164979,-0.342806581
SSR4,87.0,0.444947593,150.0,-0.105601,-0.25683513
SSRP1,422.0,0.394601844,267.0,-0.444163,-0.357182434
SSU72,400.0,0.445120823,325.0,-0.548956,0.142493307
ST13,3666.0,0.439823793,468.0,-0.124376,-0.109150164
ST14,553.0,0.454138745,193.0,0.702621,-0.303173572
STARD10,1682.0,0.427301627,944.0,-1.082943,-0.52291818
STAT1,3294.0,0.408136156,388.0,-0.48658,-0.474855738
STAT2,1791.0,0.409862748,203.0,-0.130971,-0.094130357
STAT6,1168.0,0.380869476,499.0,0.3603,0.095536044
STMN1,1138.0,0.394107416,364.0,-0.95819,-0.354403137
STOM,2222.0,0.387137797,117.0,-0.432894,-0.281456849
STOML2,531.0,0.456962681,143.0,-0.346571,-0.463023858
STX11,4481.0,0.457080677,192.0,-1.078592,0.439993452
STX3,5058.0,0.403902965,547.0,-0.3174,-0.114060276
STX7,14891.0,0.417568039,327.0,0.074226,0.001375774
STX8,107.0,0.378438911,150.0,-0.383586,0.069543662
SUCLG1,223.0,0.43877655,193.0,0.200495,0.053720676
SUFU,3380.0,0.361614756,191.0,0.267265,0.242879273
SUMF1,999.0,0.37076871,37.0,0.604356,0.051258035
SUPT4H1,1112.0,0.438747077,103.0,-0.503132,-0.098871388
SURF2,1720.0,0.440503417,48.0,-0.496446,-0.25781222
SURF4,2281.0,0.385472445,476.0,-0.097258,-0.307800874
SURF6,4908.0,0.42467207,78.0,0.080785,-0.143789652
SYTL1,80.0,0.364244725,197.0,-0.25569,0.201054737
TACC3,165.0,0.385699108,155.0,-1.441295,-0.606315228
TADA2B,3064.0,0.464060586,151.0,-0.272189,0.626409196
TAF12,689.0,0.435926756,522.0,-0.615348,0.582006324
TAP2,5256.0,0.374969764,175.0,-0.599363,-0.544183475
TATDN2,2040.0,0.415810908,581.0,0.017716,-1.020708793
TBC1D20,3109.0,0.435441414,148.0,0.737957,0.148390963
TBC1D9B,1396.0,0.395340616,37.0,-0.305906,0.15701411
TBCC,556.0,0.434161456,73.0,-0.190987,0.035249535
TCEAL3,260.0,0.368171822,262.0,1.056582,0.278405017
TCEAL4,3020.0,0.432120515,489.0,1.565275,0.2563789
TCOF1,1640.0,0.41523122,108.0,-0.359729,-0.427793933
TDP1,1721.0,0.418036689,317.0,0.108454,-0.073105652
TDRD7,242.0,0.375852104,234.0,0.344863,0.004778289
TDRKH,973.0,0.419795099,182.0,1.495077,0.158996876
TEP1,2777.0,0.379550228,40.0,0.319875,-0.065264319
TFE3,1431.0,0.379068139,541.0,-0.162448,-0.350953325
TFEB,621.0,0.429366592,302.0,-0.194216,0.01348174
THADA,112.0,0.415199561,352.0,0.431369,-0.078350157
THBD,2144.0,0.448063145,160.0,0.389292,0.053542902
THUMPD1,2715.0,0.455087735,225.0,0.624185,0.071403229
THYN1,205.0,0.377954149,484.0,0.209711,0.311164073
TIMM50,3932.0,0.424829064,722.0,-0.312268,-0.267781174
TIMM8B,2046.0,0.447942532,30.0,-0.27305,-0.312028659
TK2,3965.0,0.360054507,593.0,-0.084675,0.249553847
TLE1,571.0,0.374791795,1295.0,1.097073,-0.139013621
TM9SF2,2020.0,0.372522209,233.0,0.071089,-0.30888823
TMED3,1710.0,0.439016102,188.0,0.165281,0.056103894
TMED9,708.0,0.44685712,67.0,-0.906394,-0.029532561
TMEM126A,52.0,0.406087664,295.0,-0.364873,0.63190683
TMEM199,2431.0,0.370998168,90.0,-0.384853,-0.442939939
TMEM63A,1407.0,0.385482014,622.0,0.958995,-0.144400121
TMOD1,2050.0,0.392927141,213.0,0.214648,0.9075608
TMSB10,278.0,0.470652003,95.0,-0.237682,1.052657578
TNFAIP2,2079.0,0.44214387,131.0,-0.492665,-0.405452002
TNFAIP3,1995.0,0.416242917,370.0,0.447085,0.325277926
TNFAIP8L2,497.0,0.440670719,126.0,-0.114805,-0.430718036
TNIP1,770.0,0.448321216,241.0,-0.423646,0.108676695
TNK2,822.0,0.420245651,543.0,0.331571,0.026439858
TNPO2,2070.0,0.408799881,358.0,0.014777,-0.311003274
TNRC18,1316.0,0.449521205,349.0,0.859633,0.110669487
TOMM5,518.0,0.441712708,107.0,-0.500726,-0.284964709
TOP2A,1003.0,0.364102812,159.0,-0.882719,-0.014737825
TOR1A,3160.0,0.446121485,77.0,0.423113,0.009571587
TPD52L2,1600.0,0.385071878,138.0,-0.258603,-0.050793267
TPI1,620.0,0.479135356,527.0,-0.812073,0.054016008
TPM1,757.0,0.403626605,257.0,0.044286,1.032043482
TRAF1,7433.0,0.438949906,572.0,0.251179,0.322645422
TRAF3,5716.0,0.386659664,353.0,-0.291078,0.64630824
TRAF6,6100.0,0.426668941,381.0,0.237711,0.003143087
TRAPPC3,634.0,0.441060625,519.0,-0.655171,-0.236509908
TRAPPC5,42.0,0.453352607,241.0,-0.298129,-0.374792313
TRAPPC6B,2539.0,0.437369008,335.0,0.105432,0.098729384
TRAPPC9,3079.0,0.431357199,134.0,-0.70471,-0.31499781
TRIM11,3522.0,0.453298916,255.0,0.554858,-0.692690795
TRIM13,5308.0,0.419190719,763.0,0.043155,-0.476513766
TRIM14,3117.0,0.369225689,165.0,0.485914,-0.346187544
TRIM22,1215.0,0.424423711,379.0,0.204743,-0.008197379
TRIM26,1431.0,0.384319522,565.0,-0.250518,0.079333023
TRIM27,2956.0,0.441704825,359.0,-0.145481,-0.120352118
TRIM41,1657.0,0.454716896,737.0,-0.238561,0.025801749
TRIM5,2312.0,0.426412011,303.0,0.15807,0.173100002
TRIP12,3739.0,0.40441217,297.0,0.556637,-0.251675855
TRIP13,2852.0,0.433721983,145.0,-1.358327,-0.451131739
TRMT5,3660.0,0.405137655,572.0,0.492785,-0.094601867
TRUB2,4655.0,0.434714666,759.0,-0.088706,0.593577643
TSFM,1390.0,0.429356434,57.0,-0.24207,-0.142859993
TSPAN14,15147.0,0.398868986,305.0,0.484971,0.412540718
TSPYL1,7303.0,0.373212405,287.0,0.473008,0.212998183
TSR2,1366.0,0.464925113,443.0,-0.36097,0.330866822
TTC39C,3394.0,0.378954091,452.0,0.404292,0.066463551
TTC7A,2213.0,0.393400181,1272.0,-0.095215,0.262342166
TTPAL,5319.0,0.425556123,145.0,0.156379,-0.145569627
TUBA1C,110.0,0.451729991,576.0,-1.315455,-0.300316706
TUBA4A,644.0,0.402818439,556.0,-0.820218,-0.538044692
TUBB,1030.0,0.390058461,509.0,-0.644687,-0.025010367
TUBB6,2302.0,0.468445054,1139.0,-0.287889,0.169410823
TUBGCP4,1934.0,0.368175973,296.0,0.134294,-0.145377024
TUSC1,1294.0,0.429789613,537.0,0.167192,-0.196570602
TXNL4A,3129.0,0.472736328,466.0,-0.3749,-0.461827899
TYMP,18.0,0.429537249,376.0,-1.261465,-0.287586046
TYMS,581.0,0.364557025,159.0,-0.351112,-0.348859429
TYROBP,168.0,0.417048036,81.0,-0.840509,-0.48835536
UBAP2L,353.0,0.367068802,167.0,0.158036,-0.408498659
UBE2B,4002.0,0.405496028,420.0,-0.536564,-0.034358722
UBE2E1,1034.0,0.417917446,229.0,-0.400266,-0.350527921
UBE2L3,2365.0,0.455573936,198.0,-0.249296,-0.172439536
UBE2L6,703.0,0.431638779,653.0,-0.503332,-0.438868392
UBE4B,1283.0,0.418913915,688.0,-0.313482,-0.464353875
UBIAD1,2303.0,0.446280173,334.0,0.015322,-0.19629283
UBR4,797.0,0.387393976,4.0,0.133907,-0.220067262
UBTF,2209.0,0.400105612,296.0,-0.029684,0.153257484
UBXN1,220.0,0.422601268,194.0,-0.454064,-0.059564556
UCK2,4043.0,0.447469338,640.0,0.087851,-0.357613481
UGGT1,5935.0,0.374564832,178.0,0.815123,-0.009926959
UHRF1BP1,5130.0,0.373569339,234.0,0.258593,-0.311631443
UNC45A,377.0,0.475530537,1022.0,-0.418019,-0.241922956
UNG,1024.0,0.368897526,209.0,0.386188,-0.325947059
UNK,1388.0,0.447315534,42.0,0.182236,0.054541787
UQCR11,4379.0,0.470309826,75.0,-0.150582,-0.540228933
UQCRC1,129.0,0.462829321,45.0,-0.910425,-0.176660901
UQCRH,193.0,0.365128489,320.0,-0.639552,-0.5401054
UROD,171.0,0.391539164,133.0,-0.760892,0.079226037
UROS,3849.0,0.422413435,266.0,-0.576024,0.000483841
USP18,580.0,0.434940763,338.0,-0.091277,-0.287897888
USP39,571.0,0.39295741,223.0,0.245795,-0.359708538
UTP6,2466.0,0.429918331,83.0,-0.286415,-0.309233141
VAC14,489.0,0.396517204,827.0,-0.445281,-0.143521739
VAMP8,451.0,0.398153421,156.0,-0.056195,-0.216530728
VASP,824.0,0.388921088,342.0,-0.414546,-0.104121333
VAT1,1456.0,0.406330787,120.0,-0.339853,0.161283208
VDAC3,475.0,0.440388181,210.0,-0.202205,0.04264014
VDR,3209.0,0.450036866,401.0,0.042327,0.037775816
VGLL4,2489.0,0.432812067,506.0,0.115853,0.092408158
VIM,431.0,0.411136971,462.0,-0.02889,0.64325973
VPS28,291.0,0.476756313,109.0,-0.820445,-0.178014015
VPS33B,559.0,0.447669729,583.0,-0.0905,0.082672783
VPS39,2053.0,0.440628838,173.0,0.295895,0.001565157
VPS52,2870.0,0.393546356,887.0,-0.145158,0.130000393
WASF2,4090.0,0.365213822,245.0,0.062153,0.128234776
WBP2,1040.0,0.392225719,515.0,-0.555904,-0.662747659
WDFY2,7044.0,0.36603015,340.0,-0.124829,0.188475094
WDR1,1039.0,0.393247178,368.0,-0.464382,-0.090551919
WDR36,3619.0,0.40459335,117.0,0.059563,-0.186208109
WDR37,8068.0,0.365587877,173.0,0.335047,-0.071521554
WDR4,293.0,0.380589271,581.0,-0.692898,-0.33797409
WDR47,1216.0,0.402106333,376.0,0.320323,0.067186455
WDR48,1924.0,0.419028298,472.0,0.422005,0.123588745
WDR5,1979.0,0.401607191,171.0,0.028979,0.036925029
WDR54,97.0,0.394793766,128.0,-0.898677,-0.088307903
WDR61,197.0,0.411764619,310.0,-0.171791,0.083881002
WDR77,4184.0,0.412330102,139.0,-0.343071,-0.352429649
WDR91,4946.0,0.380864599,823.0,0.469322,0.116910303
WDR92,2520.0,0.427217839,117.0,0.530959,0.087849285
YTHDF1,1279.0,0.384821843,294.0,-0.089382,-0.178872165
YTHDF3,3082.0,0.406652071,509.0,-0.093619,-0.136887147
YY1,5192.0,0.440120149,480.0,0.19802,-0.278990371
ZBED1,2221.0,0.457533868,282.0,0.374039,0.235419399
ZBTB8OS,1087.0,0.406816332,276.0,-0.596178,-0.380461415
ZC3H12A,768.0,0.421626239,1056.0,0.423223,-0.03166809
ZC3H4,2169.0,0.436042942,38.0,0.272639,-0.101347502
ZCCHC2,2006.0,0.404185753,0.0,0.698412,0.453600286
ZFP36L1,2846.0,0.395541595,976.0,1.494285,-0.084113761
ZMAT2,1942.0,0.460376067,101.0,-0.20001,-0.310750507
ZMIZ2,4165.0,0.419562196,128.0,0.196674,-0.078046148
ZMYM3,1292.0,0.378831729,749.0,0.049529,-0.073285673
ZNF207,13817.0,0.386696564,148.0,0.010676,-0.30756311
ZNF414,113.0,0.422835658,118.0,0.278399,0.123605125
ZNF511,243.0,0.452392726,55.0,-0.65197,-0.381452661
ZNF516,4816.0,0.393186692,318.0,1.221818,0.165431385
ZNF622,1298.0,0.463753859,120.0,-0.275364,-0.084367724
ZNHIT2,49.0,0.440612513,85.0,-0.313694,0.059116362
ZNHIT3,419.0,0.425204303,73.0,-0.168604,-1.13292468
ZWINT,4585.0,0.411772707,37.0,-0.77143,0.113485551
