,3prime,tAI,max_5_UTR_length,TCGA-A7-A13F,TCGA-A7-A13F.1
SEMA4D,2318.0,0.393173667,572.0,-0.553186,-0.188595854
SERPINA1,1707.0,0.420489385,573.0,0.768001,-0.0127671
SERPINB8,2096.0,0.38524815,520.0,-0.587305,-0.692461722
SETMAR,321.0,0.414235412,398.0,-0.22062,0.255716807
SEZ6L2,540.0,0.431800162,245.0,1.462792,0.375018393
SF1,2419.0,0.374481437,721.0,-0.334028,-0.00062418
SF3B2,563.0,0.453902675,40.0,0.035761,-0.030543294
SFXN4,500.0,0.402513841,45.0,0.321111,0.690620384
SH3BP1,433.0,0.395530944,313.0,0.620499,0.130652694
SH3PXD2B,4870.0,0.420952884,171.0,-0.414586,0.228468494
SHMT1,4335.0,0.394510245,509.0,0.960022,0.405595624
SIGLEC1,1590.0,0.42099348,0.0,-1.367173,-0.591466225
SIPA1,2933.0,0.437718847,296.0,-0.231282,0.096152894
SIRPA,3027.0,0.429235057,360.0,-0.258525,-0.112285952
SKP1,8791.0,0.433886974,179.0,0.337036,0.11026767
SLBP,3046.0,0.391438372,553.0,0.161668,0.055471373
SLC25A10,1929.0,0.386184273,191.0,1.006391,0.065547486
SLC25A19,477.0,0.386093473,224.0,0.612357,0.116614238
SLC25A20,787.0,0.382641976,199.0,0.694308,0.228293377
SLC25A3,504.0,0.383836987,354.0,0.296597,0.512721911
SLC25A40,2688.0,0.363984785,375.0,0.332855,0.186883743
SLC25A6,450.0,0.487227384,137.0,-0.661516,0.062930941
SLC27A3,163.0,0.439664345,91.0,0.748726,0.123111315
SLC39A10,2661.0,0.346494338,214.0,1.552342,0.59563256
SLC43A3,838.0,0.382351997,447.0,0.191215,-0.613256722
SLC44A1,8291.0,0.4365497,264.0,-0.225967,-0.296913283
SLC9A3R1,709.0,0.400889529,235.0,1.24592,0.663987158
SMAP2,1225.0,0.404145004,415.0,-0.144052,-0.126743111
SMC1A,5954.0,0.490702048,340.0,0.68041,0.024217232
SMG5,1363.0,0.383248033,540.0,-0.417339,-0.002131688
SMS,2660.0,0.417677888,252.0,0.00052,-0.433246682
SMYD3,223.0,0.378821529,130.0,-1.504669,-0.487008195
SNRNP200,676.0,0.454045162,132.0,0.092869,-0.050749514
SNRPC,474.0,0.427936125,450.0,0.25646,-0.009818374
SNRPD1,4386.0,0.384326147,161.0,-0.140792,-0.03943586
SNRPN,279.0,0.390283395,1145.0,-0.237298,0.135505481
SNX24,5071.0,0.338464018,185.0,1.353583,0.10570936
SNX30,6144.0,0.426743352,148.0,-1.283138,-0.034565223
SNX33,5086.0,0.383330712,96.0,0.13881,0.21588763
SOD1,353.0,0.438546885,148.0,0.702249,-0.175684097
SOD2,13436.0,0.435065133,1828.0,-1.236489,-0.252111465
SP110,3922.0,0.401738483,258.0,-0.857566,-0.636644808
SPC24,1691.0,0.381793277,320.0,1.563232,0.780481657
SPC25,540.0,0.373816265,131.0,1.316673,0.649122341
SPCS1,3333.0,0.417439524,205.0,1.015021,-0.003735797
SPI1,383.0,0.406748349,223.0,0.118903,-0.186833159
SPRYD4,1406.0,0.430591965,75.0,0.212457,-0.145118276
SQSTM1,1485.0,0.412192979,360.0,-0.294553,-0.383430194
SRC,2671.0,0.437602812,449.0,-0.44963,-0.300838422
SRGAP2,3018.0,0.377689891,542.0,0.662985,0.132645666
SRI,5365.0,0.424260151,79.0,-1.39414,-0.737961435
SRP19,2645.0,0.430943803,189.0,-0.035536,-0.335212907
SRPRB,1784.0,0.427990824,285.0,0.415517,-0.13311893
SRR,1392.0,0.393840903,354.0,0.04385,-0.216116345
SRXN1,2099.0,0.37663928,185.0,0.19033,-0.11227915
SS18L2,777.0,0.45997865,208.0,0.015984,0.135608622
SSH1,5298.0,0.373517564,146.0,-0.601816,0.210954582
SSH3,2595.0,0.376349937,178.0,0.180049,0.29764176
SSR2,592.0,0.425839932,80.0,0.365986,0.137684177
SSR3,3698.0,0.388415977,156.0,0.282594,0.269119903
SSR4,87.0,0.444947593,150.0,0.449275,-0.085591285
SSRP1,422.0,0.394601844,267.0,0.22943,-0.355398363
SSU72,400.0,0.445120823,325.0,-0.34312,-0.115919426
ST13,3666.0,0.439823793,468.0,0.529457,0.264054736
ST14,553.0,0.454138745,193.0,0.262588,0.034368265
ST3GAL4,594.0,0.39537481,557.0,0.356648,-0.361983863
STARD10,1682.0,0.427301627,944.0,1.100012,0.18140989
STAT1,3294.0,0.408136156,388.0,-1.302456,-1.010469512
STAT2,1791.0,0.409862748,203.0,-0.345932,0.072090102
STAT6,1168.0,0.380869476,499.0,-0.196595,0.147407749
STMN1,1138.0,0.394107416,364.0,0.593409,0.101419992
STOM,2222.0,0.387137797,117.0,0.783092,0.082703249
STOML2,531.0,0.456962681,143.0,0.214327,-0.252699802
STX11,4481.0,0.457080677,192.0,-1.401341,-0.23351565
STX3,5058.0,0.403902965,547.0,-0.756016,-0.204969061
STX7,14891.0,0.417568039,327.0,-1.151834,-0.690965431
STX8,107.0,0.378438911,150.0,0.132363,-0.013706574
SUCLG1,223.0,0.43877655,193.0,-0.524974,-0.349267007
SUFU,3380.0,0.361614756,191.0,-0.082448,0.112849289
SUMF1,999.0,0.37076871,37.0,1.839563,0.82095833
SUPT4H1,1112.0,0.438747077,103.0,0.227438,0.010552249
SURF2,1720.0,0.440503417,48.0,-0.728997,-0.047526291
SURF4,2281.0,0.385472445,476.0,-0.202098,-0.139287341
SURF6,4908.0,0.42467207,78.0,-0.94468,0.047554896
SUV39H1,1669.0,0.463566826,266.0,0.547337,-0.057457039
SVIP,4195.0,0.357937352,217.0,0.431672,-0.433972453
SYTL1,80.0,0.364244725,197.0,-0.1772,0.085158947
TACC3,165.0,0.385699108,155.0,0.685183,0.227586497
TADA2B,3064.0,0.464060586,151.0,-0.752218,0.354712038
TAF12,689.0,0.435926756,522.0,-0.411696,-0.130360789
TAP2,5256.0,0.374969764,175.0,-1.6947,-0.889646994
TATDN2,2040.0,0.415810908,581.0,-0.017941,-0.314478075
TBC1D20,3109.0,0.435441414,148.0,-0.420592,-0.027794444
TBC1D9B,1396.0,0.395340616,37.0,0.400444,0.222198224
TBCC,556.0,0.434161456,73.0,-0.155906,0.166657598
TCEAL3,260.0,0.368171822,262.0,1.348104,1.004787417
TCEAL4,3020.0,0.432120515,489.0,1.79344,0.950493457
TCOF1,1640.0,0.41523122,108.0,0.398966,0.453697319
TDP1,1721.0,0.418036689,317.0,-0.698891,-0.193226224
TDRD7,242.0,0.375852104,234.0,-0.09745,-0.047910992
TDRKH,973.0,0.419795099,182.0,0.498692,0.093340229
TEP1,2777.0,0.379550228,40.0,-1.202617,-0.447034272
TFE3,1431.0,0.379068139,541.0,-0.109996,0.361836852
TFEB,621.0,0.429366592,302.0,-0.625795,0.019262009
THADA,112.0,0.415199561,352.0,-0.053051,-0.064497321
THBD,2144.0,0.448063145,160.0,1.889895,0.24680984
THUMPD1,2715.0,0.455087735,225.0,-0.936751,-0.28467656
THYN1,205.0,0.377954149,484.0,-0.536275,0.095774618
TIMM50,3932.0,0.424829064,722.0,0.135673,-0.016174381
TIMM8B,2046.0,0.447942532,30.0,0.513697,0.566105572
TK2,3965.0,0.360054507,593.0,0.050796,0.039081084
TLE1,571.0,0.374791795,1295.0,-2.786528,-0.344910587
TM9SF2,2020.0,0.372522209,233.0,-0.074882,-0.42301306
TMED3,1710.0,0.439016102,188.0,1.673858,-0.023627779
TMED9,708.0,0.44685712,67.0,0.6838,0.000764574
TMEM126A,52.0,0.406087664,295.0,0.034991,-0.047774899
TMEM199,2431.0,0.370998168,90.0,0.799227,-0.301932797
TMEM63A,1407.0,0.385482014,622.0,-0.31271,0.317419531
TMOD1,2050.0,0.392927141,213.0,-1.606453,-0.400194943
TMSB10,278.0,0.470652003,95.0,-1.32638,0.110865822
TNFAIP1,2409.0,0.451408648,449.0,0.223546,0.018924259
TNFAIP2,2079.0,0.44214387,131.0,-0.656136,-0.424675909
TNFAIP3,1995.0,0.416242917,370.0,-0.840046,-0.076817978
TNFAIP8L2,497.0,0.440670719,126.0,-0.438053,-0.263463499
TNIP1,770.0,0.448321216,241.0,-0.355999,-0.014808478
TNK2,822.0,0.420245651,543.0,-0.462608,-0.170109046
TNPO2,2070.0,0.408799881,358.0,0.230771,0.179486089
TNRC18,1316.0,0.449521205,349.0,-0.018418,0.280044674
TOMM5,518.0,0.441712708,107.0,0.258757,0.0795405
TOP2A,1003.0,0.364102812,159.0,1.483903,0.438705858
TOR1A,3160.0,0.446121485,77.0,-0.001229,-0.159838829
TPD52L2,1600.0,0.385071878,138.0,-0.368959,-0.102902606
TPI1,620.0,0.479135356,527.0,0.076359,0.077447678
TPM1,757.0,0.403626605,257.0,-0.09348,-0.271982261
TRAF1,7433.0,0.438949906,572.0,-1.489645,-0.297482487
TRAF3,5716.0,0.386659664,353.0,-1.010337,-0.289840136
TRAF6,6100.0,0.426668941,381.0,-0.99269,-0.037110826
TRAPPC3,634.0,0.441060625,519.0,0.192535,0.137750675
TRAPPC5,42.0,0.453352607,241.0,0.710441,0.407840497
TRAPPC6B,2539.0,0.437369008,335.0,-0.878536,-0.080772685
TRAPPC9,3079.0,0.431357199,134.0,0.628797,-0.010154014
TRIM11,3522.0,0.453298916,255.0,-0.157382,0.140526996
TRIM13,5308.0,0.419190719,763.0,-1.062894,-0.825878575
TRIM14,3117.0,0.369225689,165.0,-0.774421,-0.290231627
TRIM22,1215.0,0.424423711,379.0,-2.090359,-0.267548697
TRIM26,1431.0,0.384319522,565.0,-0.37218,0.171967757
TRIM27,2956.0,0.441704825,359.0,-0.116655,0.008933256
TRIM41,1657.0,0.454716896,737.0,0.050246,0.362134931
TRIM5,2312.0,0.426412011,303.0,-0.834134,-0.264803627
TRIP12,3739.0,0.40441217,297.0,-0.095315,-0.169303292
TRIP13,2852.0,0.433721983,145.0,1.575575,0.106084338
TRMT5,3660.0,0.405137655,572.0,-1.018364,-0.497538691
TRUB2,4655.0,0.434714666,759.0,0.619393,-0.10753586
TSFM,1390.0,0.429356434,57.0,0.412949,-0.072811533
TSPAN14,15147.0,0.398868986,305.0,-0.009515,-0.144933258
TSPYL1,7303.0,0.373212405,287.0,-0.684723,-0.344197747
TSR2,1366.0,0.464925113,443.0,-0.541052,0.249901138
TTC39C,3394.0,0.378954091,452.0,-1.326774,-0.87555688
TTC7A,2213.0,0.393400181,1272.0,0.300946,0.038096703
TTPAL,5319.0,0.425556123,145.0,-0.091803,0.256182692
TTYH3,3063.0,0.383645273,187.0,-0.03857,-0.467133953
TUBA1C,110.0,0.451729991,576.0,0.433142,-0.220559585
TUBA4A,644.0,0.402818439,556.0,1.906387,0.204368382
TUBB,1030.0,0.390058461,509.0,1.012121,-0.17065895
TUBB6,2302.0,0.468445054,1139.0,-1.08788,-0.251763759
TUBGCP4,1934.0,0.368175973,296.0,0.88713,0.002637528
TUSC1,1294.0,0.429789613,537.0,-0.593176,-0.270928531
TXNL4A,3129.0,0.472736328,466.0,0.078154,0.130324996
TYMP,18.0,0.429537249,376.0,-0.527513,-0.203908439
TYMS,581.0,0.364557025,159.0,1.404156,0.57742943
TYROBP,168.0,0.417048036,81.0,-0.07176,-0.115940977
UBAP2L,353.0,0.367068802,167.0,0.688164,0.433772847
UBE2B,4002.0,0.405496028,420.0,0.026009,0.12593576
UBE2E1,1034.0,0.417917446,229.0,0.003904,-0.71072737
UBE2E2,1962.0,0.352966355,180.0,-1.532987,-0.133195896
UBE2L3,2365.0,0.455573936,198.0,0.535848,0.243332458
UBE2L6,703.0,0.431638779,653.0,-1.256731,-0.849215591
UBE4B,1283.0,0.418913915,688.0,-0.72591,-0.245424108
UBR4,797.0,0.387393976,4.0,-0.529981,-0.148849608
UBTF,2209.0,0.400105612,296.0,0.067843,0.319373381
UBXN1,220.0,0.422601268,194.0,-0.899014,-0.016621099
UCK2,4043.0,0.447469338,640.0,0.197622,0.325173287
UGGT1,5935.0,0.374564832,178.0,0.452876,-0.114458487
UHRF1BP1,5130.0,0.373569339,234.0,0.843067,0.526626505
UNC45A,377.0,0.475530537,1022.0,0.754177,0.349718068
UNG,1024.0,0.368897526,209.0,1.318395,0.388235105
UNK,1388.0,0.447315534,42.0,0.023732,0.367718741
UQCR11,4379.0,0.470309826,75.0,0.79918,-0.065616888
UQCRC1,129.0,0.462829321,45.0,0.810747,-0.120613319
UQCRH,193.0,0.365128489,320.0,0.386304,-0.377830319
UROD,171.0,0.391539164,133.0,0.461936,0.431893259
UROS,3849.0,0.422413435,266.0,-0.074984,0.036226453
USP18,580.0,0.434940763,338.0,-0.497976,-0.774795789
USP39,571.0,0.39295741,223.0,-0.191964,-0.025138677
UTP6,2466.0,0.429918331,83.0,0.318554,-0.106370904
VAC14,489.0,0.396517204,827.0,0.089822,-0.029752931
VAMP8,451.0,0.398153421,156.0,0.176452,-0.115271434
VASP,824.0,0.388921088,342.0,0.209485,0.181737616
VAT1,1456.0,0.406330787,120.0,0.718072,0.252976617
VDAC3,475.0,0.440388181,210.0,0.472216,-0.024501296
VDR,3209.0,0.450036866,401.0,0.022771,0.306621344
VGLL4,2489.0,0.432812067,506.0,-0.308331,-0.064200649
VIM,431.0,0.411136971,462.0,-0.645708,-0.279546867
VLDLR,6202.0,0.388727284,416.0,-0.332855,-0.065913462
VPS28,291.0,0.476756313,109.0,0.417449,0.052492347
VPS33B,559.0,0.447669729,583.0,-0.010428,-0.172256678
VPS39,2053.0,0.440628838,173.0,0.543148,0.223337627
VPS52,2870.0,0.393546356,887.0,0.613728,0.139914947
WASF2,4090.0,0.365213822,245.0,-1.015112,0.165958403
WBP2,1040.0,0.392225719,515.0,0.155347,0.241156607
WDFY2,7044.0,0.36603015,340.0,-1.459488,-0.229001221
WDR1,1039.0,0.393247178,368.0,0.636304,0.088452648
WDR36,3619.0,0.40459335,117.0,0.096934,-0.04234568
WDR37,8068.0,0.365587877,173.0,-1.471493,-0.228421386
WDR4,293.0,0.380589271,581.0,0.01817,0.111633773
WDR47,1216.0,0.402106333,376.0,-0.132324,-0.107441191
WDR48,1924.0,0.419028298,472.0,0.053218,-0.066957914
WDR5,1979.0,0.401607191,171.0,-0.585441,-0.088489737
WDR54,97.0,0.394793766,128.0,-0.787826,-0.475541847
WDR61,197.0,0.411764619,310.0,1.015891,0.205000233
WDR77,4184.0,0.412330102,139.0,0.532742,-0.342972811
WDR91,4946.0,0.380864599,823.0,-0.49437,0.213824216
WDR92,2520.0,0.427217839,117.0,0.485569,0.255482858
YTHDF1,1279.0,0.384821843,294.0,-0.589006,-0.015975322
YTHDF3,3082.0,0.406652071,509.0,0.127674,0.33178066
YY1,5192.0,0.440120149,480.0,-0.366622,-0.051642265
ZBED1,2221.0,0.457533868,282.0,-0.111463,-0.144770994
ZBTB8OS,1087.0,0.406816332,276.0,0.313785,0.451021921
ZC3H12A,768.0,0.421626239,1056.0,-0.140532,0.139549929
ZC3H4,2169.0,0.436042942,38.0,-0.239537,-0.009428232
ZCCHC2,2006.0,0.404185753,0.0,-0.801408,-0.181392991
ZFP36L1,2846.0,0.395541595,976.0,0.733393,0.268422466
ZMAT2,1942.0,0.460376067,101.0,0.275404,0.251153801
ZMIZ2,4165.0,0.419562196,128.0,-0.564987,-0.294965312
ZMYM3,1292.0,0.378831729,749.0,0.156446,0.208964031
ZNF207,13817.0,0.386696564,148.0,0.271357,0.104601195
ZNF414,113.0,0.422835658,118.0,-0.102049,0.171599836
ZNF511,243.0,0.452392726,55.0,-0.349762,0.049755099
ZNF516,4816.0,0.393186692,318.0,-0.546129,0.082945605
ZNF622,1298.0,0.463753859,120.0,-0.462192,0.10359389
ZNHIT2,49.0,0.440612513,85.0,-0.579771,0.197476084
ZNHIT3,419.0,0.425204303,73.0,0.64961,0.18560132
ZWINT,4585.0,0.411772707,37.0,1.49258,0.839857275
