,3prime,tAI,max_5_UTR_length,TCGA-E2-A158,TCGA-E2-A158.1
SEMA3F,960.0,0.38837398,318.0,-2.621966,-0.896218192
SEMA4A,755.0,0.412797256,345.0,1.993328,-0.01076679
SEMA4D,2318.0,0.393173667,572.0,1.019973,0.715724459
SERPINA1,1707.0,0.420489385,573.0,-3.131672,-1.020163639
SERPINB8,2096.0,0.38524815,520.0,1.228379,0.039058778
SETMAR,321.0,0.414235412,398.0,0.210577,0.551977616
SEZ6L2,540.0,0.431800162,245.0,0.067248,0.045298824
SF1,2419.0,0.374481437,721.0,0.003425,0.359954196
SF3B2,563.0,0.453902675,40.0,0.306187,0.362764353
SFXN4,500.0,0.402513841,45.0,-0.416838,0.334245868
SH3BP1,433.0,0.395530944,313.0,0.855791,-0.01735138
SH3PXD2B,4870.0,0.420952884,171.0,-1.164264,-0.576854598
SHMT1,4335.0,0.394510245,509.0,-0.957662,-0.634639951
SIGLEC1,1590.0,0.42099348,0.0,-2.349372,-0.090785639
SIPA1,2933.0,0.437718847,296.0,-0.609469,-0.216318028
SIRPA,3027.0,0.429235057,360.0,-3.012716,-0.243563998
SKP1,8791.0,0.433886974,179.0,-0.843355,-0.380059394
SLBP,3046.0,0.391438372,553.0,0.271001,0.381295191
SLC25A10,1929.0,0.386184273,191.0,-0.996956,-0.010410026
SLC25A19,477.0,0.386093473,224.0,0.530157,0.728392886
SLC25A20,787.0,0.382641976,199.0,-1.313285,-0.004934783
SLC25A3,504.0,0.383836987,354.0,0.359314,0.785276149
SLC25A40,2688.0,0.363984785,375.0,0.242691,0.074785314
SLC25A42,2156.0,0.366871382,156.0,0.899645,0.484538309
SLC25A6,450.0,0.487227384,137.0,0.380295,1.08575557
SLC27A3,163.0,0.439664345,91.0,-1.989278,-0.513349865
SLC39A10,2661.0,0.346494338,214.0,-0.087531,0.177621334
SLC43A3,838.0,0.382351997,447.0,0.726174,0.28894585
SLC44A1,8291.0,0.4365497,264.0,0.438505,0.877338678
SLC9A3R1,709.0,0.400889529,235.0,-1.662227,-1.12637166
SMAP2,1225.0,0.404145004,415.0,-0.302845,-0.219158543
SMC1A,5954.0,0.490702048,340.0,-0.145959,0.375615687
SMG5,1363.0,0.383248033,540.0,1.007826,0.099268655
SMS,2660.0,0.417677888,252.0,-0.227027,-0.05089775
SMYD3,223.0,0.378821529,130.0,1.11196,0.441359752
SNRNP200,676.0,0.454045162,132.0,0.135633,0.40550815
SNRPC,474.0,0.427936125,450.0,0.315254,0.457731223
SNRPD1,4386.0,0.384326147,161.0,0.635638,0.497475578
SNRPN,279.0,0.390283395,1145.0,-0.721327,0.363786665
SNX24,5071.0,0.338464018,185.0,0.018431,0.177125129
SNX30,6144.0,0.426743352,148.0,0.765517,0.368084901
SNX33,5086.0,0.383330712,96.0,0.681849,0.091015071
SOD1,353.0,0.438546885,148.0,0.119215,-0.287008998
SOD2,13436.0,0.435065133,1828.0,-0.902512,-0.095164665
SP110,3922.0,0.401738483,258.0,-2.989415,-0.683340416
SPC24,1691.0,0.381793277,320.0,-0.206047,-0.218061275
SPC25,540.0,0.373816265,131.0,0.060406,-0.408016845
SPCS1,3333.0,0.417439524,205.0,-0.942544,0.13290649
SPI1,383.0,0.406748349,223.0,-2.360709,-0.215594434
SPRYD4,1406.0,0.430591965,75.0,-1.488906,-0.435302353
SQSTM1,1485.0,0.412192979,360.0,-1.821757,-1.305264194
SRC,2671.0,0.437602812,449.0,0.522779,0.078496573
SRGAP2,3018.0,0.377689891,542.0,0.434275,0.004058059
SRI,5365.0,0.424260151,79.0,-0.615771,-0.487297704
SRP19,2645.0,0.430943803,189.0,-0.273639,-0.60944508
SRPRB,1784.0,0.427990824,285.0,0.135509,0.697329464
SRR,1392.0,0.393840903,354.0,-0.633253,-0.965205989
SRXN1,2099.0,0.37663928,185.0,-1.541598,-0.551277216
SS18L2,777.0,0.45997865,208.0,-0.554885,0.474986695
SSH1,5298.0,0.373517564,146.0,-0.440662,-0.420369235
SSH3,2595.0,0.376349937,178.0,-1.063334,-0.728073961
SSR2,592.0,0.425839932,80.0,0.303863,0.302506717
SSR3,3698.0,0.388415977,156.0,0.469235,0.931505969
SSR4,87.0,0.444947593,150.0,0.12458,0.031253248
SSRP1,422.0,0.394601844,267.0,0.782242,0.358029957
SSU72,400.0,0.445120823,325.0,-0.586379,0.174058528
ST13,3666.0,0.439823793,468.0,-0.141822,-0.447713942
ST14,553.0,0.454138745,193.0,0.630222,-0.262926432
ST3GAL4,594.0,0.39537481,557.0,1.60488,0.215576158
STARD10,1682.0,0.427301627,944.0,-1.98878,-1.450169748
STAT1,3294.0,0.408136156,388.0,0.135107,-0.166234302
STAT2,1791.0,0.409862748,203.0,-0.554222,-0.550656177
STAT6,1168.0,0.380869476,499.0,-1.345814,-0.430791601
STMN1,1138.0,0.394107416,364.0,1.725292,0.538595475
STOM,2222.0,0.387137797,117.0,0.067354,0.45502989
STOML2,531.0,0.456962681,143.0,0.755057,0.460020458
STX11,4481.0,0.457080677,192.0,-1.847281,0.085585514
STX3,5058.0,0.403902965,547.0,-0.699718,-0.152154581
STX7,14891.0,0.417568039,327.0,-0.519868,-0.030454045
STX8,107.0,0.378438911,150.0,-0.8272,0.081431244
SUCLG1,223.0,0.43877655,193.0,-0.36405,0.263064615
SUFU,3380.0,0.361614756,191.0,1.04724,-0.262418242
SUMF1,999.0,0.37076871,37.0,0.847339,0.383586895
SUPT4H1,1112.0,0.438747077,103.0,-0.821142,0.693431215
SURF2,1720.0,0.440503417,48.0,0.655706,0.432529425
SURF4,2281.0,0.385472445,476.0,0.585372,0.816989139
SURF6,4908.0,0.42467207,78.0,0.788838,1.588830976
SVIP,4195.0,0.357937352,217.0,-0.047467,0.028533221
SYTL1,80.0,0.364244725,197.0,0.01567,-0.476398492
TACC3,165.0,0.385699108,155.0,0.069144,-0.186820842
TADA2B,3064.0,0.464060586,151.0,-1.090827,0.149474788
TAF12,689.0,0.435926756,522.0,0.976303,0.521335428
TAP2,5256.0,0.374969764,175.0,0.183838,0.764874795
TATDN2,2040.0,0.415810908,581.0,0.616496,0.603153469
TBC1D20,3109.0,0.435441414,148.0,-0.007463,-0.152495118
TBC1D9B,1396.0,0.395340616,37.0,-0.807611,-0.176978665
TBCC,556.0,0.434161456,73.0,0.422931,0.126432687
TCEAL3,260.0,0.368171822,262.0,-1.764278,-0.989257391
TCEAL4,3020.0,0.432120515,489.0,-1.005278,-0.397698896
TCOF1,1640.0,0.41523122,108.0,-0.011142,0.439067915
TDP1,1721.0,0.418036689,317.0,0.180688,0.344942225
TDRD7,242.0,0.375852104,234.0,-0.421057,-0.236927352
TDRKH,973.0,0.419795099,182.0,1.30593,0.72381472
TEP1,2777.0,0.379550228,40.0,-0.282683,-0.630780751
TFE3,1431.0,0.379068139,541.0,-1.095451,-0.195934882
TFEB,621.0,0.429366592,302.0,-0.095656,-0.133778843
THADA,112.0,0.415199561,352.0,1.159209,0.523456075
THBD,2144.0,0.448063145,160.0,-2.306289,-0.500497023
THUMPD1,2715.0,0.455087735,225.0,0.147094,0.30556213
THYN1,205.0,0.377954149,484.0,0.191356,0.58307438
TIMM50,3932.0,0.424829064,722.0,0.286636,0.471159034
TIMM8B,2046.0,0.447942532,30.0,-0.845057,0.227931259
TK2,3965.0,0.360054507,593.0,-0.933923,-0.312980266
TLE1,571.0,0.374791795,1295.0,1.596392,0.370978323
TM9SF2,2020.0,0.372522209,233.0,0.350281,0.045737998
TMED3,1710.0,0.439016102,188.0,1.032059,0.383693901
TMED9,708.0,0.44685712,67.0,-0.679863,-0.23326236
TMEM126A,52.0,0.406087664,295.0,-0.248078,0.365325989
TMEM199,2431.0,0.370998168,90.0,-0.816665,-0.632781371
TMEM63A,1407.0,0.385482014,622.0,-0.442747,-0.170857483
TMOD1,2050.0,0.392927141,213.0,0.404019,-0.448370268
TMSB10,278.0,0.470652003,95.0,-0.376087,0.583725439
TNFAIP2,2079.0,0.44214387,131.0,-1.218533,-0.843549028
TNFAIP3,1995.0,0.416242917,370.0,-1.640924,-0.315495762
TNFAIP8L2,497.0,0.440670719,126.0,-2.056328,-0.192726688
TNIP1,770.0,0.448321216,241.0,-1.495282,-0.422692382
TNK2,822.0,0.420245651,543.0,0.441082,-0.198259031
TNPO2,2070.0,0.408799881,358.0,0.747311,0.356256653
TNRC18,1316.0,0.449521205,349.0,-0.954967,-0.228312191
TOMM5,518.0,0.441712708,107.0,0.276816,0.836013234
TOP2A,1003.0,0.364102812,159.0,-0.21174,-0.243800533
TOR1A,3160.0,0.446121485,77.0,0.144976,0.260095641
TPD52L2,1600.0,0.385071878,138.0,1.073553,0.644420127
TPI1,620.0,0.479135356,527.0,0.099427,-0.133415812
TPM1,757.0,0.403626605,257.0,-0.727648,-0.758885377
TRAF1,7433.0,0.438949906,572.0,0.091079,0.313934418
TRAF3,5716.0,0.386659664,353.0,0.848113,-0.16600205
TRAF6,6100.0,0.426668941,381.0,-1.008856,-0.086693073
TRAPPC3,634.0,0.441060625,519.0,0.672307,0.043208339
TRAPPC5,42.0,0.453352607,241.0,0.028013,0.521452331
TRAPPC6B,2539.0,0.437369008,335.0,-0.375213,-0.233767731
TRAPPC9,3079.0,0.431357199,134.0,0.287895,-0.211008484
TRIM11,3522.0,0.453298916,255.0,-0.098044,0.093389433
TRIM13,5308.0,0.419190719,763.0,0.101523,0.154479347
TRIM14,3117.0,0.369225689,165.0,0.818569,-0.385587113
TRIM22,1215.0,0.424423711,379.0,-1.923242,-0.212525926
TRIM26,1431.0,0.384319522,565.0,-0.471441,-0.18938585
TRIM27,2956.0,0.441704825,359.0,0.749937,-0.14330729
TRIM41,1657.0,0.454716896,737.0,-1.540396,0.49729067
TRIM5,2312.0,0.426412011,303.0,-1.292032,-0.393228398
TRIP12,3739.0,0.40441217,297.0,-0.821377,-0.497729642
TRIP13,2852.0,0.433721983,145.0,0.004621,-0.781505734
TRMT5,3660.0,0.405137655,572.0,-0.106323,0.374686532
TRUB2,4655.0,0.434714666,759.0,0.561396,0.429184891
TSFM,1390.0,0.429356434,57.0,-0.754361,0.039804236
TSPAN14,15147.0,0.398868986,305.0,0.761147,0.486495299
TSPYL1,7303.0,0.373212405,287.0,-0.684271,-0.197783729
TSR2,1366.0,0.464925113,443.0,0.001586,0.622450175
TTC39C,3394.0,0.378954091,452.0,1.206805,0.631570542
TTC7A,2213.0,0.393400181,1272.0,1.514464,-0.040554323
TTPAL,5319.0,0.425556123,145.0,0.314314,-0.083225438
TUBA1C,110.0,0.451729991,576.0,-0.138931,-0.409480709
TUBA4A,644.0,0.402818439,556.0,1.023287,-0.03985607
TUBB,1030.0,0.390058461,509.0,0.017902,-0.227341338
TUBB6,2302.0,0.468445054,1139.0,-1.171012,-0.549310341
TUBGCP4,1934.0,0.368175973,296.0,-0.001918,-0.119239594
TUSC1,1294.0,0.429789613,537.0,0.015174,0.0533735
TXNL4A,3129.0,0.472736328,466.0,0.7475,0.422526753
TYMP,18.0,0.429537249,376.0,-2.950291,-0.744472446
TYMS,581.0,0.364557025,159.0,-1.147662,-0.926230912
TYROBP,168.0,0.417048036,81.0,-2.408185,-0.298919481
UBAP2L,353.0,0.367068802,167.0,0.623925,0.198581681
UBE2B,4002.0,0.405496028,420.0,-0.570053,-0.217082222
UBE2L3,2365.0,0.455573936,198.0,-0.1196,-0.222903758
UBE2L6,703.0,0.431638779,653.0,-0.794681,-0.508188267
UBE4B,1283.0,0.418913915,688.0,0.903619,0.708960593
UBR4,797.0,0.387393976,4.0,-0.159728,0.375146559
UBTF,2209.0,0.400105612,296.0,-0.453066,0.528679179
UBXN1,220.0,0.422601268,194.0,-0.652958,-0.009467983
UCK2,4043.0,0.447469338,640.0,0.81729,0.488078956
UGGT1,5935.0,0.374564832,178.0,-0.443374,-0.246827951
UHRF1BP1,5130.0,0.373569339,234.0,0.022692,-0.251835293
UNC45A,377.0,0.475530537,1022.0,0.888775,0.44558987
UNG,1024.0,0.368897526,209.0,1.423178,0.915179018
UNK,1388.0,0.447315534,42.0,0.544951,0.061984375
UQCR11,4379.0,0.470309826,75.0,-1.226703,-0.216730113
UQCRC1,129.0,0.462829321,45.0,-1.114385,0.305184352
UQCRH,193.0,0.365128489,320.0,1.040382,0.484214651
UROD,171.0,0.391539164,133.0,-0.112853,0.094873391
UROS,3849.0,0.422413435,266.0,-0.423443,-0.462237587
USP18,580.0,0.434940763,338.0,0.712215,-0.57804724
USP39,571.0,0.39295741,223.0,0.619923,0.449411219
UTP6,2466.0,0.429918331,83.0,-0.512546,0.59234075
VAC14,489.0,0.396517204,827.0,0.610536,0.295987205
VAMP8,451.0,0.398153421,156.0,-0.904362,0.124125923
VASP,824.0,0.388921088,342.0,-0.359571,-0.046054614
VAT1,1456.0,0.406330787,120.0,-0.776757,-0.609082059
VDAC3,475.0,0.440388181,210.0,-0.179047,1.072386196
VDR,3209.0,0.450036866,401.0,-3.177925,-0.544526768
VGLL4,2489.0,0.432812067,506.0,1.207776,0.365521582
VIM,431.0,0.411136971,462.0,-2.046485,-0.791170161
VLDLR,6202.0,0.388727284,416.0,0.412484,0.393178355
VPS28,291.0,0.476756313,109.0,0.403215,-0.324801079
VPS33B,559.0,0.447669729,583.0,0.813926,0.228699554
VPS39,2053.0,0.440628838,173.0,-0.542133,-0.052396724
VPS52,2870.0,0.393546356,887.0,-0.280445,0.129811498
WASF2,4090.0,0.365213822,245.0,1.293153,0.208668497
WBP2,1040.0,0.392225719,515.0,-0.142072,-0.324595355
WDFY2,7044.0,0.36603015,340.0,0.576675,-0.072027922
WDR1,1039.0,0.393247178,368.0,-0.172659,0.014947169
WDR36,3619.0,0.40459335,117.0,-0.295469,0.839697722
WDR37,8068.0,0.365587877,173.0,1.283703,0.281486149
WDR4,293.0,0.380589271,581.0,1.420153,0.60048634
WDR47,1216.0,0.402106333,376.0,1.085743,0.386046261
WDR48,1924.0,0.419028298,472.0,0.558986,-0.001754125
WDR5,1979.0,0.401607191,171.0,0.991381,0.66793784
WDR54,97.0,0.394793766,128.0,0.213331,0.077127254
WDR61,197.0,0.411764619,310.0,0.142447,0.044103442
WDR77,4184.0,0.412330102,139.0,1.733863,-0.424464043
WDR91,4946.0,0.380864599,823.0,-0.149559,-0.297741948
WDR92,2520.0,0.427217839,117.0,0.933928,0.212125607
YTHDF1,1279.0,0.384821843,294.0,0.608562,0.214883549
YTHDF3,3082.0,0.406652071,509.0,-0.154115,-0.307431046
YY1,5192.0,0.440120149,480.0,0.767569,0.663236278
ZBED1,2221.0,0.457533868,282.0,0.189931,-0.072824212
ZBTB8OS,1087.0,0.406816332,276.0,0.422347,0.866433877
ZC3H12A,768.0,0.421626239,1056.0,-0.833275,-0.1159092
ZC3H4,2169.0,0.436042942,38.0,0.264051,0.307539852
ZCCHC10,81.0,0.361883573,67.0,-0.808837,0.424998549
ZCCHC2,2006.0,0.404185753,0.0,0.262679,-0.4892121
ZFP36L1,2846.0,0.395541595,976.0,-0.05822,-0.223025927
ZMAT2,1942.0,0.460376067,101.0,-0.478465,0.303165084
ZMIZ2,4165.0,0.419562196,128.0,1.744016,0.796903015
ZMYM3,1292.0,0.378831729,749.0,-0.098878,0.308485499
ZNF207,13817.0,0.386696564,148.0,-0.128138,0.142664564
ZNF414,113.0,0.422835658,118.0,0.004225,0.338435408
ZNF511,243.0,0.452392726,55.0,-1.02604,-1.38008263
ZNF516,4816.0,0.393186692,318.0,1.060446,0.005467469
ZNF622,1298.0,0.463753859,120.0,0.945939,0.781702548
ZNHIT2,49.0,0.440612513,85.0,0.164733,-0.142332466
ZNHIT3,419.0,0.425204303,73.0,-0.656662,-0.289993377
ZWINT,4585.0,0.411772707,37.0,-0.482,-0.499876873
