,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AL,TCGA-AN-A0AL.1
SIGLEC1,1590.0,0.42099348,0.0,0.460209,-0.133504453
SIPA1,2933.0,0.437718847,296.0,1.351731,0.050014942
SIRPA,3027.0,0.429235057,360.0,1.771085,1.090621688
SKP1,8791.0,0.433886974,179.0,-0.574826,-0.16008588
SLBP,3046.0,0.391438372,553.0,0.704862,0.601690165
SLC25A10,1929.0,0.386184273,191.0,1.557376,0.695263175
SLC25A19,477.0,0.386093473,224.0,0.789945,0.572984117
SLC25A20,787.0,0.382641976,199.0,-0.442692,-0.026681561
SLC25A3,504.0,0.383836987,354.0,1.175237,1.141312495
SLC25A40,2688.0,0.363984785,375.0,0.354788,0.276505287
SLC25A42,2156.0,0.366871382,156.0,-1.219947,0.359093474
SLC25A6,450.0,0.487227384,137.0,0.710736,1.107408412
SLC27A3,163.0,0.439664345,91.0,-0.562118,-0.554566965
SLC39A10,2661.0,0.346494338,214.0,-0.137613,0.381340274
SLC43A2,6357.0,0.437839378,341.0,1.184653,0.589811974
SLC43A3,838.0,0.382351997,447.0,2.541398,1.592356865
SLC44A1,8291.0,0.4365497,264.0,0.332734,0.659399271
SLC9A3R1,709.0,0.400889529,235.0,-1.141537,-0.67142862
SMAP2,1225.0,0.404145004,415.0,0.332404,-0.387354413
SMC1A,5954.0,0.490702048,340.0,0.360437,0.007168936
SMG5,1363.0,0.383248033,540.0,0.283651,0.089289524
SMS,2660.0,0.417677888,252.0,1.124394,0.962002259
SMYD3,223.0,0.378821529,130.0,-0.408622,-0.31004709
SNRNP200,676.0,0.454045162,132.0,0.363957,0.024194037
SNRPC,474.0,0.427936125,450.0,0.263743,-0.01223788
SNRPD1,4386.0,0.384326147,161.0,0.681879,0.087889617
SNRPN,279.0,0.390283395,1145.0,-0.175361,-0.185626767
SNX24,5071.0,0.338464018,185.0,-0.838222,-1.082710764
SNX30,6144.0,0.426743352,148.0,-0.184544,0.154523644
SNX33,5086.0,0.383330712,96.0,-0.110068,0.081282666
SOD1,353.0,0.438546885,148.0,0.570432,-0.301743785
SOD2,13436.0,0.435065133,1828.0,1.119723,-0.367537961
SP110,3922.0,0.401738483,258.0,0.054585,-0.713420835
SPC24,1691.0,0.381793277,320.0,1.643528,0.391729445
SPC25,540.0,0.373816265,131.0,1.308408,0.433529991
SPCS1,3333.0,0.417439524,205.0,-0.307801,0.16125218
SPI1,383.0,0.406748349,223.0,0.700893,-0.176227011
SPRYD4,1406.0,0.430591965,75.0,-0.48368,-0.355664765
SQSTM1,1485.0,0.412192979,360.0,0.825868,0.73372641
SRC,2671.0,0.437602812,449.0,1.322469,0.606951532
SRGAP2,3018.0,0.377689891,542.0,-0.04538,-0.257244784
SRI,5365.0,0.424260151,79.0,-0.389646,-0.663481058
SRP19,2645.0,0.430943803,189.0,0.604144,0.041367213
SRPRB,1784.0,0.427990824,285.0,0.862789,0.789896627
SRR,1392.0,0.393840903,354.0,-0.997754,-0.827807437
SRXN1,2099.0,0.37663928,185.0,0.953627,-0.011175487
SS18L2,777.0,0.45997865,208.0,-0.547853,-0.168097306
SSH1,5298.0,0.373517564,146.0,-0.104023,-0.097299306
SSH3,2595.0,0.376349937,178.0,0.373166,-0.022059937
SSR2,592.0,0.425839932,80.0,0.355709,-0.220624258
SSR3,3698.0,0.388415977,156.0,0.159401,1.318977711
SSR4,87.0,0.444947593,150.0,0.932547,0.447745304
SSRP1,422.0,0.394601844,267.0,0.552485,0.060981394
SSU72,400.0,0.445120823,325.0,-0.305939,-0.299214578
ST13,3666.0,0.439823793,468.0,0.938898,0.829069281
ST14,553.0,0.454138745,193.0,3.081956,1.80761029
ST3GAL4,594.0,0.39537481,557.0,3.699754,1.33767602
STARD10,1682.0,0.427301627,944.0,-0.934027,-0.871752869
STAT1,3294.0,0.408136156,388.0,1.401275,0.260503718
STAT2,1791.0,0.409862748,203.0,-0.18419,-0.32972585
STAT6,1168.0,0.380869476,499.0,-0.826239,-0.183343999
STMN1,1138.0,0.394107416,364.0,0.921187,-0.089927127
STOM,2222.0,0.387137797,117.0,-0.799046,-0.646745196
STOML2,531.0,0.456962681,143.0,1.217638,0.509139578
STX11,4481.0,0.457080677,192.0,0.232906,0.307114979
STX3,5058.0,0.403902965,547.0,0.430264,0.277465327
STX7,14891.0,0.417568039,327.0,-0.890656,-0.755198157
STX8,107.0,0.378438911,150.0,-0.840461,-0.253949912
SUCLG1,223.0,0.43877655,193.0,0.449783,0.251453345
SUFU,3380.0,0.361614756,191.0,-0.44193,-0.329184205
SUMF1,999.0,0.37076871,37.0,-1.182872,-0.248524282
SUPT4H1,1112.0,0.438747077,103.0,-0.598924,0.076038326
SURF2,1720.0,0.440503417,48.0,0.059634,-0.346999236
SURF4,2281.0,0.385472445,476.0,0.507216,0.336854312
SURF6,4908.0,0.42467207,78.0,-0.23331,-0.955170387
SYTL1,80.0,0.364244725,197.0,-1.431517,-1.031175856
TACC3,165.0,0.385699108,155.0,1.677946,0.582841936
TADA2B,3064.0,0.464060586,151.0,0.19834,0.240731014
TAF12,689.0,0.435926756,522.0,0.265034,-0.035741637
TAP2,5256.0,0.374969764,175.0,0.218868,0.040505141
TATDN2,2040.0,0.415810908,581.0,-0.437792,0.712036691
TBC1D20,3109.0,0.435441414,148.0,-0.209516,0.910095383
TBC1D9B,1396.0,0.395340616,37.0,-0.487803,-0.370133249
TBCC,556.0,0.434161456,73.0,0.566888,0.204519693
TCEAL3,260.0,0.368171822,262.0,-1.756426,-1.113352231
TCEAL4,3020.0,0.432120515,489.0,-1.361673,-0.866543096
TCOF1,1640.0,0.41523122,108.0,-0.07987,-0.035868051
TDP1,1721.0,0.418036689,317.0,-0.060008,-0.360245665
TDRD7,242.0,0.375852104,234.0,-0.159202,-0.00384413
TDRKH,973.0,0.419795099,182.0,-0.994127,0.063540335
TEP1,2777.0,0.379550228,40.0,-0.725397,0.420375012
TFE3,1431.0,0.379068139,541.0,0.377748,-0.328678171
TFEB,621.0,0.429366592,302.0,1.34825,0.301121153
THADA,112.0,0.415199561,352.0,-0.191208,-0.03480986
THUMPD1,2715.0,0.455087735,225.0,-1.265747,-0.506355852
THYN1,205.0,0.377954149,484.0,0.268287,-0.256111814
TIMM50,3932.0,0.424829064,722.0,0.637472,0.246254881
TIMM8B,2046.0,0.447942532,30.0,1.054938,0.078004253
TK2,3965.0,0.360054507,593.0,0.154509,0.034899369
TLE1,571.0,0.374791795,1295.0,1.280147,0.383850287
TM9SF2,2020.0,0.372522209,233.0,0.510396,0.828304819
TMED3,1710.0,0.439016102,188.0,1.082245,0.627566999
TMED9,708.0,0.44685712,67.0,0.078473,0.414561505
TMEM126A,52.0,0.406087664,295.0,1.010366,0.685350106
TMEM63A,1407.0,0.385482014,622.0,0.32785,0.348520402
TMOD1,2050.0,0.392927141,213.0,3.239598,0.982772249
TMSB10,278.0,0.470652003,95.0,0.106693,-0.902091838
TNFAIP2,2079.0,0.44214387,131.0,2.886624,0.846469819
TNFAIP3,1995.0,0.416242917,370.0,1.168647,-0.261949323
TNFAIP8L2,497.0,0.440670719,126.0,0.95827,-0.047023339
TNIP1,770.0,0.448321216,241.0,0.198225,-0.481581492
TNK2,822.0,0.420245651,543.0,-0.566754,0.004865853
TNPO2,2070.0,0.408799881,358.0,0.059301,-0.005363083
TNRC18,1316.0,0.449521205,349.0,0.474766,0.152943304
TOMM5,518.0,0.441712708,107.0,0.545235,0.626694504
TOP2A,1003.0,0.364102812,159.0,0.467196,0.29878035
TOR1A,3160.0,0.446121485,77.0,0.312122,0.327525131
TPD52L2,1600.0,0.385071878,138.0,0.190235,0.195084451
TPI1,620.0,0.479135356,527.0,0.398875,-0.150666096
TPM1,757.0,0.403626605,257.0,0.673351,-0.389834177
TRAF1,7433.0,0.438949906,572.0,0.780811,0.075800321
TRAF3,5716.0,0.386659664,353.0,0.686853,0.520814637
TRAF6,6100.0,0.426668941,381.0,-0.366576,0.146495963
TRAPPC3,634.0,0.441060625,519.0,0.26136,-0.004206922
TRAPPC5,42.0,0.453352607,241.0,-0.128198,-0.228858857
TRAPPC6B,2539.0,0.437369008,335.0,0.36064,0.082223711
TRAPPC9,3079.0,0.431357199,134.0,-0.303907,-0.053712311
TRIM11,3522.0,0.453298916,255.0,-0.826995,-0.126790516
TRIM13,5308.0,0.419190719,763.0,-0.830148,0.823388115
TRIM14,3117.0,0.369225689,165.0,0.280215,-0.276885405
TRIM22,1215.0,0.424423711,379.0,0.085589,-0.259896928
TRIM26,1431.0,0.384319522,565.0,-0.429613,-0.172662867
TRIM27,2956.0,0.441704825,359.0,-0.526794,-0.394680526
TRIM41,1657.0,0.454716896,737.0,-1.42897,0.095167363
TRIM5,2312.0,0.426412011,303.0,0.147534,0.291901737
TRIP12,3739.0,0.40441217,297.0,0.477896,0.488085203
TRIP13,2852.0,0.433721983,145.0,1.100014,0.06606944
TRMT5,3660.0,0.405137655,572.0,-0.472676,-0.07446662
TRUB2,4655.0,0.434714666,759.0,0.296572,0.211914771
TSFM,1390.0,0.429356434,57.0,-0.46077,-0.448605732
TSPAN14,15147.0,0.398868986,305.0,0.365124,0.996069968
TSPYL1,7303.0,0.373212405,287.0,-1.043844,0.260984968
TSR2,1366.0,0.464925113,443.0,-0.272605,0.14410799
TTC39C,3394.0,0.378954091,452.0,-0.758509,-0.434939296
TTC7A,2213.0,0.393400181,1272.0,1.417574,0.68646452
TTPAL,5319.0,0.425556123,145.0,-0.216261,0.047220068
TTYH3,3063.0,0.383645273,187.0,2.145306,0.952783078
TUBA1C,110.0,0.451729991,576.0,0.759624,0.162536563
TUBA4A,644.0,0.402818439,556.0,1.839797,0.332661033
TUBB,1030.0,0.390058461,509.0,0.76308,0.083340502
TUBB6,2302.0,0.468445054,1139.0,0.573394,-0.12332393
TUBGCP4,1934.0,0.368175973,296.0,-0.053894,0.125812266
TUSC1,1294.0,0.429789613,537.0,-1.883879,-0.568044356
TXNL4A,3129.0,0.472736328,466.0,-0.250366,-0.424748946
TYMP,18.0,0.429537249,376.0,1.088645,-0.188160116
TYMS,581.0,0.364557025,159.0,1.421753,0.271601997
UBAP2L,353.0,0.367068802,167.0,-0.60401,-0.206099602
UBE2B,4002.0,0.405496028,420.0,-0.931726,-0.35886407
UBE2E1,1034.0,0.417917446,229.0,-0.661169,-0.415788322
UBE2L3,2365.0,0.455573936,198.0,0.683638,0.125241457
UBE2L6,703.0,0.431638779,653.0,0.080511,-0.460688539
UBE4B,1283.0,0.418913915,688.0,-1.188806,-0.45406091
UBIAD1,2303.0,0.446280173,334.0,-0.761385,0.016673408
UBR4,797.0,0.387393976,4.0,-0.778923,0.444361377
UBTF,2209.0,0.400105612,296.0,-0.308928,-0.024488233
UBXN1,220.0,0.422601268,194.0,0.001774,-0.00773278
UCK2,4043.0,0.447469338,640.0,1.024022,0.026199937
UGGT1,5935.0,0.374564832,178.0,0.642847,0.43473154
UHRF1BP1,5130.0,0.373569339,234.0,-0.189293,0.28674
UNC45A,377.0,0.475530537,1022.0,0.511931,0.28857826
UNG,1024.0,0.368897526,209.0,-0.140197,0.141262441
UNK,1388.0,0.447315534,42.0,-0.589801,-0.296280048
UQCR11,4379.0,0.470309826,75.0,-0.176145,-0.089071379
UQCRC1,129.0,0.462829321,45.0,0.232154,-0.033616693
UQCRH,193.0,0.365128489,320.0,0.875166,0.236149137
UROD,171.0,0.391539164,133.0,-0.056015,-0.029007573
UROS,3849.0,0.422413435,266.0,0.465681,-0.431754666
USP18,580.0,0.434940763,338.0,1.092581,-0.209531593
USP39,571.0,0.39295741,223.0,-0.19908,-0.010332787
UTP6,2466.0,0.429918331,83.0,-0.11043,-0.034802814
VAC14,489.0,0.396517204,827.0,0.330862,-0.086724939
VAMP8,451.0,0.398153421,156.0,0.123663,0.195585199
VASP,824.0,0.388921088,342.0,0.668423,0.180611415
VAT1,1456.0,0.406330787,120.0,-0.41479,-0.411001976
VDAC3,475.0,0.440388181,210.0,0.603834,0.765457682
VDR,3209.0,0.450036866,401.0,-0.287156,0.210858518
VGLL4,2489.0,0.432812067,506.0,0.148702,0.082436884
VIM,431.0,0.411136971,462.0,0.512609,-0.305747082
VLDLR,6202.0,0.388727284,416.0,1.347319,0.594101802
VPS28,291.0,0.476756313,109.0,-0.177572,0.032545099
VPS33B,559.0,0.447669729,583.0,0.043272,0.354191265
VPS39,2053.0,0.440628838,173.0,-0.304339,-0.246623165
VPS52,2870.0,0.393546356,887.0,-0.831099,-0.226231314
WASF2,4090.0,0.365213822,245.0,0.307588,0.469938157
WBP2,1040.0,0.392225719,515.0,-0.020251,-0.190777052
WDFY2,7044.0,0.36603015,340.0,0.006098,-0.088121813
WDR1,1039.0,0.393247178,368.0,0.697175,0.278550509
WDR36,3619.0,0.40459335,117.0,-0.752587,0.003260217
WDR37,8068.0,0.365587877,173.0,-0.712431,-0.121739211
WDR4,293.0,0.380589271,581.0,0.685715,0.177594377
WDR47,1216.0,0.402106333,376.0,-0.699293,-0.183563634
WDR48,1924.0,0.419028298,472.0,-1.300698,-0.295458061
WDR5,1979.0,0.401607191,171.0,-0.225475,-0.112764771
WDR54,97.0,0.394793766,128.0,-1.4119,-0.992700999
WDR61,197.0,0.411764619,310.0,-0.126512,-0.467516785
WDR77,4184.0,0.412330102,139.0,0.506172,-0.192766189
WDR91,4946.0,0.380864599,823.0,-0.356082,-0.168554503
WDR92,2520.0,0.427217839,117.0,-0.277607,-0.269845397
YTHDF1,1279.0,0.384821843,294.0,0.095878,0.26199728
YTHDF3,3082.0,0.406652071,509.0,-0.406082,-0.033554396
YY1,5192.0,0.440120149,480.0,0.140157,0.188662837
ZBED1,2221.0,0.457533868,282.0,0.790577,0.601986049
ZBTB8OS,1087.0,0.406816332,276.0,0.968304,0.037787555
ZC3H12A,768.0,0.421626239,1056.0,-0.531821,0.333346196
ZC3H4,2169.0,0.436042942,38.0,0.406313,0.270502361
ZFP36L1,2846.0,0.395541595,976.0,0.364607,0.47901002
ZMAT2,1942.0,0.460376067,101.0,-0.732412,-0.06071507
ZMIZ2,4165.0,0.419562196,128.0,1.189139,-0.011781654
ZMYM3,1292.0,0.378831729,749.0,-0.608654,-0.128608641
ZNF207,13817.0,0.386696564,148.0,-0.19276,-0.205648865
ZNF414,113.0,0.422835658,118.0,-0.258792,-0.040378504
ZNF516,4816.0,0.393186692,318.0,-1.760829,-0.50722502
ZNF622,1298.0,0.463753859,120.0,-0.264482,0.004293337
ZNHIT2,49.0,0.440612513,85.0,1.578274,-0.062615137
ZNHIT3,419.0,0.425204303,73.0,-0.984724,-0.482831974
ZWINT,4585.0,0.411772707,37.0,0.915322,-0.046717499
