,3prime,tAI,max_5_UTR_length,TCGA-AO-A12D,TCGA-AO-A12D.1
SARS,1054.0,0.40098191,100.0,-0.702744,-0.477102036
SASH3,1369.0,0.387406112,182.0,1.123005,-0.066643302
SCAMP4,1741.0,0.472519575,351.0,-0.542206,-0.120055207
SCO1,8645.0,0.407339367,61.0,-0.47657,0.19883477
SDCCAG8,307.0,0.360606297,1542.0,-0.352298,0.146622119
SEC11C,205.0,0.423646802,92.0,1.0072,0.830924492
SEC13,332.0,0.457264526,210.0,0.492512,0.111244864
SEC14L1,2986.0,0.420320088,665.0,0.53474,0.117869906
SEC22A,2559.0,0.422343815,79.0,0.154537,0.342782215
SEC24B,1221.0,0.400931805,155.0,-0.47173,0.107020194
SEC24D,2115.0,0.386600041,297.0,0.620876,0.186508985
SEC61B,270.0,0.404562259,76.0,0.195682,0.991001603
SEMA3F,960.0,0.38837398,318.0,1.85054,0.928056057
SEMA4A,755.0,0.412797256,345.0,-0.18275,0.140125792
SEMA4D,2318.0,0.393173667,572.0,0.736329,0.195053581
SERPINA1,1707.0,0.420489385,573.0,-0.340768,-0.328210351
SERPINB8,2096.0,0.38524815,520.0,0.564484,0.412960793
SETMAR,321.0,0.414235412,398.0,0.513594,0.320090069
SEZ6L2,540.0,0.431800162,245.0,0.347549,0.023768697
SF1,2419.0,0.374481437,721.0,-0.25313,-0.052004899
SF3B2,563.0,0.453902675,40.0,-0.515683,-0.095193759
SFXN4,500.0,0.402513841,45.0,-0.575231,-0.123623616
SH3BP1,433.0,0.395530944,313.0,0.240647,-0.002832521
SH3PXD2B,4870.0,0.420952884,171.0,-0.91956,-0.245422515
SHMT1,4335.0,0.394510245,509.0,-1.747078,-1.020160505
SIGLEC1,1590.0,0.42099348,0.0,1.025498,0.093828828
SIPA1,2933.0,0.437718847,296.0,0.126211,0.111245792
SIRPA,3027.0,0.429235057,360.0,0.321806,-0.142178337
SKP1,8791.0,0.433886974,179.0,-0.637419,-0.053000243
SLBP,3046.0,0.391438372,553.0,-0.546003,-0.154886674
SLC25A10,1929.0,0.386184273,191.0,-0.843946,-0.305128033
SLC25A19,477.0,0.386093473,224.0,-0.45826,0.066080936
SLC25A20,787.0,0.382641976,199.0,-0.037753,0.141732876
SLC25A3,504.0,0.383836987,354.0,-0.319015,0.704166606
SLC25A40,2688.0,0.363984785,375.0,-0.180198,0.360137139
SLC25A42,2156.0,0.366871382,156.0,-1.214364,-0.60357431
SLC25A6,450.0,0.487227384,137.0,-0.912331,0.230979803
SLC27A3,163.0,0.439664345,91.0,-1.227509,-0.348372576
SLC39A10,2661.0,0.346494338,214.0,-0.23124,-0.310370619
SLC43A2,6357.0,0.437839378,341.0,0.164664,0.373823017
SLC44A1,8291.0,0.4365497,264.0,-0.046344,-0.297472089
SLC9A3R1,709.0,0.400889529,235.0,-0.721856,-0.549065512
SMAP2,1225.0,0.404145004,415.0,0.575745,-0.131575881
SMC1A,5954.0,0.490702048,340.0,-0.157618,-0.130592652
SMG5,1363.0,0.383248033,540.0,-0.026646,0.008200019
SMS,2660.0,0.417677888,252.0,-0.318144,-0.31854275
SMYD3,223.0,0.378821529,130.0,-0.803682,-0.277635126
SNRNP200,676.0,0.454045162,132.0,0.151945,0.006667997
SNRPC,474.0,0.427936125,450.0,-0.442799,-0.020789517
SNRPD1,4386.0,0.384326147,161.0,-0.803873,-0.023620606
SNRPN,279.0,0.390283395,1145.0,-0.688988,-0.231679401
SNX24,5071.0,0.338464018,185.0,-0.689938,-0.390458585
SNX30,6144.0,0.426743352,148.0,0.902121,0.353868874
SNX33,5086.0,0.383330712,96.0,-0.907903,-0.240384492
SOD1,353.0,0.438546885,148.0,0.217348,-0.657803305
SOD2,13436.0,0.435065133,1828.0,0.384045,0.106545952
SP110,3922.0,0.401738483,258.0,0.751187,-0.029163873
SPC24,1691.0,0.381793277,320.0,0.21459,-0.380884261
SPC25,540.0,0.373816265,131.0,-0.141885,-0.314204281
SPCS1,3333.0,0.417439524,205.0,0.029229,0.826426
SPI1,383.0,0.406748349,223.0,0.55265,0.148110269
SPRYD4,1406.0,0.430591965,75.0,0.131778,-0.140493732
SQSTM1,1485.0,0.412192979,360.0,-0.089268,-0.518433639
SRC,2671.0,0.437602812,449.0,0.308082,0.407032631
SRGAP2,3018.0,0.377689891,542.0,0.16621,0.108912848
SRI,5365.0,0.424260151,79.0,-0.330788,-0.320611549
SRP19,2645.0,0.430943803,189.0,0.075391,0.03576631
SRPRB,1784.0,0.427990824,285.0,0.384451,0.918515211
SRR,1392.0,0.393840903,354.0,-0.908945,-0.769861943
SRXN1,2099.0,0.37663928,185.0,-0.118961,-0.214674578
SS18L2,777.0,0.45997865,208.0,-0.142505,-0.021863143
SSH1,5298.0,0.373517564,146.0,0.052438,0.192489959
SSH3,2595.0,0.376349937,178.0,-0.956611,-0.336762547
SSR2,592.0,0.425839932,80.0,0.249862,0.768200874
SSR3,3698.0,0.388415977,156.0,0.500204,0.910058589
SSR4,87.0,0.444947593,150.0,0.987359,0.768709747
SSRP1,422.0,0.394601844,267.0,-0.122148,-0.54117749
SSU72,400.0,0.445120823,325.0,-0.066494,0.310466046
ST13,3666.0,0.439823793,468.0,0.939953,0.708407935
ST14,553.0,0.454138745,193.0,0.75944,-0.187810839
ST3GAL4,594.0,0.39537481,557.0,0.22854,0.301242589
STAP1,541.0,0.398288494,113.0,0.758608,0.206067637
STARD10,1682.0,0.427301627,944.0,-1.571823,-0.805256767
STAT1,3294.0,0.408136156,388.0,1.908521,0.602395922
STAT2,1791.0,0.409862748,203.0,1.036554,0.371191642
STAT6,1168.0,0.380869476,499.0,-0.153606,-0.093236262
STMN1,1138.0,0.394107416,364.0,-0.021973,-0.500908693
STOM,2222.0,0.387137797,117.0,-0.327149,-0.255269631
STOML2,531.0,0.456962681,143.0,-0.034145,0.029390589
STX11,4481.0,0.457080677,192.0,0.243355,-0.002037801
STX3,5058.0,0.403902965,547.0,0.155203,0.127752047
STX7,14891.0,0.417568039,327.0,0.28434,0.05867807
STX8,107.0,0.378438911,150.0,-0.180749,0.229217337
SUCLG1,223.0,0.43877655,193.0,-0.276636,0.066119418
SUFU,3380.0,0.361614756,191.0,0.442216,-0.081126944
SUMF1,999.0,0.37076871,37.0,0.133706,0.150125938
SUPT4H1,1112.0,0.438747077,103.0,-1.040169,-0.123662837
SURF2,1720.0,0.440503417,48.0,-0.738443,-0.163909514
SURF4,2281.0,0.385472445,476.0,0.572045,0.461454103
SURF6,4908.0,0.42467207,78.0,-0.651368,-0.105759306
SYTL1,80.0,0.364244725,197.0,-1.251057,-0.395784642
TACC3,165.0,0.385699108,155.0,-0.138033,-0.066993386
TADA2B,3064.0,0.464060586,151.0,-0.775039,0.176939559
TAF12,689.0,0.435926756,522.0,0.015714,0.046322418
TAP2,5256.0,0.374969764,175.0,1.6789,1.289898094
TATDN2,2040.0,0.415810908,581.0,-0.035582,-0.071568323
TBC1D20,3109.0,0.435441414,148.0,0.044558,0.149320006
TBC1D9B,1396.0,0.395340616,37.0,-0.01515,-0.060479732
TBCC,556.0,0.434161456,73.0,-0.265423,-0.156012286
TCEAL3,260.0,0.368171822,262.0,-1.879104,-0.699402589
TCEAL4,3020.0,0.432120515,489.0,-1.104299,-0.644203409
TCOF1,1640.0,0.41523122,108.0,0.03092,0.26629332
TDP1,1721.0,0.418036689,317.0,0.124707,-0.054557697
TDRD7,242.0,0.375852104,234.0,0.062603,-0.10157349
TDRKH,973.0,0.419795099,182.0,0.278862,0.139955721
TEP1,2777.0,0.379550228,40.0,0.804373,0.033020402
TFE3,1431.0,0.379068139,541.0,-0.431849,-0.824021889
TFEB,621.0,0.429366592,302.0,-0.447733,-0.147014838
THADA,112.0,0.415199561,352.0,0.276907,0.274713184
THBD,2144.0,0.448063145,160.0,-0.811662,0.130146554
THUMPD1,2715.0,0.455087735,225.0,-0.466993,-0.366148092
THYN1,205.0,0.377954149,484.0,-0.234069,-0.168320918
TIMM50,3932.0,0.424829064,722.0,-0.346032,0.082943132
TIMM8B,2046.0,0.447942532,30.0,-0.250828,-0.3853697
TK2,3965.0,0.360054507,593.0,0.234737,0.160757205
TLE1,571.0,0.374791795,1295.0,1.555537,0.593162903
TM9SF2,2020.0,0.372522209,233.0,0.837778,1.39905139
TMED3,1710.0,0.439016102,188.0,0.600469,0.597360606
TMED9,708.0,0.44685712,67.0,0.241604,0.762660024
TMEM126A,52.0,0.406087664,295.0,-0.405538,0.14389196
TMEM199,2431.0,0.370998168,90.0,1.185829,0.460410962
TMEM63A,1407.0,0.385482014,622.0,1.542254,1.203954823
TMOD1,2050.0,0.392927141,213.0,-0.30698,-0.49746809
TMSB10,278.0,0.470652003,95.0,1.072482,0.04506965
TNFAIP1,2409.0,0.451408648,449.0,1.85546,0.198082949
TNFAIP2,2079.0,0.44214387,131.0,-0.044272,-0.361868077
TNFAIP3,1995.0,0.416242917,370.0,1.0801,0.104258458
TNFAIP8L2,497.0,0.440670719,126.0,0.927119,0.027434734
TNIP1,770.0,0.448321216,241.0,-0.311707,-0.134711211
TNK2,822.0,0.420245651,543.0,-0.373802,-0.041779212
TNPO2,2070.0,0.408799881,358.0,-0.008016,0.073927448
TNRC18,1316.0,0.449521205,349.0,0.165711,-0.662151983
TOMM5,518.0,0.441712708,107.0,0.044306,0.275377001
TOMM6,1957.0,0.431553434,255.0,-0.457268,0.132107503
TOP2A,1003.0,0.364102812,159.0,-0.36365,-0.515930545
TOR1A,3160.0,0.446121485,77.0,-0.270076,-0.250423508
TPD52L2,1600.0,0.385071878,138.0,0.10813,-0.122762023
TPI1,620.0,0.479135356,527.0,-0.818363,-0.582379649
TPM1,757.0,0.403626605,257.0,0.378067,0.081260482
TRAF1,7433.0,0.438949906,572.0,1.034858,-0.029221885
TRAF3,5716.0,0.386659664,353.0,-0.164622,-0.02115718
TRAF6,6100.0,0.426668941,381.0,0.020392,0.174927627
TRAPPC3,634.0,0.441060625,519.0,-0.272928,0.216550959
TRAPPC5,42.0,0.453352607,241.0,0.055213,0.068030466
TRAPPC6B,2539.0,0.437369008,335.0,-0.05825,0.061250722
TRAPPC9,3079.0,0.431357199,134.0,0.575145,0.435573913
TRIM11,3522.0,0.453298916,255.0,0.184716,0.106950402
TRIM13,5308.0,0.419190719,763.0,0.522562,0.442892591
TRIM14,3117.0,0.369225689,165.0,0.436602,0.037704347
TRIM22,1215.0,0.424423711,379.0,1.138147,0.277763096
TRIM26,1431.0,0.384319522,565.0,0.545975,0.321991942
TRIM27,2956.0,0.441704825,359.0,0.29987,-0.035256158
TRIM41,1657.0,0.454716896,737.0,-0.665541,-0.172171919
TRIM5,2312.0,0.426412011,303.0,0.944022,0.241929543
TRIP12,3739.0,0.40441217,297.0,-0.097798,-0.176728757
TRIP13,2852.0,0.433721983,145.0,0.038004,-0.436896801
TRMT5,3660.0,0.405137655,572.0,-0.164063,-0.053756741
TRUB2,4655.0,0.434714666,759.0,-0.42613,-0.115462874
TSFM,1390.0,0.429356434,57.0,-0.471251,-0.300045615
TSPAN14,15147.0,0.398868986,305.0,0.636698,0.457964836
TSPYL1,7303.0,0.373212405,287.0,-0.846439,-0.072658302
TSR2,1366.0,0.464925113,443.0,-0.613561,-0.134207691
TTC39C,3394.0,0.378954091,452.0,-0.559937,-0.049965712
TTC7A,2213.0,0.393400181,1272.0,0.934384,0.132786543
TTPAL,5319.0,0.425556123,145.0,-0.041249,0.044948484
TTYH3,3063.0,0.383645273,187.0,1.362485,0.48899744
TUBA1C,110.0,0.451729991,576.0,0.189176,0.219096442
TUBA4A,644.0,0.402818439,556.0,1.014923,0.446708374
TUBB,1030.0,0.390058461,509.0,0.191028,0.16180078
TUBB6,2302.0,0.468445054,1139.0,-0.371166,0.105294093
TUBGCP4,1934.0,0.368175973,296.0,-0.695311,0.025561287
TUSC1,1294.0,0.429789613,537.0,-0.791816,-0.044239919
TXNL4A,3129.0,0.472736328,466.0,-0.350752,-0.126961729
TYMP,18.0,0.429537249,376.0,0.275281,0.179548218
TYMS,581.0,0.364557025,159.0,-0.544584,-0.36069866
TYROBP,168.0,0.417048036,81.0,0.551485,0.531017234
UBAP2L,353.0,0.367068802,167.0,0.276461,0.194385485
UBE2B,4002.0,0.405496028,420.0,-0.354236,-0.406241154
UBE2E1,1034.0,0.417917446,229.0,0.643031,0.165726626
UBE2E2,1962.0,0.352966355,180.0,1.598636,1.960659385
UBE2L3,2365.0,0.455573936,198.0,0.606624,0.178786955
UBE2L6,703.0,0.431638779,653.0,0.979952,0.110642291
UBE4B,1283.0,0.418913915,688.0,0.163321,0.319262585
UBIAD1,2303.0,0.446280173,334.0,-0.347775,0.161426202
UBR4,797.0,0.387393976,4.0,-0.005108,0.24947758
UBTF,2209.0,0.400105612,296.0,-0.227031,-0.102283025
UBXN1,220.0,0.422601268,194.0,-1.03986,-0.075728166
UCK2,4043.0,0.447469338,640.0,0.184276,-0.305184004
UGGT1,5935.0,0.374564832,178.0,0.737529,0.419917326
UHRF1BP1,5130.0,0.373569339,234.0,0.229278,0.043381287
UNC45A,377.0,0.475530537,1022.0,0.890269,0.212820074
UNG,1024.0,0.368897526,209.0,-0.343751,0.326146453
UNK,1388.0,0.447315534,42.0,-0.961196,-0.336046842
UQCR11,4379.0,0.470309826,75.0,-0.729442,-0.379437643
UQCRC1,129.0,0.462829321,45.0,0.263754,-0.298458235
UQCRH,193.0,0.365128489,320.0,-0.010729,-0.126859313
UROD,171.0,0.391539164,133.0,-0.53606,-0.161322717
UROS,3849.0,0.422413435,266.0,-0.504481,-0.288331755
USP18,580.0,0.434940763,338.0,0.298723,-0.402441506
USP39,571.0,0.39295741,223.0,0.182189,-0.014554183
UTP6,2466.0,0.429918331,83.0,-0.272134,0.102874549
VAC14,489.0,0.396517204,827.0,0.261631,0.200728879
VAMP8,451.0,0.398153421,156.0,-0.104797,0.258475196
VASP,824.0,0.388921088,342.0,-0.014081,0.166132582
VAT1,1456.0,0.406330787,120.0,-0.797742,-0.148408329
VDAC3,475.0,0.440388181,210.0,-0.797326,-0.953238551
VDR,3209.0,0.450036866,401.0,1.213014,0.406223759
VGLL4,2489.0,0.432812067,506.0,0.489471,0.365092268
VIM,431.0,0.411136971,462.0,-0.171845,-0.054201825
VLDLR,6202.0,0.388727284,416.0,1.684789,0.360026176
VPS28,291.0,0.476756313,109.0,0.008081,0.067666544
VPS33B,559.0,0.447669729,583.0,0.690428,0.01267686
VPS39,2053.0,0.440628838,173.0,-0.185243,-0.077289589
VPS52,2870.0,0.393546356,887.0,-0.136093,0.205192626
WASF2,4090.0,0.365213822,245.0,0.154529,0.233085329
WBP2,1040.0,0.392225719,515.0,-1.264215,-0.930485736
WDFY2,7044.0,0.36603015,340.0,0.819655,-0.036906716
WDR1,1039.0,0.393247178,368.0,-0.31576,0.127044652
WDR36,3619.0,0.40459335,117.0,-0.109191,0.055330544
WDR37,8068.0,0.365587877,173.0,-0.319366,-0.14398604
WDR4,293.0,0.380589271,581.0,0.493617,0.298985445
WDR47,1216.0,0.402106333,376.0,-0.44807,-0.354647961
WDR48,1924.0,0.419028298,472.0,0.143763,0.073290405
WDR5,1979.0,0.401607191,171.0,-0.470932,-0.251798983
WDR54,97.0,0.394793766,128.0,-1.534041,-0.771250072
WDR61,197.0,0.411764619,310.0,-0.885873,-0.200014682
WDR77,4184.0,0.412330102,139.0,0.907215,-0.254135139
WDR91,4946.0,0.380864599,823.0,0.122169,-0.153105312
WDR92,2520.0,0.427217839,117.0,0.120655,0.050976995
YTHDF1,1279.0,0.384821843,294.0,0.335062,-0.046228213
YTHDF3,3082.0,0.406652071,509.0,0.642375,0.485615176
YY1,5192.0,0.440120149,480.0,-0.039233,-0.132641597
ZBED1,2221.0,0.457533868,282.0,-0.05588,-0.344821894
ZBTB8OS,1087.0,0.406816332,276.0,0.03148,-0.500405827
ZC3H12A,768.0,0.421626239,1056.0,0.348928,0.029651959
ZC3H4,2169.0,0.436042942,38.0,0.064147,0.045834546
ZCCHC10,81.0,0.361883573,67.0,-0.233778,0.058579421
ZCCHC2,2006.0,0.404185753,0.0,-0.142585,0.071926456
ZFP36L1,2846.0,0.395541595,976.0,0.74008,0.384063634
ZMAT2,1942.0,0.460376067,101.0,-0.363076,-0.1426267
ZMIZ2,4165.0,0.419562196,128.0,0.059853,0.154827242
ZMYM3,1292.0,0.378831729,749.0,0.12491,-0.132672071
ZNF207,13817.0,0.386696564,148.0,-0.099955,-0.072312364
ZNF414,113.0,0.422835658,118.0,-0.199151,0.244651786
ZNF511,243.0,0.452392726,55.0,-0.620991,-0.369980966
ZNF516,4816.0,0.393186692,318.0,-0.115476,0.033765217
ZNF622,1298.0,0.463753859,120.0,-0.686549,0.016987373
ZNHIT2,49.0,0.440612513,85.0,-0.756828,-0.209588595
ZNHIT3,419.0,0.425204303,73.0,-0.924639,-0.313700327
ZWINT,4585.0,0.411772707,37.0,-0.057613,-0.861206035
