,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JC,TCGA-AO-A0JC.1
SLC25A40,2688.0,0.363984785,375.0,0.100381,0.360023796
SLC25A6,450.0,0.487227384,137.0,0.225476,-0.374677913
SLC27A3,163.0,0.439664345,91.0,-0.006252,1.014749448
SLC29A1,2913.0,0.455987116,491.0,-1.749459,0.257630133
SLC39A10,2661.0,0.346494338,214.0,0.119281,0.047747542
SLC43A2,6357.0,0.437839378,341.0,-0.001074,0.723002863
SLC44A1,8291.0,0.4365497,264.0,-0.804985,0.864721705
SLC9A3R1,709.0,0.400889529,235.0,-1.121644,-0.309337753
SMAP2,1225.0,0.404145004,415.0,2.428427,0.104010996
SMC1A,5954.0,0.490702048,340.0,-0.064531,0.038398402
SMG5,1363.0,0.383248033,540.0,-0.466194,-0.007586168
SMS,2660.0,0.417677888,252.0,-0.75223,0.460302539
SMYD3,223.0,0.378821529,130.0,-0.81261,0.339374751
SNRNP200,676.0,0.454045162,132.0,-0.054163,0.109271326
SNRPC,474.0,0.427936125,450.0,-0.279034,0.048433662
SNRPD1,4386.0,0.384326147,161.0,-0.141092,0.044371293
SNRPN,279.0,0.390283395,1145.0,0.805491,-0.147536776
SNX24,5071.0,0.338464018,185.0,0.333668,0.484222272
SNX30,6144.0,0.426743352,148.0,-0.384401,-0.081433046
SNX33,5086.0,0.383330712,96.0,-0.541253,-0.097222145
SOD1,353.0,0.438546885,148.0,-0.254073,0.184753362
SOD2,13436.0,0.435065133,1828.0,0.791531,-0.247300879
SP110,3922.0,0.401738483,258.0,1.794639,-0.129230397
SPC24,1691.0,0.381793277,320.0,-0.224718,-0.405700775
SPC25,540.0,0.373816265,131.0,-0.453501,-0.69958495
SPCS1,3333.0,0.417439524,205.0,-0.129543,0.528643936
SPI1,383.0,0.406748349,223.0,2.041258,0.107619049
SPRYD4,1406.0,0.430591965,75.0,-0.160944,-0.392133309
SQSTM1,1485.0,0.412192979,360.0,-0.263267,-0.447614869
SRC,2671.0,0.437602812,449.0,-0.666133,-0.080041887
SRGAP2,3018.0,0.377689891,542.0,0.271578,-0.297744848
SRI,5365.0,0.424260151,79.0,-0.445069,0.458186885
SRP19,2645.0,0.430943803,189.0,0.370644,-0.087344336
SRPRB,1784.0,0.427990824,285.0,-0.518888,0.120413687
SRR,1392.0,0.393840903,354.0,-0.317416,0.399454689
SRXN1,2099.0,0.37663928,185.0,-0.885193,-0.487168154
SS18L2,777.0,0.45997865,208.0,1.149881,0.521844531
SSH1,5298.0,0.373517564,146.0,0.05532,-0.13505941
SSH3,2595.0,0.376349937,178.0,-0.87531,0.490958303
SSR2,592.0,0.425839932,80.0,-0.283103,-0.035931852
SSR3,3698.0,0.388415977,156.0,-0.752386,-0.039920417
SSR4,87.0,0.444947593,150.0,0.090362,-0.13743202
SSRP1,422.0,0.394601844,267.0,-0.082002,-0.20208759
SSU72,400.0,0.445120823,325.0,0.069214,0.108248442
ST13,3666.0,0.439823793,468.0,-0.166395,0.417047187
ST14,553.0,0.454138745,193.0,-1.829812,-0.330214934
STAP1,541.0,0.398288494,113.0,6.785645,1.06667347
STARD10,1682.0,0.427301627,944.0,0.009615,1.117686005
STAT1,3294.0,0.408136156,388.0,1.305314,0.008760286
STAT2,1791.0,0.409862748,203.0,0.645528,-0.057999058
STAT6,1168.0,0.380869476,499.0,1.088242,0.438699066
STMN1,1138.0,0.394107416,364.0,-0.045772,-0.709712386
STOM,2222.0,0.387137797,117.0,-0.208119,0.362418529
STOML2,531.0,0.456962681,143.0,-0.449401,0.17043231
STX11,4481.0,0.457080677,192.0,2.461371,0.377112959
STX3,5058.0,0.403902965,547.0,-1.218043,0.453544119
STX7,14891.0,0.417568039,327.0,1.181696,0.317333533
STX8,107.0,0.378438911,150.0,0.332141,0.428690174
SUCLG1,223.0,0.43877655,193.0,-0.323106,-0.093700386
SUFU,3380.0,0.361614756,191.0,-0.096924,0.034526284
SUMF1,999.0,0.37076871,37.0,-1.591441,-0.394607063
SUPT4H1,1112.0,0.438747077,103.0,-0.038174,-0.32317629
SURF2,1720.0,0.440503417,48.0,0.196446,-0.195698557
SURF4,2281.0,0.385472445,476.0,-0.569564,0.188084717
SURF6,4908.0,0.42467207,78.0,-0.266689,-0.144366354
SUV39H1,1669.0,0.463566826,266.0,0.018155,-0.349161778
SVIP,4195.0,0.357937352,217.0,0.10029,1.032980779
SYTL1,80.0,0.364244725,197.0,2.031929,0.55798602
TACC3,165.0,0.385699108,155.0,1.420813,-0.223941289
TADA2B,3064.0,0.464060586,151.0,0.285729,0.136699763
TAF12,689.0,0.435926756,522.0,0.395984,-0.062613361
TAP2,5256.0,0.374969764,175.0,1.980646,0.633148257
TATDN2,2040.0,0.415810908,581.0,0.460827,0.295168933
TBC1D20,3109.0,0.435441414,148.0,-0.132203,0.049198942
TBC1D9B,1396.0,0.395340616,37.0,-0.331001,0.273880331
TBCC,556.0,0.434161456,73.0,0.827728,-0.245918524
TCEAL3,260.0,0.368171822,262.0,-0.871876,0.233180452
TCEAL4,3020.0,0.432120515,489.0,-1.059003,-0.125916839
TCOF1,1640.0,0.41523122,108.0,0.749928,0.185706124
TDP1,1721.0,0.418036689,317.0,0.856098,0.421561062
TDRD7,242.0,0.375852104,234.0,0.422908,-0.138291927
TDRKH,973.0,0.419795099,182.0,-0.694221,-0.289875763
TEP1,2777.0,0.379550228,40.0,1.555625,0.478882106
TFE3,1431.0,0.379068139,541.0,-0.004706,-0.09804127
TFEB,621.0,0.429366592,302.0,1.765493,-0.175223668
THADA,112.0,0.415199561,352.0,0.364682,0.037786814
THBD,2144.0,0.448063145,160.0,0.278883,-0.368282939
THUMPD1,2715.0,0.455087735,225.0,0.10014,-0.111712405
THYN1,205.0,0.377954149,484.0,0.819483,0.442191282
TIMM50,3932.0,0.424829064,722.0,-0.401891,-0.057109097
TIMM8B,2046.0,0.447942532,30.0,-0.272004,-0.493245253
TK2,3965.0,0.360054507,593.0,-0.586948,-0.383492963
TLE1,571.0,0.374791795,1295.0,-1.025861,-0.301593758
TM9SF2,2020.0,0.372522209,233.0,-1.082415,0.154811709
TMED3,1710.0,0.439016102,188.0,-1.44414,-0.344403928
TMED9,708.0,0.44685712,67.0,-0.782395,0.114689488
TMEM126A,52.0,0.406087664,295.0,0.105215,0.658828593
TMEM199,2431.0,0.370998168,90.0,-0.090668,0.152727778
TMEM63A,1407.0,0.385482014,622.0,0.446083,0.238291269
TMOD1,2050.0,0.392927141,213.0,0.859395,-0.453209409
TMSB10,278.0,0.470652003,95.0,0.580404,-0.851799822
TNFAIP2,2079.0,0.44214387,131.0,1.345469,-0.241838298
TNFAIP3,1995.0,0.416242917,370.0,3.136189,0.135657643
TNFAIP8L2,497.0,0.440670719,126.0,3.343106,-0.000341047
TNIP1,770.0,0.448321216,241.0,1.104725,0.385404755
TNK2,822.0,0.420245651,543.0,1.28495,0.448104181
TNPO2,2070.0,0.408799881,358.0,-0.260101,-0.168666143
TNRC18,1316.0,0.449521205,349.0,-0.87221,0.070214962
TOMM5,518.0,0.441712708,107.0,0.126356,-0.397805757
TOP2A,1003.0,0.364102812,159.0,-0.294246,-0.880690921
TOR1A,3160.0,0.446121485,77.0,-0.329573,-0.170881543
TPD52L2,1600.0,0.385071878,138.0,-0.550821,-0.207292919
TPI1,620.0,0.479135356,527.0,-0.524294,-0.116858611
TPM1,757.0,0.403626605,257.0,-1.991901,-0.492149657
TRAF1,7433.0,0.438949906,572.0,3.715957,0.587586589
TRAF3,5716.0,0.386659664,353.0,1.311856,0.300405558
TRAF6,6100.0,0.426668941,381.0,0.231429,-0.087515793
TRAPPC3,634.0,0.441060625,519.0,-0.329344,0.30633543
TRAPPC5,42.0,0.453352607,241.0,0.279208,0.305566924
TRAPPC6B,2539.0,0.437369008,335.0,0.207795,0.055061637
TRAPPC9,3079.0,0.431357199,134.0,-0.51498,0.045111122
TRIM11,3522.0,0.453298916,255.0,-0.251633,-0.030494706
TRIM14,3117.0,0.369225689,165.0,0.776258,-0.062538051
TRIM22,1215.0,0.424423711,379.0,2.527829,0.214190486
TRIM26,1431.0,0.384319522,565.0,0.216597,-0.261520843
TRIM27,2956.0,0.441704825,359.0,-0.049813,-0.725748791
TRIM41,1657.0,0.454716896,737.0,0.649331,0.457955542
TRIM5,2312.0,0.426412011,303.0,0.465657,-0.551574985
TRIP12,3739.0,0.40441217,297.0,0.025742,0.138139466
TRIP13,2852.0,0.433721983,145.0,-0.736841,-0.700862238
TRMT5,3660.0,0.405137655,572.0,-0.529093,-0.313203854
TRUB2,4655.0,0.434714666,759.0,-0.510243,-0.203647949
TSFM,1390.0,0.429356434,57.0,-0.756375,-0.478034743
TSPAN14,15147.0,0.398868986,305.0,0.278343,0.190227593
TSPYL1,7303.0,0.373212405,287.0,-0.657313,0.195599975
TSR2,1366.0,0.464925113,443.0,-0.037339,0.033949839
TTC39C,3394.0,0.378954091,452.0,0.823256,0.07441885
TTC7A,2213.0,0.393400181,1272.0,1.2986,-0.378109102
TTPAL,5319.0,0.425556123,145.0,0.239011,-0.0270338
TUBA1C,110.0,0.451729991,576.0,-0.743995,-0.022057059
TUBA4A,644.0,0.402818439,556.0,1.591623,-0.74631205
TUBB,1030.0,0.390058461,509.0,-0.257341,-0.205800025
TUBB6,2302.0,0.468445054,1139.0,-0.227696,-0.687969432
TUBGCP4,1934.0,0.368175973,296.0,-0.487708,-0.000413266
TUSC1,1294.0,0.429789613,537.0,-1.185467,0.369808841
TXNL4A,3129.0,0.472736328,466.0,-0.274039,0.040080144
TYMP,18.0,0.429537249,376.0,0.699091,0.059835488
TYMS,581.0,0.364557025,159.0,0.297757,-0.367669667
TYROBP,168.0,0.417048036,81.0,0.59744,-0.023883857
UBAP2L,353.0,0.367068802,167.0,-0.306601,-0.086340794
UBE2B,4002.0,0.405496028,420.0,-0.007649,0.091180213
UBE2E1,1034.0,0.417917446,229.0,-0.081313,0.247481652
UBE2E2,1962.0,0.352966355,180.0,-0.171994,-0.454217169
UBE2L3,2365.0,0.455573936,198.0,0.157505,0.1977272
UBE2L6,703.0,0.431638779,653.0,0.524357,-0.06306953
UBE4B,1283.0,0.418913915,688.0,-0.340916,0.149371712
UBIAD1,2303.0,0.446280173,334.0,0.312275,0.57368698
UBR4,797.0,0.387393976,4.0,0.116713,0.213826645
UBTF,2209.0,0.400105612,296.0,0.388005,0.118928831
UBXN1,220.0,0.422601268,194.0,0.972028,0.352937866
UCK2,4043.0,0.447469338,640.0,-1.11554,-0.558120953
UGGT1,5935.0,0.374564832,178.0,-0.334088,-0.208070413
UHRF1BP1,5130.0,0.373569339,234.0,-0.378273,0.436215939
UNC45A,377.0,0.475530537,1022.0,-0.508632,-0.101216917
UNG,1024.0,0.368897526,209.0,-0.699444,-0.539370697
UNK,1388.0,0.447315534,42.0,0.423577,0.105145338
UQCR11,4379.0,0.470309826,75.0,-0.244257,0.199209047
UQCRC1,129.0,0.462829321,45.0,-0.52514,-0.12221254
UQCRH,193.0,0.365128489,320.0,-0.151205,-0.29696348
UROD,171.0,0.391539164,133.0,0.042182,-0.080401371
UROS,3849.0,0.422413435,266.0,-0.262944,0.364992195
USP18,580.0,0.434940763,338.0,0.018723,-0.250298075
USP39,571.0,0.39295741,223.0,-0.077978,0.047702143
UTP6,2466.0,0.429918331,83.0,0.603406,-0.105217172
VAC14,489.0,0.396517204,827.0,0.502573,-0.095912647
VAMP8,451.0,0.398153421,156.0,-0.146801,0.344070066
VASP,824.0,0.388921088,342.0,0.920981,0.138175219
VAT1,1456.0,0.406330787,120.0,-0.962323,-0.235911511
VDAC3,475.0,0.440388181,210.0,-0.233456,-0.533169584
VDR,3209.0,0.450036866,401.0,-1.30107,-0.836474363
VGLL4,2489.0,0.432812067,506.0,-1.290331,-0.235060286
VIM,431.0,0.411136971,462.0,1.01539,-0.204307874
VPS28,291.0,0.476756313,109.0,-0.206682,0.248806413
VPS33B,559.0,0.447669729,583.0,0.541425,0.101112671
VPS39,2053.0,0.440628838,173.0,0.242842,0.105736478
VPS52,2870.0,0.393546356,887.0,-0.159832,0.260023346
WASF2,4090.0,0.365213822,245.0,0.055616,0.042292913
WBP2,1040.0,0.392225719,515.0,-0.153343,-0.141421385
WDFY2,7044.0,0.36603015,340.0,0.795219,0.002058006
WDR1,1039.0,0.393247178,368.0,0.198645,0.347072556
WDR36,3619.0,0.40459335,117.0,0.429263,-0.047440067
WDR37,8068.0,0.365587877,173.0,0.390055,0.284422639
WDR4,293.0,0.380589271,581.0,-0.103651,-0.378410154
WDR47,1216.0,0.402106333,376.0,-0.475769,0.119708464
WDR48,1924.0,0.419028298,472.0,0.022093,0.190875252
WDR5,1979.0,0.401607191,171.0,-0.652462,-0.219852265
WDR54,97.0,0.394793766,128.0,0.653429,0.700574734
WDR61,197.0,0.411764619,310.0,-0.612128,0.052638872
WDR77,4184.0,0.412330102,139.0,0.415379,0.036539347
WDR91,4946.0,0.380864599,823.0,0.664002,0.015997605
WDR92,2520.0,0.427217839,117.0,-0.028703,0.15975039
YTHDF1,1279.0,0.384821843,294.0,-0.459888,-0.478788521
YTHDF3,3082.0,0.406652071,509.0,-0.537327,-0.384746192
YY1,5192.0,0.440120149,480.0,0.106233,0.043330364
ZBED1,2221.0,0.457533868,282.0,-0.28392,0.26124266
ZBTB8OS,1087.0,0.406816332,276.0,0.815781,0.125015676
ZC3H12A,768.0,0.421626239,1056.0,0.966802,0.228591903
ZC3H4,2169.0,0.436042942,38.0,0.314339,0.064669624
ZCCHC10,81.0,0.361883573,67.0,0.320077,0.297907064
ZFP36L1,2846.0,0.395541595,976.0,0.501572,-0.129838209
ZMAT2,1942.0,0.460376067,101.0,-0.063705,0.163155396
ZMIZ2,4165.0,0.419562196,128.0,0.767401,-0.49632352
ZMYM3,1292.0,0.378831729,749.0,-0.057475,-0.155378473
ZNF207,13817.0,0.386696564,148.0,0.431509,0.000918368
ZNF414,113.0,0.422835658,118.0,0.327974,-0.198844484
ZNF511,243.0,0.452392726,55.0,0.248602,0.250290574
ZNF516,4816.0,0.393186692,318.0,-0.526516,0.446857071
ZNF622,1298.0,0.463753859,120.0,-0.276789,0.442439722
ZNHIT2,49.0,0.440612513,85.0,-0.152612,-0.041953814
ZNHIT3,419.0,0.425204303,73.0,0.225876,-0.014683847
ZWINT,4585.0,0.411772707,37.0,-0.629981,-0.426063282
