,3prime,tAI,max_5_UTR_length,TCGA-A8-A09G,TCGA-A8-A09G.1
SERPINB8,2096.0,0.38524815,520.0,0.085387,-0.430568969
SETMAR,321.0,0.414235412,398.0,1.06698,0.516808493
SEZ6L2,540.0,0.431800162,245.0,0.875156,0.302054426
SF1,2419.0,0.374481437,721.0,0.113722,-0.079893604
SF3B2,563.0,0.453902675,40.0,-0.009882,-0.035194642
SFXN4,500.0,0.402513841,45.0,0.303118,0.064546829
SH3BP1,433.0,0.395530944,313.0,-0.270553,0.021064589
SH3PXD2B,4870.0,0.420952884,171.0,-0.996119,-0.573472084
SHMT1,4335.0,0.394510245,509.0,-0.390089,-0.06637533
SIGLEC1,1590.0,0.42099348,0.0,0.949694,-0.124232478
SIPA1,2933.0,0.437718847,296.0,0.081416,-0.100648902
SIRPA,3027.0,0.429235057,360.0,-0.266484,-0.041980811
SKP1,8791.0,0.433886974,179.0,-0.138993,-0.413617961
SLBP,3046.0,0.391438372,553.0,-0.621878,-0.746891512
SLC25A10,1929.0,0.386184273,191.0,0.638911,0.713716136
SLC25A19,477.0,0.386093473,224.0,-0.193359,-1.563260659
SLC25A20,787.0,0.382641976,199.0,0.288539,-0.045572857
SLC25A3,504.0,0.383836987,354.0,0.527764,0.349608789
SLC25A40,2688.0,0.363984785,375.0,0.340308,0.300574366
SLC25A6,450.0,0.487227384,137.0,0.802305,0.477197529
SLC27A3,163.0,0.439664345,91.0,0.038965,0.512111884
SLC39A10,2661.0,0.346494338,214.0,-0.251988,-0.175685563
SLC43A2,6357.0,0.437839378,341.0,-0.091121,-2.07480905
SLC43A3,838.0,0.382351997,447.0,-0.864996,-3.290859147
SLC44A1,8291.0,0.4365497,264.0,-0.15689,-0.518101081
SLC9A3R1,709.0,0.400889529,235.0,0.590738,-0.241791946
SMAP2,1225.0,0.404145004,415.0,0.616014,0.315630706
SMC1A,5954.0,0.490702048,340.0,0.663863,-0.275279901
SMG5,1363.0,0.383248033,540.0,0.680959,0.35395876
SMS,2660.0,0.417677888,252.0,0.009114,0.030719267
SMYD3,223.0,0.378821529,130.0,-1.627673,-0.344859805
SNRNP200,676.0,0.454045162,132.0,-0.248007,0.031700724
SNRPC,474.0,0.427936125,450.0,0.02995,0.025597755
SNRPD1,4386.0,0.384326147,161.0,-0.899604,0.068600261
SNRPN,279.0,0.390283395,1145.0,-0.235284,0.270370893
SNX24,5071.0,0.338464018,185.0,-2.600799,-1.315705069
SNX30,6144.0,0.426743352,148.0,0.491051,-0.222066231
SNX33,5086.0,0.383330712,96.0,-0.734615,0.132817921
SOD1,353.0,0.438546885,148.0,-0.138372,-0.655661892
SOD2,13436.0,0.435065133,1828.0,0.016452,0.164044147
SP110,3922.0,0.401738483,258.0,0.288623,0.09185954
SPC24,1691.0,0.381793277,320.0,1.99796,0.048150863
SPC25,540.0,0.373816265,131.0,0.076466,-0.224198842
SPCS1,3333.0,0.417439524,205.0,-0.000469,0.118663296
SPI1,383.0,0.406748349,223.0,-0.122104,0.000792765
SPRYD4,1406.0,0.430591965,75.0,-0.026539,0.28780442
SQSTM1,1485.0,0.412192979,360.0,-0.267883,-0.365016702
SRC,2671.0,0.437602812,449.0,-0.421248,-0.104559155
SRGAP2,3018.0,0.377689891,542.0,-0.513543,-0.247803936
SRI,5365.0,0.424260151,79.0,-0.986303,-0.443022119
SRP19,2645.0,0.430943803,189.0,0.616178,0.330780562
SRPRB,1784.0,0.427990824,285.0,0.626673,0.42425207
SRR,1392.0,0.393840903,354.0,-0.877124,0.383425372
SRXN1,2099.0,0.37663928,185.0,1.32047,0.802286285
SS18L2,777.0,0.45997865,208.0,0.320572,-0.230573852
SSH1,5298.0,0.373517564,146.0,0.274588,0.137988207
SSH3,2595.0,0.376349937,178.0,-0.525138,0.165760996
SSR2,592.0,0.425839932,80.0,0.860211,-0.238869802
SSR3,3698.0,0.388415977,156.0,0.929153,-0.924323301
SSR4,87.0,0.444947593,150.0,0.731435,-0.329874624
SSRP1,422.0,0.394601844,267.0,-0.143389,0.036843574
SSU72,400.0,0.445120823,325.0,0.14452,-0.106012818
ST13,3666.0,0.439823793,468.0,0.03278,-0.329119205
ST14,553.0,0.454138745,193.0,1.088051,-0.405726841
STARD10,1682.0,0.427301627,944.0,0.23273,0.620245946
STAT1,3294.0,0.408136156,388.0,1.180266,0.415759492
STAT2,1791.0,0.409862748,203.0,0.855526,0.806082339
STAT6,1168.0,0.380869476,499.0,-0.671818,-0.115504577
STMN1,1138.0,0.394107416,364.0,0.070027,-1.12366296
STOM,2222.0,0.387137797,117.0,-0.864999,-0.246803991
STOML2,531.0,0.456962681,143.0,-0.021053,-0.535516328
STX3,5058.0,0.403902965,547.0,0.638346,-0.437845301
STX7,14891.0,0.417568039,327.0,0.198152,-0.007999454
STX8,107.0,0.378438911,150.0,-0.604543,0.655989826
SUCLG1,223.0,0.43877655,193.0,-0.085017,-0.144925881
SUFU,3380.0,0.361614756,191.0,0.583966,0.30310518
SUMF1,999.0,0.37076871,37.0,-0.356555,-0.31896061
SUPT4H1,1112.0,0.438747077,103.0,0.56978,1.260545651
SURF2,1720.0,0.440503417,48.0,-0.166913,-0.439958779
SURF4,2281.0,0.385472445,476.0,0.964939,0.6866612
SURF6,4908.0,0.42467207,78.0,0.11471,-0.460853812
SUV39H1,1669.0,0.463566826,266.0,0.313414,0.289575376
SVIP,4195.0,0.357937352,217.0,0.482118,0.268553011
SYTL1,80.0,0.364244725,197.0,0.313376,0.823524163
TACC3,165.0,0.385699108,155.0,-0.413298,-0.192516587
TADA2B,3064.0,0.464060586,151.0,-0.162581,1.209918113
TAF12,689.0,0.435926756,522.0,-0.070057,-0.735306094
TAP2,5256.0,0.374969764,175.0,1.195214,-0.038832984
TATDN2,2040.0,0.415810908,581.0,0.003648,-0.069206777
TBC1D20,3109.0,0.435441414,148.0,0.312283,-0.841409476
TBC1D9B,1396.0,0.395340616,37.0,0.1616,0.111210018
TBCC,556.0,0.434161456,73.0,0.233363,0.520165868
TCEAL3,260.0,0.368171822,262.0,-0.501015,-1.358866912
TCEAL4,3020.0,0.432120515,489.0,-0.876362,-1.473312617
TCOF1,1640.0,0.41523122,108.0,0.092775,-0.801493803
TDP1,1721.0,0.418036689,317.0,0.561549,0.495644686
TDRD7,242.0,0.375852104,234.0,-0.529367,-0.681082896
TDRKH,973.0,0.419795099,182.0,0.330151,0.281499942
TEP1,2777.0,0.379550228,40.0,0.672121,0.193907847
TFE3,1431.0,0.379068139,541.0,-0.290486,-0.765835758
TFEB,621.0,0.429366592,302.0,-0.611266,-1.5385366
THADA,112.0,0.415199561,352.0,-0.555415,0.162789987
THBD,2144.0,0.448063145,160.0,-1.31075,-2.032671237
THUMPD1,2715.0,0.455087735,225.0,0.802426,0.367763001
THYN1,205.0,0.377954149,484.0,-0.343674,0.235754127
TIMM50,3932.0,0.424829064,722.0,0.283287,-0.401466593
TIMM8B,2046.0,0.447942532,30.0,0.509064,0.08059034
TK2,3965.0,0.360054507,593.0,-0.452773,0.167190461
TLE1,571.0,0.374791795,1295.0,1.664893,-0.116760368
TM9SF2,2020.0,0.372522209,233.0,1.041813,0.040439843
TMED3,1710.0,0.439016102,188.0,1.810823,0.879956763
TMED9,708.0,0.44685712,67.0,0.784889,1.045160841
TMEM126A,52.0,0.406087664,295.0,-0.137755,0.241723524
TMEM199,2431.0,0.370998168,90.0,-0.233152,-1.399222451
TMEM63A,1407.0,0.385482014,622.0,1.009465,1.168549995
TMOD1,2050.0,0.392927141,213.0,-1.017082,-0.239809619
TMSB10,278.0,0.470652003,95.0,0.860854,0.284709026
TNFAIP2,2079.0,0.44214387,131.0,-0.592277,-0.360411875
TNFAIP3,1995.0,0.416242917,370.0,0.00741,-0.373271415
TNFAIP8L2,497.0,0.440670719,126.0,-0.445443,-0.669691849
TNIP1,770.0,0.448321216,241.0,-0.020448,0.012458104
TNK2,822.0,0.420245651,543.0,-0.390685,-0.668800044
TNPO2,2070.0,0.408799881,358.0,-0.476676,-0.165029488
TNRC18,1316.0,0.449521205,349.0,0.020588,0.463912394
TOMM5,518.0,0.441712708,107.0,0.494988,-1.111131751
TOMM6,1957.0,0.431553434,255.0,-0.471722,-0.787518643
TOP2A,1003.0,0.364102812,159.0,-0.501818,-0.82387262
TOR1A,3160.0,0.446121485,77.0,0.120856,0.64236924
TPD52L2,1600.0,0.385071878,138.0,-0.008527,-0.042401608
TPI1,620.0,0.479135356,527.0,-0.824154,-0.414378398
TPM1,757.0,0.403626605,257.0,-0.851251,-0.433522142
TRAF1,7433.0,0.438949906,572.0,0.837905,0.815075378
TRAF3,5716.0,0.386659664,353.0,0.65324,-0.665037485
TRAF6,6100.0,0.426668941,381.0,0.531511,0.50886913
TRAPPC3,634.0,0.441060625,519.0,0.060999,-0.044372422
TRAPPC5,42.0,0.453352607,241.0,-0.030344,0.325080981
TRAPPC6B,2539.0,0.437369008,335.0,0.001133,0.002982842
TRAPPC9,3079.0,0.431357199,134.0,-0.436431,0.375883524
TRIM11,3522.0,0.453298916,255.0,-0.177557,-0.142229654
TRIM13,5308.0,0.419190719,763.0,-0.123052,-2.91584273
TRIM14,3117.0,0.369225689,165.0,1.746504,1.025339018
TRIM22,1215.0,0.424423711,379.0,0.510806,0.298533522
TRIM26,1431.0,0.384319522,565.0,0.823202,0.485282985
TRIM27,2956.0,0.441704825,359.0,0.518716,0.856181425
TRIM41,1657.0,0.454716896,737.0,-0.135896,-0.787305477
TRIM5,2312.0,0.426412011,303.0,0.593932,-0.233352483
TRIP12,3739.0,0.40441217,297.0,0.551591,0.487504965
TRIP13,2852.0,0.433721983,145.0,0.29998,-0.133548609
TRMT5,3660.0,0.405137655,572.0,-0.578174,-0.170845515
TRUB2,4655.0,0.434714666,759.0,-0.091902,-0.365235312
TSFM,1390.0,0.429356434,57.0,0.101354,0.510379123
TSPAN14,15147.0,0.398868986,305.0,0.08158,-0.164770408
TSPYL1,7303.0,0.373212405,287.0,0.472579,0.414175609
TSR2,1366.0,0.464925113,443.0,0.321287,0.05829798
TTC39C,3394.0,0.378954091,452.0,-0.530967,0.011024857
TTC7A,2213.0,0.393400181,1272.0,-0.100112,0.264878891
TTPAL,5319.0,0.425556123,145.0,0.022765,0.02536274
TTYH3,3063.0,0.383645273,187.0,0.669875,-0.434358505
TUBA1C,110.0,0.451729991,576.0,0.49426,0.407094191
TUBA4A,644.0,0.402818439,556.0,0.434683,0.419368901
TUBB,1030.0,0.390058461,509.0,0.399737,0.204654761
TUBB6,2302.0,0.468445054,1139.0,-1.527595,-0.266869868
TUBGCP4,1934.0,0.368175973,296.0,-0.112684,-0.497942182
TUSC1,1294.0,0.429789613,537.0,-0.675259,-0.069728698
TXNL4A,3129.0,0.472736328,466.0,-0.759244,-0.416895612
TYMP,18.0,0.429537249,376.0,1.316367,0.606086024
TYMS,581.0,0.364557025,159.0,-0.068322,-0.060748984
TYROBP,168.0,0.417048036,81.0,-0.457539,-0.331244574
UBAP2L,353.0,0.367068802,167.0,0.044377,-0.260493927
UBE2B,4002.0,0.405496028,420.0,-0.3299,0.270581392
UBE2E1,1034.0,0.417917446,229.0,-0.256394,0.039545483
UBE2E2,1962.0,0.352966355,180.0,-1.282197,-1.959476462
UBE2L3,2365.0,0.455573936,198.0,0.295455,0.325510466
UBE2L6,703.0,0.431638779,653.0,0.710306,0.601548572
UBE4B,1283.0,0.418913915,688.0,0.115217,0.331668679
UBR4,797.0,0.387393976,4.0,-0.07764,-0.115651077
UBTF,2209.0,0.400105612,296.0,-0.430576,-0.454510689
UBXN1,220.0,0.422601268,194.0,-0.685623,-0.28584541
UCK2,4043.0,0.447469338,640.0,0.173154,0.106281675
UGGT1,5935.0,0.374564832,178.0,1.217476,0.434115319
UHRF1BP1,5130.0,0.373569339,234.0,0.285102,0.031124608
UNC45A,377.0,0.475530537,1022.0,-0.364866,-0.331738031
UNG,1024.0,0.368897526,209.0,0.147622,-0.574853189
UNK,1388.0,0.447315534,42.0,-0.792293,-0.901323249
UQCR11,4379.0,0.470309826,75.0,-0.831598,0.666733627
UQCRC1,129.0,0.462829321,45.0,0.511933,0.882129945
UQCRH,193.0,0.365128489,320.0,0.919529,0.374461307
UROD,171.0,0.391539164,133.0,-0.885908,0.159628407
UROS,3849.0,0.422413435,266.0,0.515708,0.148975043
USP18,580.0,0.434940763,338.0,1.329116,0.27203243
USP39,571.0,0.39295741,223.0,-0.325863,-0.435865377
UTP6,2466.0,0.429918331,83.0,0.530137,0.159755601
VAC14,489.0,0.396517204,827.0,-0.747619,-0.079552577
VAMP8,451.0,0.398153421,156.0,-0.659342,-0.267609925
VASP,824.0,0.388921088,342.0,-0.506262,-0.515603215
VAT1,1456.0,0.406330787,120.0,0.126665,0.469123003
VDAC3,475.0,0.440388181,210.0,0.145221,0.294272857
VDR,3209.0,0.450036866,401.0,-1.037723,-0.139387621
VGLL4,2489.0,0.432812067,506.0,-0.191066,-0.122364657
VIM,431.0,0.411136971,462.0,-1.331219,-0.489291518
VLDLR,6202.0,0.388727284,416.0,0.569055,-0.847655535
VPS28,291.0,0.476756313,109.0,-0.592553,0.049215331
VPS33B,559.0,0.447669729,583.0,0.086544,0.476571352
VPS39,2053.0,0.440628838,173.0,-0.324697,0.232771368
VPS52,2870.0,0.393546356,887.0,-0.276141,-0.053532704
WASF2,4090.0,0.365213822,245.0,0.63562,-0.051353689
WBP2,1040.0,0.392225719,515.0,-0.687826,-0.650752642
WDFY2,7044.0,0.36603015,340.0,-0.035567,-0.276245284
WDR1,1039.0,0.393247178,368.0,-0.712852,-0.420117947
WDR36,3619.0,0.40459335,117.0,0.459461,-0.105712335
WDR37,8068.0,0.365587877,173.0,1.543797,0.380634037
WDR4,293.0,0.380589271,581.0,0.305727,-0.298713983
WDR47,1216.0,0.402106333,376.0,-0.425485,-0.186379335
WDR48,1924.0,0.419028298,472.0,-0.213031,0.224795877
WDR5,1979.0,0.401607191,171.0,0.294626,0.263908666
WDR54,97.0,0.394793766,128.0,-1.068615,0.494950736
WDR61,197.0,0.411764619,310.0,0.18267,0.34790685
WDR77,4184.0,0.412330102,139.0,0.255231,0.297052579
WDR91,4946.0,0.380864599,823.0,-0.168498,-0.120624318
WDR92,2520.0,0.427217839,117.0,-0.058254,0.352497924
YTHDF1,1279.0,0.384821843,294.0,0.089265,-0.453065322
YTHDF3,3082.0,0.406652071,509.0,0.284558,-0.278428637
YY1,5192.0,0.440120149,480.0,-0.022346,-1.153097389
ZBED1,2221.0,0.457533868,282.0,-0.445046,0.165668133
ZBTB8OS,1087.0,0.406816332,276.0,0.830568,-0.115077715
ZC3H12A,768.0,0.421626239,1056.0,0.903959,-0.384228532
ZC3H4,2169.0,0.436042942,38.0,-0.085329,-0.506402922
ZCCHC10,81.0,0.361883573,67.0,-0.246677,0.717933769
ZCCHC2,2006.0,0.404185753,0.0,-0.383597,0.224933944
ZFP36L1,2846.0,0.395541595,976.0,-0.337998,-0.16019205
ZMAT2,1942.0,0.460376067,101.0,-0.136869,-0.943848186
ZMIZ2,4165.0,0.419562196,128.0,-0.048298,-0.297866299
ZMYM3,1292.0,0.378831729,749.0,-0.046475,0.254414361
ZNF207,13817.0,0.386696564,148.0,0.497083,0.190845005
ZNF414,113.0,0.422835658,118.0,-0.394881,-1.396467054
ZNF511,243.0,0.452392726,55.0,-0.109221,0.86895634
ZNF516,4816.0,0.393186692,318.0,-2.569205,-1.722015798
ZNF622,1298.0,0.463753859,120.0,-0.029733,-0.663507244
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,0.013925702
ZNHIT3,419.0,0.425204303,73.0,0.358533,-1.028676608
ZWINT,4585.0,0.411772707,37.0,0.902959,0.352150808
