,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TR,TCGA-AR-A0TR.1
SEC13,332.0,0.457264526,210.0,-0.193709,0.187237175
SEC14L1,2986.0,0.420320088,665.0,-0.785964,-0.603319311
SEC22A,2559.0,0.422343815,79.0,0.111108,0.428154581
SEC24B,1221.0,0.400931805,155.0,0.037216,0.09945332
SEC24D,2115.0,0.386600041,297.0,-0.395676,-0.218127595
SEC61B,270.0,0.404562259,76.0,-0.485068,0.133367603
SEMA3F,960.0,0.38837398,318.0,0.16092,-0.230905326
SEMA4A,755.0,0.412797256,345.0,1.101192,0.344809453
SEMA4D,2318.0,0.393173667,572.0,0.279582,0.214344494
SERPINA1,1707.0,0.420489385,573.0,-0.686138,-1.305048635
SERPINB8,2096.0,0.38524815,520.0,-1.079392,-0.11832478
SETMAR,321.0,0.414235412,398.0,0.492788,0.637910795
SEZ6L2,540.0,0.431800162,245.0,1.010419,0.829281328
SF1,2419.0,0.374481437,721.0,0.47895,0.248128494
SF3B2,563.0,0.453902675,40.0,0.041865,0.046616464
SFXN4,500.0,0.402513841,45.0,-0.477979,0.15167413
SH3BP1,433.0,0.395530944,313.0,-1.929879,-0.766256411
SH3PXD2B,4870.0,0.420952884,171.0,-1.343943,-0.776134326
SHMT1,4335.0,0.394510245,509.0,-0.68711,-0.697459767
SIGLEC1,1590.0,0.42099348,0.0,-1.710978,-0.202707778
SIPA1,2933.0,0.437718847,296.0,-0.415431,-0.39248257
SIRPA,3027.0,0.429235057,360.0,-2.443053,-0.66856437
SKP1,8791.0,0.433886974,179.0,0.442059,-0.106670565
SLBP,3046.0,0.391438372,553.0,-1.613982,-0.492806822
SLC25A10,1929.0,0.386184273,191.0,-0.354107,-0.152640442
SLC25A19,477.0,0.386093473,224.0,-1.141729,0.216549914
SLC25A20,787.0,0.382641976,199.0,0.217715,0.561683623
SLC25A3,504.0,0.383836987,354.0,0.214916,0.913895353
SLC25A40,2688.0,0.363984785,375.0,0.936384,0.575642611
SLC25A42,2156.0,0.366871382,156.0,0.556881,0.395459477
SLC25A6,450.0,0.487227384,137.0,-0.043744,0.129653427
SLC27A3,163.0,0.439664345,91.0,-1.427138,-0.063454632
SLC29A1,2913.0,0.455987116,491.0,0.538457,-0.8622488
SLC39A10,2661.0,0.346494338,214.0,-0.129888,0.405185772
SLC43A2,6357.0,0.437839378,341.0,0.441961,-0.84957716
SLC44A1,8291.0,0.4365497,264.0,0.960073,1.410713978
SLC9A3R1,709.0,0.400889529,235.0,-0.72837,-0.588959893
SMAP2,1225.0,0.404145004,415.0,0.390134,-0.037010077
SMC1A,5954.0,0.490702048,340.0,-0.144137,0.439975005
SMG5,1363.0,0.383248033,540.0,0.272708,-0.118595081
SMS,2660.0,0.417677888,252.0,-0.659222,-0.325578851
SMYD3,223.0,0.378821529,130.0,0.293228,0.982853524
SNRNP200,676.0,0.454045162,132.0,-0.040114,0.155397179
SNRPC,474.0,0.427936125,450.0,-0.008364,-0.257197036
SNRPD1,4386.0,0.384326147,161.0,-0.412254,-0.053295892
SNRPN,279.0,0.390283395,1145.0,-0.379369,0.37271547
SNX24,5071.0,0.338464018,185.0,0.15217,0.359349392
SNX30,6144.0,0.426743352,148.0,0.528622,-0.005756905
SNX33,5086.0,0.383330712,96.0,-0.199589,-0.310839672
SOD1,353.0,0.438546885,148.0,-0.188576,0.648345772
SOD2,13436.0,0.435065133,1828.0,-1.931811,-1.298755977
SP110,3922.0,0.401738483,258.0,-0.38254,-0.010196127
SPC24,1691.0,0.381793277,320.0,-0.815001,-0.889201696
SPC25,540.0,0.373816265,131.0,0.831453,-0.587159636
SPCS1,3333.0,0.417439524,205.0,0.223117,-0.041143234
SPI1,383.0,0.406748349,223.0,-1.624667,-0.462755663
SPRYD4,1406.0,0.430591965,75.0,1.142299,0.612264105
SQSTM1,1485.0,0.412192979,360.0,-0.031184,-0.282138593
SRC,2671.0,0.437602812,449.0,-2.391311,-0.780236731
SRGAP2,3018.0,0.377689891,542.0,-0.901799,-0.548029983
SRI,5365.0,0.424260151,79.0,-0.330887,-0.108538076
SRP19,2645.0,0.430943803,189.0,0.160364,-0.294184281
SRPRB,1784.0,0.427990824,285.0,-0.028846,0.285125308
SRR,1392.0,0.393840903,354.0,0.116423,0.349948346
SRXN1,2099.0,0.37663928,185.0,-0.125712,-0.163344924
SS18L2,777.0,0.45997865,208.0,-0.225279,-0.083151494
SSH1,5298.0,0.373517564,146.0,-0.048365,0.003767342
SSH3,2595.0,0.376349937,178.0,0.282322,0.170692589
SSR2,592.0,0.425839932,80.0,-0.443159,-0.071768408
SSR3,3698.0,0.388415977,156.0,0.2854,0.728087988
SSR4,87.0,0.444947593,150.0,-0.816667,-0.284572718
SSRP1,422.0,0.394601844,267.0,0.064251,0.834933956
SSU72,400.0,0.445120823,325.0,-0.312015,0.22001745
ST13,3666.0,0.439823793,468.0,-0.444237,-0.611384941
ST14,553.0,0.454138745,193.0,0.086506,0.00335635
STARD10,1682.0,0.427301627,944.0,0.591324,-0.176419753
STAT1,3294.0,0.408136156,388.0,-0.883413,-1.108587332
STAT2,1791.0,0.409862748,203.0,0.110183,-0.325757814
STAT6,1168.0,0.380869476,499.0,0.992915,0.646216242
STMN1,1138.0,0.394107416,364.0,-1.037396,-0.779867458
STOM,2222.0,0.387137797,117.0,-1.331337,-0.269119671
STOML2,531.0,0.456962681,143.0,-0.180748,-0.137779956
STX3,5058.0,0.403902965,547.0,0.13778,0.919284776
STX7,14891.0,0.417568039,327.0,-0.61234,-0.118377778
STX8,107.0,0.378438911,150.0,-1.49319,-0.353652058
SUCLG1,223.0,0.43877655,193.0,0.229826,0.168163018
SUFU,3380.0,0.361614756,191.0,-0.378744,-0.58958444
SUMF1,999.0,0.37076871,37.0,0.611064,-0.188859399
SUPT4H1,1112.0,0.438747077,103.0,-0.149896,-0.122961503
SURF2,1720.0,0.440503417,48.0,0.603483,0.48236502
SURF4,2281.0,0.385472445,476.0,0.166128,0.210669843
SURF6,4908.0,0.42467207,78.0,0.676311,1.007961061
SUV39H1,1669.0,0.463566826,266.0,0.127655,0.186332008
SVIP,4195.0,0.357937352,217.0,0.519748,0.448320785
SYTL1,80.0,0.364244725,197.0,0.315582,0.255717836
TACC3,165.0,0.385699108,155.0,-2.088853,-1.067616931
TADA2B,3064.0,0.464060586,151.0,-0.310336,0.28812023
TAF12,689.0,0.435926756,522.0,0.19048,0.494682301
TAP2,5256.0,0.374969764,175.0,-1.790185,-0.50457838
TBC1D20,3109.0,0.435441414,148.0,0.319346,0.120390616
TBC1D9B,1396.0,0.395340616,37.0,0.410746,-0.016655956
TBCC,556.0,0.434161456,73.0,0.686641,-0.010970917
TCEAL3,260.0,0.368171822,262.0,1.124587,1.806849692
TCEAL4,3020.0,0.432120515,489.0,1.125165,1.736994365
TCOF1,1640.0,0.41523122,108.0,0.243918,0.814961186
TDP1,1721.0,0.418036689,317.0,-0.146303,0.459463472
TDRD7,242.0,0.375852104,234.0,0.847628,0.439594301
TDRKH,973.0,0.419795099,182.0,0.926808,0.229534022
TEP1,2777.0,0.379550228,40.0,0.890582,-0.222564157
TFE3,1431.0,0.379068139,541.0,-0.72484,0.154385428
TFEB,621.0,0.429366592,302.0,-1.076524,-0.971533239
THADA,112.0,0.415199561,352.0,0.207884,-0.023868435
THUMPD1,2715.0,0.455087735,225.0,0.521743,0.472990143
THYN1,205.0,0.377954149,484.0,0.457144,1.163277524
TIMM50,3932.0,0.424829064,722.0,-0.013784,0.308186789
TIMM8B,2046.0,0.447942532,30.0,-0.497995,0.343410063
TK2,3965.0,0.360054507,593.0,0.718289,0.211858002
TLE1,571.0,0.374791795,1295.0,-0.075475,0.935978524
TM9SF2,2020.0,0.372522209,233.0,0.254614,0.470333417
TMED3,1710.0,0.439016102,188.0,-0.663825,-0.516932436
TMED9,708.0,0.44685712,67.0,0.118512,0.473561602
TMEM126A,52.0,0.406087664,295.0,-0.284168,0.595846604
TMEM199,2431.0,0.370998168,90.0,0.188507,0.421425789
TMEM63A,1407.0,0.385482014,622.0,0.686897,0.154699512
TMOD1,2050.0,0.392927141,213.0,-2.66657,-1.673805665
TMSB10,278.0,0.470652003,95.0,-1.525891,-1.055883831
TNFAIP2,2079.0,0.44214387,131.0,-2.447239,-1.420331477
TNFAIP3,1995.0,0.416242917,370.0,-1.74551,-0.253159533
TNFAIP8L2,497.0,0.440670719,126.0,-1.37578,-0.748128512
TNIP1,770.0,0.448321216,241.0,-0.025769,-0.139692219
TNK2,822.0,0.420245651,543.0,-0.058622,-0.007863472
TNPO2,2070.0,0.408799881,358.0,0.267571,0.528693383
TNRC18,1316.0,0.449521205,349.0,1.003719,0.506495722
TOMM5,518.0,0.441712708,107.0,-1.322488,0.532143482
TOMM6,1957.0,0.431553434,255.0,-0.070136,0.534921398
TOP2A,1003.0,0.364102812,159.0,-0.670196,-0.695559379
TOR1A,3160.0,0.446121485,77.0,0.407208,0.206264696
TPD52L2,1600.0,0.385071878,138.0,-0.428228,-0.872797819
TPI1,620.0,0.479135356,527.0,-1.230662,-0.306561893
TPM1,757.0,0.403626605,257.0,-1.998127,-1.442789974
TRAF1,7433.0,0.438949906,572.0,-0.207734,-0.23273562
TRAF3,5716.0,0.386659664,353.0,0.065296,-0.984600939
TRAF6,6100.0,0.426668941,381.0,0.501458,-0.023944121
TRAPPC3,634.0,0.441060625,519.0,-0.409741,0.002432118
TRAPPC5,42.0,0.453352607,241.0,-0.253851,0.352918209
TRAPPC6B,2539.0,0.437369008,335.0,0.481832,0.243599086
TRAPPC9,3079.0,0.431357199,134.0,-0.539802,-0.154323066
TRIM11,3522.0,0.453298916,255.0,0.335283,-0.222632698
TRIM13,5308.0,0.419190719,763.0,-0.056702,0.534912794
TRIM14,3117.0,0.369225689,165.0,-0.445109,-0.412911612
TRIM22,1215.0,0.424423711,379.0,-1.674592,-0.838543367
TRIM26,1431.0,0.384319522,565.0,0.162019,0.13232425
TRIM27,2956.0,0.441704825,359.0,0.523432,0.023880334
TRIM41,1657.0,0.454716896,737.0,1.019561,0.602371647
TRIM5,2312.0,0.426412011,303.0,-0.284311,-0.456871327
TRIP12,3739.0,0.40441217,297.0,0.527844,0.035768315
TRIP13,2852.0,0.433721983,145.0,-1.095971,-1.490519291
TRMT5,3660.0,0.405137655,572.0,0.187035,0.187762703
TRUB2,4655.0,0.434714666,759.0,0.469384,0.273975799
TSFM,1390.0,0.429356434,57.0,0.39792,0.28373835
TSPAN14,15147.0,0.398868986,305.0,-0.470776,0.152131093
TSPYL1,7303.0,0.373212405,287.0,0.953964,0.041728597
TSR2,1366.0,0.464925113,443.0,0.350371,-0.293228832
TTC39C,3394.0,0.378954091,452.0,0.380878,-0.102782493
TTC7A,2213.0,0.393400181,1272.0,-1.746915,-1.410078043
TTPAL,5319.0,0.425556123,145.0,0.101625,-0.404464431
TTYH3,3063.0,0.383645273,187.0,-1.96456,-0.503359963
TUBA1C,110.0,0.451729991,576.0,-0.684491,-0.394797371
TUBA4A,644.0,0.402818439,556.0,-0.007256,-0.775504953
TUBB,1030.0,0.390058461,509.0,-1.127575,-1.145951703
TUBB6,2302.0,0.468445054,1139.0,-2.919729,-1.683662526
TUBGCP4,1934.0,0.368175973,296.0,-0.331725,-0.001561849
TUSC1,1294.0,0.429789613,537.0,-0.092002,-0.240305042
TXNL4A,3129.0,0.472736328,466.0,-0.093192,0.243560204
TYMP,18.0,0.429537249,376.0,-2.08066,-1.101074325
TYMS,581.0,0.364557025,159.0,-2.309746,-1.046931308
TYROBP,168.0,0.417048036,81.0,-1.575634,0.391723995
UBAP2L,353.0,0.367068802,167.0,0.556907,0.015977818
UBE2B,4002.0,0.405496028,420.0,0.067061,0.070542204
UBE2E1,1034.0,0.417917446,229.0,-0.435883,-0.09625086
UBE2L3,2365.0,0.455573936,198.0,-1.247482,-0.788307812
UBE2L6,703.0,0.431638779,653.0,-0.32461,-0.671073982
UBE4B,1283.0,0.418913915,688.0,0.536702,-0.195832673
UBIAD1,2303.0,0.446280173,334.0,0.745144,1.350722735
UBR4,797.0,0.387393976,4.0,0.654817,0.20702167
UBTF,2209.0,0.400105612,296.0,0.34093,0.655560281
UBXN1,220.0,0.422601268,194.0,0.380281,0.083892632
UCK2,4043.0,0.447469338,640.0,-0.54352,-0.659252949
UGGT1,5935.0,0.374564832,178.0,0.242449,-0.617792421
UHRF1BP1,5130.0,0.373569339,234.0,0.985263,0.274127179
UNC45A,377.0,0.475530537,1022.0,-0.346576,-0.284881129
UNG,1024.0,0.368897526,209.0,-0.219023,0.44079366
UNK,1388.0,0.447315534,42.0,0.192,0.162537277
UQCR11,4379.0,0.470309826,75.0,-0.383907,-0.055266643
UQCRC1,129.0,0.462829321,45.0,-0.018953,0.260935191
UQCRH,193.0,0.365128489,320.0,-0.156471,-0.158283224
UROD,171.0,0.391539164,133.0,-0.625246,-0.359662816
UROS,3849.0,0.422413435,266.0,-0.466805,-0.266560609
USP18,580.0,0.434940763,338.0,-0.903261,-0.323039605
USP39,571.0,0.39295741,223.0,0.010707,0.144165784
UTP6,2466.0,0.429918331,83.0,0.411175,0.458983032
VAC14,489.0,0.396517204,827.0,0.599963,0.196460755
VAMP8,451.0,0.398153421,156.0,0.06191,0.351533631
VASP,824.0,0.388921088,342.0,-0.53849,-0.441648584
VAT1,1456.0,0.406330787,120.0,-1.692566,-1.143378863
VDAC3,475.0,0.440388181,210.0,-0.354317,0.433951108
VDR,3209.0,0.450036866,401.0,-0.610978,0.458605169
VGLL4,2489.0,0.432812067,506.0,-0.284151,-0.306869119
VIM,431.0,0.411136971,462.0,-2.923988,-1.569718895
VPS28,291.0,0.476756313,109.0,-0.241781,0.020970114
VPS33B,559.0,0.447669729,583.0,-0.432569,-0.229833993
VPS39,2053.0,0.440628838,173.0,0.001833,-0.094185348
VPS52,2870.0,0.393546356,887.0,0.505181,0.177176889
WASF2,4090.0,0.365213822,245.0,0.206049,0.01905726
WBP2,1040.0,0.392225719,515.0,0.035277,-0.318417083
WDFY2,7044.0,0.36603015,340.0,0.229388,-0.122064156
WDR1,1039.0,0.393247178,368.0,-1.124703,-0.786160735
WDR36,3619.0,0.40459335,117.0,0.460419,0.465566416
WDR37,8068.0,0.365587877,173.0,0.579806,0.363232216
WDR4,293.0,0.380589271,581.0,0.237999,0.084280692
WDR47,1216.0,0.402106333,376.0,0.219872,-0.008750743
WDR48,1924.0,0.419028298,472.0,0.539187,0.31558699
WDR5,1979.0,0.401607191,171.0,0.430257,0.364758289
WDR54,97.0,0.394793766,128.0,-1.117349,-0.094863092
WDR61,197.0,0.411764619,310.0,-0.224995,0.074616097
WDR77,4184.0,0.412330102,139.0,0.122248,0.47850609
WDR91,4946.0,0.380864599,823.0,0.04801,0.097571105
WDR92,2520.0,0.427217839,117.0,0.386894,0.172870447
YTHDF1,1279.0,0.384821843,294.0,0.261165,0.246759561
YTHDF3,3082.0,0.406652071,509.0,0.175245,-0.007950515
YY1,5192.0,0.440120149,480.0,0.028501,0.154303855
ZBED1,2221.0,0.457533868,282.0,-0.527723,0.389081738
ZBTB8OS,1087.0,0.406816332,276.0,-0.072411,0.025897765
ZC3H12A,768.0,0.421626239,1056.0,0.016071,0.103017285
ZC3H4,2169.0,0.436042942,38.0,0.559571,0.451340757
ZCCHC10,81.0,0.361883573,67.0,0.758877,0.926121158
ZCCHC2,2006.0,0.404185753,0.0,0.197397,-0.197455302
ZFP36L1,2846.0,0.395541595,976.0,-1.112736,-0.10939746
ZMAT2,1942.0,0.460376067,101.0,0.542298,0.349392891
ZMIZ2,4165.0,0.419562196,128.0,0.050874,0.591831346
ZMYM3,1292.0,0.378831729,749.0,1.120089,0.579524045
ZNF207,13817.0,0.386696564,148.0,0.344363,0.23313774
ZNF414,113.0,0.422835658,118.0,0.394182,0.272032115
ZNF511,243.0,0.452392726,55.0,-0.764669,0.188761129
ZNF516,4816.0,0.393186692,318.0,1.601858,0.806339586
ZNF622,1298.0,0.463753859,120.0,0.469901,0.199185436
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,0.351377924
ZNHIT3,419.0,0.425204303,73.0,0.189269,-0.047796421
ZWINT,4585.0,0.411772707,37.0,-1.662326,-0.606458407
